x;absoluteError;relativeError
1;0;не число
3;0;не число
5;0;не число
7;0;не число
9;0;не число
11;2,22044604925031E-16;1
13;0;не число
15;0;не число
17;0;не число
19;0;не число
21;2,22044604925031E-16;1
23;0;не число
25;0;не число
27;4,44089209850063E-16;1
29;0;не число
31;0;не число
33;4,44089209850063E-16;1
35;4,44089209850063E-16;1
37;0;не число
39;0;не число
41;0;не число
43;0;не число
45;0;не число
47;4,44089209850063E-16;1
49;0;не число
51;0;не число
53;0;не число
55;0;не число
57;4,44089209850063E-16;1
59;0;не число
61;0;не число
63;0;не число
65;4,44089209850063E-16;1
67;0;не число
69;0;не число
71;4,44089209850063E-16;1
73;0;не число
75;4,44089209850063E-16;1
77;0;не число
79;4,44089209850063E-16;1
81;0;не число
83;0;не число
85;0;не число
87;0;не число
89;0;не число
91;0;не число
93;0;не число
95;0;не число
97;0;не число
99;4,44089209850063E-16;1
101;0;не число
103;0;не число
105;0;не число
107;4,44089209850063E-16;1
109;0;не число
111;0;не число
113;0;не число
115;4,44089209850063E-16;1
117;0;не число
119;4,44089209850063E-16;1
121;4,44089209850063E-16;1
123;0;не число
125;4,44089209850063E-16;1
127;0;не число
129;0;не число
131;0;не число
133;0;не число
135;0;не число
137;4,44089209850063E-16;1
139;0;не число
141;4,44089209850063E-16;1
143;0;не число
145;4,44089209850063E-16;1
147;4,44089209850063E-16;1
149;0;не число
151;4,44089209850063E-16;1
153;0;не число
155;0;не число
157;0;не число
159;0;не число
161;4,44089209850063E-16;1
163;0;не число
165;4,44089209850063E-16;1
167;0;не число
169;0;не число
171;4,44089209850063E-16;1
173;0;не число
175;4,44089209850063E-16;1
177;0;не число
179;0;не число
181;0;не число
183;0;не число
185;4,44089209850063E-16;1
187;0;не число
189;4,44089209850063E-16;1
191;4,44089209850063E-16;1
193;4,44089209850063E-16;1
195;0;не число
197;0;не число
199;0;не число
201;4,44089209850063E-16;1
