x;absoluteError;relativeError
2;0;не число
4;0;не число
6;0;не число
8;0;не число
10;0;не число
12;0;не число
14;0;не число
16;0;не число
18;0;не число
20;0;не число
22;0;не число
24;0;не число
26;0;не число
28;0;не число
30;0;не число
32;0;не число
34;0;не число
36;0;не число
38;0;не число
40;0;не число
42;0;не число
44;0;не число
46;0;не число
48;0;не число
50;0;не число
52;0;не число
54;0;не число
56;0;не число
58;0;не число
60;0;не число
62;0;не число
64;0;не число
66;0;не число
68;0;не число
70;0;не число
72;0;не число
74;0;не число
76;0;не число
78;0;не число
80;0;не число
82;0;не число
84;0;не число
86;0;не число
88;0;не число
90;0;не число
92;0;не число
94;0;не число
96;0;не число
98;0;не число
100;0;не число
102;0;не число
104;0;не число
106;0;не число
108;0;не число
110;0;не число
112;0;не число
114;0;не число
116;0;не число
118;0;не число
120;0;не число
122;0;не число
124;0;не число
126;0;не число
128;0;не число
130;0;не число
132;0;не число
134;0;не число
136;0;не число
138;0;не число
140;0;не число
142;0;не число
144;0;не число
146;0;не число
148;0;не число
150;0;не число
152;0;не число
154;0;не число
156;0;не число
158;0;не число
160;0;не число
162;0;не число
164;0;не число
166;0;не число
168;0;не число
170;0;не число
172;0;не число
174;0;не число
176;0;не число
178;0;не число
180;0;не число
182;0;не число
184;0;не число
186;0;не число
188;0;не число
190;0;не число
192;0;не число
194;0;не число
196;0;не число
198;0;не число
200;0;не число
202;0;не число
