x;absoluteError;relativeError
-0,999;0;не число
-0,9791;0;не число
-0,9592;0;не число
-0,9393;0;не число
-0,9194;0;не число
-0,8995;0;не число
-0,8796;0;не число
-0,8597;0;не число
-0,8398;0;не число
-0,8199;0;не число
-0,8;0;не число
-0,7801;0;не число
-0,7602;0;не число
-0,7403;0;не число
-0,7204;0;не число
-0,7005;0;не число
-0,6806;0;не число
-0,6607;0;не число
-0,6408;0;не число
-0,6209;0;не число
-0,601;0;не число
-0,5811;0;не число
-0,5612;0;не число
-0,5413;0;не число
-0,5214;0;не число
-0,5015;0;не число
-0,4816;0;не число
-0,4617;0;не число
-0,4418;0;не число
-0,4219;0;не число
-0,402;0;не число
-0,3821;0;не число
-0,3622;0;не число
-0,3423;0;не число
-0,3224;0;не число
-0,3025;0;не число
-0,2826;0;не число
-0,2627;0;не число
-0,2428;0;не число
-0,2229;0;не число
-0,203;0;не число
-0,1831;0;не число
-0,1632;0;не число
-0,1433;0;не число
-0,1234;0;не число
-0,1035;0;не число
-0,0836;0;не число
-0,0637;0;не число
-0,0438;0;не число
-0,0238999999999999;0;не число
-0,00399999999999989;0;не число
0,0159000000000001;0;не число
0,0358000000000002;0;не число
0,0557;0;не число
0,0756;0;не число
0,0955;0;не число
0,1154;0;не число
0,1353;0;не число
0,1552;0;не число
0,1751;0;не число
0,195;0;не число
0,2149;0;не число
0,2348;0;не число
0,2547;0;не число
0,2746;0;не число
0,2945;0;не число
0,3144;0;не число
0,3343;0;не число
0,3542;0;не число
0,3741;0;не число
0,394;0;не число
0,4139;0;не число
0,4338;0;не число
0,4537;0;не число
0,4736;0;не число
0,4935;0;не число
0,5134;0;не число
0,5333;0;не число
0,5532;0;не число
0,5731;0;не число
0,593;0;не число
0,6129;0;не число
0,6328;0;не число
0,6527;0;не число
0,6726;0;не число
0,6925;0;не число
0,7124;0;не число
0,7323;0;не число
0,7522;0;не число
0,7721;0;не число
0,792;0;не число
0,8119;0;не число
0,8318;0;не число
0,8517;0;не число
0,8716;0;не число
0,8915;0;не число
0,9114;0;не число
0,9313;0;не число
0,9512;0;не число
0,9711;0;не число
0,991;0;не число
