x;absoluteError;relativeError
-100;1,31371731030452E-45;1
-98;6,30584308946168E-45;1
-96;7,28675201448905E-44;1
-94;2,35418142006569E-43;1
-92;2,01786978862774E-43;1
-90;2,15239444120292E-42;1
-88;2,15239444120292E-42;1
-86;4,01780295691212E-41;1
-84;1,14794370197489E-41;1
-82;7,3468396926393E-40;1
-80;0;не число
-78;1,24896274774868E-38;1
-76;5,87747175411144E-39;1
-74;2,23343926656235E-37;1
-72;1,88079096131566E-37;1
-70;3,76158192263132E-36;1
-68;3,76158192263132E-36;1
-66;6,62038418383112E-35;1
-64;8,42594350669416E-35;1
-62;4,09260113182288E-34;1
-60;1,54074395550979E-33;1
-58;5,39260384428426E-33;1
-56;3,08148791101958E-32;1
-54;6,77927340424307E-32;1
-52;5,42341872339446E-31;1
-50;7,88860905221012E-31;1
-48;1,02551917678732E-29;1
-46;6,31088724176809E-30;1
-44;1,89326617253043E-29;1
-42;2,52435489670724E-29;1
-40;0;не число
-38;8,07793566946316E-28;1
-36;6,46234853557053E-27;1
-34;3,87740912134232E-26;1
-32;1,55096364853693E-25;1
-30;8,27180612553028E-25;1
-28;4,13590306276514E-24;1
-26;1,98523347012727E-23;1
-24;9,26442286059391E-23;1
-22;2,64697796016969E-23;1
-20;0;не число
-18;8,470329472543E-22;1
-16;6,7762635780344E-21;1
-14;2,71050543121376E-20;1
-12;1,62630325872826E-19;1
-10;0;не число
-8;8,67361737988404E-19;1
-6;6,93889390390723E-18;1
-4;0;не число
-2;0;не число
0;0;не число
2;0;не число
4;1,77635683940025E-15;1
6;2,1316282072803E-14;1
8;5,6843418860808E-14;1
10;0;не число
12;3,18323145620525E-12;1
14;9,09494701772928E-12;1
16;2,18278728425503E-11;1
18;5,82076609134674E-11;1
20;0;не число
22;9,31322574615479E-10;1
24;2,42143869400024E-08;1
26;8,19563865661621E-08;1
28;2,98023223876953E-07;1
30;9,5367431640625E-07;1
32;3,33786010742188E-06;1
34;9,5367431640625E-06;1
36;3,0517578125E-05;1
38;6,103515625E-05;1
40;0;не число
42;0,0009765625;1
44;0,00390625;1
46;0,03125;1
48;0,8125;1
50;1;1
52;11,5;1
54;20;1
56;160;1
58;448;1
60;2176;1
62;9216;1
64;26624;1
66;360448;1
68;327680;1
70;5373952;1
72;3670016;1
74;77594624;1
76;33554432;1
78;1140850688;1
80;134217728;1
82;16642998272;1
84;4294967296;1
86;240518168576;1
88;206158430208;1
90;3435973836800;1
92;4398046511104;1
94;92358976733184;1
96;457396837154816;1
98;633318697598976;1
100;2,25179981368525E+15;1
