x;absoluteError;relativeError
-5;0,999999970197678;1
-4,9;1,14869832498742;1
-4,8;1,31950788013271;1
-4,7;1,51571653478969;1
-4,6;1,7411010932945;1
-4,5;1,99999996455887;1
-4,4;2,297396671745;1
-4,3;2,63901577969007;1
-4,2;3,03143308657897;1
-4,1;3,48220220093473;1
-4;3,99999994039536;1
-3,9;4,59479335104415;1
-3,8;5,27803156223166;1
-3,7;6,0628661698824;1
-3,6;6,96440439041949;1
-3,5;7,99999985823547;1
-3,4;9,18958666422969;1
-3,3;10,5560630652673;1
-3,2;12,1257322505126;1
-3,1;13,9288086488494;1
-3;15,9999995231628;1
-2,9;18,3791730463858;1
-2,8;21,1121257188039;1
-2,7;24,2514638981657;1
-2,6;27,8576164104375;1
-2,5;31,9999977317674;1
-2,4;36,7583441298281;1
-2,3;42,2242484807301;1
-2,2;48,5029232998333;1
-2,1;55,7152259138837;1
-2;63,9999847412109;1
-1,9;73,5166714309429;1
-1,8;84,4484702484294;1
-1,7;97,0058037022184;1
-1,6;111,430382119652;1
-1,5;127,999854833116;1
-1,4;147,033151975034;1
-1,3;168,896618710884;1
-1,2;194,011058108874;1
-1,1;222,859814625503;1
-1;255,998046875;1
-0,9;294,063354638142;1
-0,8;337,787937934582;1
-0,7;388,01246880107;1
-0,6;445,701834877966;1
-0,5;511,962837277656;1
-0,4;588,063727312352;1
-0,3;675,455004042915;1
-0,2;775,78985359666;1
-0,0999999999999996;890,940299040203;1
0;1023;1
0,0999999999999996;1174,25320441685;1
0,2;1347,06364532482;1
0,3;1543,57880264702;1
0,4;1765,01095942131;1
0,5;2009,94537231991;1
0,6;2270,3949735899;1
0,7;2522,58325716842;1
0,8;2705,25526342712;1
0,9;2668,1308486333;1
1;2048;1
1,1;32,7263392081895;1
1,2;5708,59824792557;1
1,3;20223,662109764;1
1,4;56612,3644190899;1
1,5;147679,754977637;1
1,6;377060,692773421;1
1,7;960788,594779706;1
1,8;2464304,37178941;1
1,9;6387332,00475109;1
2;16760832;1
2,1;44564477,5246177;1
2,2;120106612,705381;1
2,3;328175166,966011;1
2,4;909157329,958735;1
2,5;2553770065,5536;1
2,6;7273449208,72901;1
2,7;21004756792,2039;1
2,8;61505604872,7709;1
2,9;182613130730,116;1
3;549755748352;1
3,1;1678139671971,23;1
3,2;5194060567764,26;1
3,3;16300709471976,4;1
3,4;51871236586176,8;1
3,5;167366022368697;1
3,6;547556057190190;1
3,7;1,81639576295416E+15;1
3,8;6,10960274338392E+15;1
3,9;2,08370418958507E+16;1
4;7,20575940376658E+16;1
4,1;2,52664396791361E+17;1
4,2;8,98315599518191E+17;1
4,3;3,2384293985461E+18;1
4,4;1,18375145349565E+19;1
4,5;4,38739986021788E+19;1
4,6;1,64882479142924E+20;1
4,7;6,28293259372944E+20;1
4,8;2,42756513778776E+21;1
4,9;9,51042627865487E+21;1
5;3,77789318629572E+22;1
