x;absoluteError;relativeError
1;4,44089209850063E-16;1
3;0;не число
5;6,25277607468888E-13;1
7;3,86535248253495E-12;1
9;3,02225089399144E-09;1
11;5,96628524363041E-08;1
13;4,40108124166727E-06;1
15;9,89441759884357E-05;1
17;0,0364479683339596;1
19;0,295115679502487;1
21;29,666008234024;1
23;3186,81731033325;1
25;83854,4615936279;1
27;4272745,2364502;1
29;60794677,2402344;1
31;47237493300,7031;1
33;1037261223514,59;1
35;110474854647508;1
37;5,52253924576281E+15;1
39;не число;не число
41;не число;не число
43;не число;не число
45;не число;не число
47;не число;не число
49;не число;не число
51;не число;не число
53;не число;не число
55;не число;не число
57;не число;не число
59;не число;не число
61;не число;не число
63;не число;не число
65;не число;не число
67;не число;не число
69;не число;не число
71;не число;не число
73;не число;не число
75;не число;не число
77;не число;не число
79;не число;не число
81;не число;не число
83;не число;не число
85;не число;не число
87;не число;не число
89;не число;не число
91;не число;не число
93;не число;не число
95;не число;не число
97;не число;не число
99;не число;не число
101;не число;не число
103;не число;не число
105;не число;не число
107;не число;не число
109;не число;не число
111;не число;не число
113;не число;не число
115;не число;не число
117;не число;не число
119;не число;не число
121;не число;не число
123;не число;не число
125;не число;не число
127;не число;не число
129;не число;не число
131;не число;не число
133;не число;не число
135;не число;не число
137;не число;не число
139;не число;не число
141;не число;не число
143;не число;не число
145;не число;не число
147;не число;не число
149;не число;не число
151;не число;не число
153;не число;не число
155;не число;не число
157;не число;не число
159;не число;не число
161;не число;не число
163;не число;не число
165;не число;не число
167;не число;не число
169;не число;не число
171;не число;не число
173;не число;не число
175;не число;не число
177;не число;не число
179;не число;не число
181;не число;не число
183;не число;не число
185;не число;не число
187;не число;не число
189;не число;не число
191;не число;не число
193;не число;не число
195;не число;не число
197;не число;не число
199;не число;не число
201;не число;не число
