x;absoluteError;relativeError;computation time (milliseconds)
1;0;не число;0
3;0;не число;0
5;1,11022302462516E-16;1;0
7;0;не число;0
9;0;не число;0
11;0;не число;0
13;0;не число;0
15;0;не число;0
17;0;не число;0
19;0;не число;0
21;0;не число;0
23;0;не число;0
25;0;не число;0
27;0;не число;0
29;0;не число;0
31;0;не число;0
33;0;не число;0
35;0;не число;0
37;0;не число;0
39;0;не число;0
41;0;не число;0
43;0;не число;0
45;0;не число;0
47;0;не число;0
49;0;не число;0
51;0;не число;0
53;0;не число;0
55;0;не число;0
57;0;не число;0
59;0;не число;0
61;0;не число;0
63;0;не число;0
65;0;не число;0
67;0;не число;0
69;0;не число;0
71;0;не число;0
73;0;не число;0
75;0;не число;0
77;0;не число;0
79;0;не число;0
81;0;не число;0
83;0;не число;0
85;0;не число;0
87;0;не число;0
89;0;не число;0
91;0;не число;0
93;0;не число;0
95;0;не число;0
97;0;не число;0
99;0;не число;0
101;0;не число;0
103;0;не число;0
105;0;не число;0
107;0;не число;0
109;0;не число;0
111;0;не число;0
113;0;не число;0
115;0;не число;0
117;0;не число;0
119;0;не число;0
121;0;не число;0
123;0;не число;0
125;0;не число;0
127;0;не число;0
129;0;не число;0
131;0;не число;0
133;0;не число;0
135;0;не число;0
137;0;не число;0
139;0;не число;0
141;0;не число;0
143;0;не число;0
145;0;не число;0
147;0;не число;0
149;0;не число;0
151;0;не число;0
153;0;не число;0
155;0;не число;0
157;0;не число;0
159;0;не число;0
161;0;не число;0
163;0;не число;0
165;0;не число;0
167;0;не число;0
169;0;не число;0
171;0;не число;0
173;0;не число;0
175;0;не число;0
177;0;не число;0
179;0;не число;0
181;0;не число;0
183;0;не число;0
185;0;не число;0
187;0;не число;0
189;0;не число;0
191;0;не число;0
193;0;не число;0
195;0;не число;0
197;0;не число;0
199;0;не число;0
201;0;не число;0
