x;absoluteError;relativeError
-100;0;не число
-98;0;не число
-96;0;не число
-94;0;не число
-92;0;не число
-90;0;не число
-88;0;не число
-86;0;не число
-84;0;не число
-82;0;не число
-80;0;не число
-78;0;не число
-76;0;не число
-74;0;не число
-72;0;не число
-70;0;не число
-68;0;не число
-66;0;не число
-64;0;не число
-62;0;не число
-60;0;не число
-58;0;не число
-56;0;не число
-54;0;не число
-52;0;не число
-50;0;не число
-48;0;не число
-46;0;не число
-44;0;не число
-42;0;не число
-40;0;не число
-38;0;не число
-36;0;не число
-34;0;не число
-32;0;не число
-30;0;не число
-28;0;не число
-26;0;не число
-24;0;не число
-22;0;не число
-20;0;не число
-18;0;не число
-16;0;не число
-14;0;не число
-12;0;не число
-10;0;не число
-8;0;не число
-6;0;не число
-4;0;не число
-2;0;не число
0;0;не число
2;0;не число
4;0;не число
6;0;не число
8;0;не число
10;0;не число
12;0;не число
14;0;не число
16;0;не число
18;0;не число
20;0;не число
22;0;не число
24;0;не число
26;0;не число
28;0;не число
30;0;не число
32;0;не число
34;0;не число
36;0;не число
38;0;не число
40;0;не число
42;0;не число
44;0;не число
46;0;не число
48;0;не число
50;0;не число
52;0;не число
54;0;не число
56;0;не число
58;0;не число
60;0;не число
62;0;не число
64;0;не число
66;0;не число
68;0;не число
70;0;не число
72;0;не число
74;0;не число
76;0;не число
78;0;не число
80;0;не число
82;0;не число
84;0;не число
86;0;не число
88;0;не число
90;0;не число
92;0;не число
94;0;не число
96;0;не число
98;0;не число
100;0;не число
