x;absoluteError;relativeError
-100;4,44089209850063E-16;1
-98;0;не число
-96;0;не число
-94;0;не число
-92;4,44089209850063E-16;1
-90;2,22044604925031E-16;1
-88;0;не число
-86;0;не число
-84;4,44089209850063E-16;1
-82;4,44089209850063E-16;1
-80;0;не число
-78;2,22044604925031E-16;1
-76;2,22044604925031E-16;1
-74;4,44089209850063E-16;1
-72;0;не число
-70;0;не число
-68;4,44089209850063E-16;1
-66;4,44089209850063E-16;1
-64;4,44089209850063E-16;1
-62;4,44089209850063E-16;1
-60;0;не число
-58;0;не число
-56;0;не число
-54;2,22044604925031E-16;1
-52;0;не число
-50;4,44089209850063E-16;1
-48;0;не число
-46;0;не число
-44;0;не число
-42;4,44089209850063E-16;1
-40;2,22044604925031E-16;1
-38;0;не число
-36;0;не число
-34;0;не число
-32;4,44089209850063E-16;1
-30;4,44089209850063E-16;1
-28;0;не число
-26;2,22044604925031E-16;1
-24;0;не число
-22;2,22044604925031E-16;1
-20;4,44089209850063E-16;1
-18;0;не число
-16;4,44089209850063E-16;1
-14;2,22044604925031E-16;1
-12;2,22044604925031E-16;1
-10;2,22044604925031E-16;1
-8;2,22044604925031E-16;1
-6;2,22044604925031E-16;1
-4;0;не число
-2;2,22044604925031E-16;1
0;0;не число
2;2,22044604925031E-16;1
4;0;не число
6;2,22044604925031E-16;1
8;2,22044604925031E-16;1
10;2,22044604925031E-16;1
12;2,22044604925031E-16;1
14;2,22044604925031E-16;1
16;4,44089209850063E-16;1
18;0;не число
20;4,44089209850063E-16;1
22;2,22044604925031E-16;1
24;0;не число
26;2,22044604925031E-16;1
28;0;не число
30;4,44089209850063E-16;1
32;4,44089209850063E-16;1
34;0;не число
36;0;не число
38;0;не число
40;2,22044604925031E-16;1
42;4,44089209850063E-16;1
44;0;не число
46;0;не число
48;0;не число
50;4,44089209850063E-16;1
52;0;не число
54;2,22044604925031E-16;1
56;0;не число
58;0;не число
60;0;не число
62;4,44089209850063E-16;1
64;4,44089209850063E-16;1
66;4,44089209850063E-16;1
68;4,44089209850063E-16;1
70;0;не число
72;0;не число
74;4,44089209850063E-16;1
76;2,22044604925031E-16;1
78;2,22044604925031E-16;1
80;0;не число
82;4,44089209850063E-16;1
84;4,44089209850063E-16;1
86;0;не число
88;0;не число
90;2,22044604925031E-16;1
92;4,44089209850063E-16;1
94;0;не число
96;0;не число
98;0;не число
100;4,44089209850063E-16;1
