x;absoluteError;relativeError
1;4,44089209850063E-16;1
3;4,44089209850063E-16;1
5;4,44089209850063E-16;1
7;4,44089209850063E-16;1
9;0;не число
11;0;не число
13;0;не число
15;0;не число
17;4,44089209850063E-16;1
19;0;не число
21;0;не число
23;4,44089209850063E-16;1
25;4,44089209850063E-16;1
27;2,22044604925031E-16;1
29;0;не число
31;2,22044604925031E-16;1
33;0;не число
35;0;не число
37;4,44089209850063E-16;1
39;4,44089209850063E-16;1
41;0;не число
43;0;не число
45;0;не число
47;2,22044604925031E-16;1
49;0;не число
51;2,22044604925031E-16;1
53;2,22044604925031E-16;1
55;4,44089209850063E-16;1
57;4,44089209850063E-16;1
59;4,44089209850063E-16;1
61;0;не число
63;0;не число
65;0;не число
67;2,22044604925031E-16;1
69;4,44089209850063E-16;1
71;2,22044604925031E-16;1
73;4,44089209850063E-16;1
75;0;не число
77;0;не число
79;2,22044604925031E-16;1
81;2,22044604925031E-16;1
83;0;не число
85;4,44089209850063E-16;1
87;0;не число
89;4,44089209850063E-16;1
91;0;не число
93;0;не число
95;0;не число
97;2,22044604925031E-16;1
99;0;не число
101;4,44089209850063E-16;1
103;0;не число
105;0;не число
107;4,44089209850063E-16;1
109;4,44089209850063E-16;1
111;0;не число
113;0;не число
115;0;не число
117;0;не число
119;0;не число
121;0;не число
123;0;не число
125;0;не число
127;4,44089209850063E-16;1
129;4,44089209850063E-16;1
131;0;не число
133;4,44089209850063E-16;1
135;0;не число
137;0;не число
139;2,22044604925031E-16;1
141;2,22044604925031E-16;1
143;0;не число
145;4,44089209850063E-16;1
147;4,44089209850063E-16;1
149;0;не число
151;0;не число
153;2,22044604925031E-16;1
155;2,22044604925031E-16;1
157;0;не число
159;0;не число
161;4,44089209850063E-16;1
163;4,44089209850063E-16;1
165;4,44089209850063E-16;1
167;4,44089209850063E-16;1
169;0;не число
171;0;не число
173;0;не число
175;0;не число
177;4,44089209850063E-16;1
179;4,44089209850063E-16;1
181;4,44089209850063E-16;1
183;0;не число
185;0;не число
187;0;не число
189;4,44089209850063E-16;1
191;0;не число
193;0;не число
195;4,44089209850063E-16;1
197;4,44089209850063E-16;1
199;0;не число
201;2,22044604925031E-16;1
