x;absoluteError;relativeError;computation time (milliseconds)
-0,99;7,7715611723761E-16;7,7715611723761E-16;0
-0,98;9,99200722162641E-16;9,99200722162641E-16;0
-0,97;2,22044604925031E-16;2,22044604925031E-16;0
-0,96;8,88178419700125E-16;8,88178419700125E-16;0
-0,95;0;0;0
-0,94;4,44089209850063E-16;4,44089209850063E-16;0
-0,93;4,44089209850063E-16;4,44089209850063E-16;0
-0,92;3,33066907387547E-16;3,33066907387547E-16;0
-0,91;2,22044604925031E-16;2,22044604925031E-16;0
-0,9;2,22044604925031E-16;2,22044604925031E-16;0
-0,89;3,33066907387547E-16;3,33066907387547E-16;0
-0,88;2,22044604925031E-16;2,22044604925031E-16;0
-0,87;2,22044604925031E-16;2,22044604925031E-16;0
-0,86;4,44089209850063E-16;4,44089209850063E-16;0
-0,85;0;0;0
-0,84;4,44089209850063E-16;4,44089209850063E-16;0
-0,83;2,22044604925031E-16;2,22044604925031E-16;0
-0,82;0;0;0
-0,81;2,22044604925031E-16;2,22044604925031E-16;0
-0,8;2,22044604925031E-16;2,22044604925031E-16;0
-0,79;0;0;0
-0,78;2,22044604925031E-16;2,22044604925031E-16;0
-0,77;2,22044604925031E-16;2,22044604925031E-16;0
-0,76;2,22044604925031E-16;2,22044604925031E-16;0
-0,75;0;0;0
-0,74;2,22044604925031E-16;2,22044604925031E-16;0
-0,73;0;0;0
-0,72;2,22044604925031E-16;2,22044604925031E-16;0
-0,71;0;0;0
-0,7;2,22044604925031E-16;2,22044604925031E-16;0
-0,69;2,22044604925031E-16;2,22044604925031E-16;0
-0,68;0;0;0
-0,67;2,22044604925031E-16;2,22044604925031E-16;0
-0,66;0;0;0
-0,65;1,11022302462516E-16;1,11022302462516E-16;0
-0,64;1,11022302462516E-16;1,11022302462516E-16;0
-0,63;2,22044604925031E-16;2,22044604925031E-16;0
-0,62;0;0;0
-0,61;1,11022302462516E-16;1,11022302462516E-16;0
-0,6;2,22044604925031E-16;2,22044604925031E-16;0
-0,59;0;0;0
-0,58;1,11022302462516E-16;1,11022302462516E-16;0
-0,57;2,22044604925031E-16;2,22044604925031E-16;0
-0,56;2,22044604925031E-16;2,22044604925031E-16;0
-0,55;0;0;0
-0,54;0;0;0
-0,53;0;0;0
-0,52;1,11022302462516E-16;1,11022302462516E-16;0
-0,51;2,22044604925031E-16;2,22044604925031E-16;0
-0,5;1,11022302462516E-16;1,11022302462516E-16;0
-0,49;1,11022302462516E-16;1,11022302462516E-16;0
-0,48;0;0;0
-0,47;0;0;0
-0,46;0;0;0
-0,45;1,11022302462516E-16;1,11022302462516E-16;0
-0,44;2,22044604925031E-16;2,22044604925031E-16;0
-0,43;0;0;0
-0,42;0;0;0
-0,41;0;0;0
-0,4;0;0;0
-0,39;2,22044604925031E-16;2,22044604925031E-16;0
-0,38;1,11022302462516E-16;1,11022302462516E-16;0
-0,37;0;0;0
-0,36;1,11022302462516E-16;1,11022302462516E-16;0
-0,35;0;0;0
-0,34;0;0;0
-0,33;0;0;0
-0,32;0;0;0
-0,31;0;0;0
-0,3;0;0;0
-0,29;2,22044604925031E-16;2,22044604925031E-16;0
-0,28;0;0;0
-0,27;0;0;0
-0,26;1,11022302462516E-16;1,11022302462516E-16;0
-0,25;1,11022302462516E-16;1,11022302462516E-16;0
-0,24;0;0;0
-0,23;0;0;0
-0,22;2,22044604925031E-16;2,22044604925031E-16;0
-0,21;0;0;0
-0,2;0;0;0
-0,19;2,22044604925031E-16;2,22044604925031E-16;0
-0,18;0;0;0
-0,17;0;0;0
-0,16;0;0;0
-0,15;1,11022302462516E-16;1,11022302462516E-16;0
-0,14;1,11022302462516E-16;1,11022302462516E-16;0
-0,13;0;0;0
-0,12;0;0;0
-0,11;0;0;0
-0,1;0;0;0
