x;absoluteError;relativeError;computation time (milliseconds)
0,5;1,11022302462516E-16;1,11022302462516E-16;0
1;1,11022302462516E-16;1,11022302462516E-16;0
1,5;0;0;0
2;2,22044604925031E-16;2,22044604925031E-16;0
2,5;2,22044604925031E-16;2,22044604925031E-16;0
3;0;0;0
3,5;2,22044604925031E-16;2,22044604925031E-16;0
4;4,44089209850063E-16;4,44089209850063E-16;0
4,5;2,22044604925031E-16;2,22044604925031E-16;0
5;2,22044604925031E-16;2,22044604925031E-16;0
5,5;4,44089209850063E-16;4,44089209850063E-16;0
6;6,66133814775094E-16;6,66133814775094E-16;0
6,5;4,44089209850063E-16;4,44089209850063E-16;0
7;4,44089209850063E-16;4,44089209850063E-16;0
7,5;2,22044604925031E-16;2,22044604925031E-16;0
8;7,7715611723761E-16;7,7715611723761E-16;0
8,5;6,66133814775094E-16;6,66133814775094E-16;0
9;5,55111512312578E-16;5,55111512312578E-16;0
9,5;8,88178419700125E-16;8,88178419700125E-16;0
10;1,11022302462516E-15;1,11022302462516E-15;0
10,5;3,33066907387547E-16;3,33066907387547E-16;0
11;9,99200722162641E-16;9,99200722162641E-16;0
11,5;4,44089209850063E-16;4,44089209850063E-16;0
12;8,88178419700125E-16;8,88178419700125E-16;0
12,5;8,88178419700125E-16;8,88178419700125E-16;0
13;8,88178419700125E-16;8,88178419700125E-16;0
13,5;2,22044604925031E-16;2,22044604925031E-16;0
14;0;0;0
14,5;8,88178419700125E-16;8,88178419700125E-16;0
15;1,11022302462516E-16;1,11022302462516E-16;0
15,5;1,55431223447522E-15;1,55431223447522E-15;0
16;0;0;0
16,5;4,44089209850063E-16;4,44089209850063E-16;0
17;1,55431223447522E-15;1,55431223447522E-15;0
17,5;1,33226762955019E-15;1,33226762955019E-15;0
18;1,55431223447522E-15;1,55431223447522E-15;0
18,5;8,88178419700125E-16;8,88178419700125E-16;0
19;1,33226762955019E-15;1,33226762955019E-15;0
19,5;1,55431223447522E-15;1,55431223447522E-15;0
20;3,33066907387547E-16;3,33066907387547E-16;0
20,5;9,99200722162641E-16;9,99200722162641E-16;0
21;2,22044604925031E-16;2,22044604925031E-16;0
21,5;2,33146835171283E-15;2,33146835171283E-15;0
22;4,44089209850063E-16;4,44089209850063E-16;0
22,5;1,22124532708767E-15;1,22124532708767E-15;0
23;2,22044604925031E-15;2,22044604925031E-15;0
23,5;1,55431223447522E-15;1,55431223447522E-15;0
24;3,33066907387547E-16;3,33066907387547E-16;0
24,5;2,44249065417534E-15;2,44249065417534E-15;0
25;2,22044604925031E-15;2,22044604925031E-15;0
25,5;2,22044604925031E-15;2,22044604925031E-15;0
26;1,88737914186277E-15;1,88737914186277E-15;0
26,5;2,88657986402541E-15;2,88657986402541E-15;0
27;2,55351295663786E-15;2,55351295663786E-15;0
27,5;1,33226762955019E-15;1,33226762955019E-15;0
28;2,99760216648792E-15;2,99760216648792E-15;0
28,5;1,77635683940025E-15;1,77635683940025E-15;0
29;0;0;0
29,5;6,66133814775094E-16;6,66133814775094E-16;0
30;2,44249065417534E-15;2,44249065417534E-15;0
30,5;2,99760216648792E-15;2,99760216648792E-15;0
31;3,10862446895044E-15;3,10862446895044E-15;0
31,5;1,77635683940025E-15;1,77635683940025E-15;0
32;2,22044604925031E-15;2,22044604925031E-15;0
32,5;0;0;0
33;3,44169137633799E-15;3,44169137633799E-15;0
33,5;1,22124532708767E-15;1,22124532708767E-15;0
34;3,5527136788005E-15;3,5527136788005E-15;0
34,5;3,5527136788005E-15;3,5527136788005E-15;0
35;3,21964677141295E-15;3,21964677141295E-15;0
35,5;2,44249065417534E-15;2,44249065417534E-15;0
36;1,33226762955019E-15;1,33226762955019E-15;0
36,5;2,44249065417534E-15;2,44249065417534E-15;0
37;1,11022302462516E-15;1,11022302462516E-15;0
37,5;2,66453525910038E-15;2,66453525910038E-15;0
38;1,77635683940025E-15;1,77635683940025E-15;0
38,5;2,88657986402541E-15;2,88657986402541E-15;0
39;1,11022302462516E-15;1,11022302462516E-15;0
39,5;2,66453525910038E-15;2,66453525910038E-15;0
40;0;0;0
40,5;1,55431223447522E-15;1,55431223447522E-15;0
41;0;0;0
41,5;3,5527136788005E-15;3,5527136788005E-15;0
42;3,5527136788005E-15;3,5527136788005E-15;0
42,5;6,66133814775094E-16;6,66133814775094E-16;0
