x;absoluteError;relativeError;computation time (milliseconds)
0,5;2,22044604925031E-16;2,22044604925031E-16;0
1;2,22044604925031E-16;2,22044604925031E-16;0
1,5;0;0;0
2;0;0;0
2,5;0;0;0
3;2,22044604925031E-16;2,22044604925031E-16;0
3,5;4,44089209850063E-16;4,44089209850063E-16;0
4;6,66133814775094E-16;6,66133814775094E-16;0
4,5;2,22044604925031E-16;2,22044604925031E-16;0
5;4,44089209850063E-16;4,44089209850063E-16;0
5,5;8,88178419700125E-16;8,88178419700125E-16;0
6;8,88178419700125E-16;8,88178419700125E-16;0
6,5;1,11022302462516E-15;1,11022302462516E-15;0
7;8,88178419700125E-16;8,88178419700125E-16;0
7,5;6,66133814775094E-16;6,66133814775094E-16;0
8;2,22044604925031E-16;2,22044604925031E-16;0
8,5;1,11022302462516E-15;1,11022302462516E-15;0
9;0;0;0
9,5;1,55431223447522E-15;1,55431223447522E-15;0
10;1,77635683940025E-15;1,77635683940025E-15;0
10,5;4,44089209850063E-16;4,44089209850063E-16;0
11;3,33066907387547E-16;3,33066907387547E-16;0
11,5;1,11022302462516E-15;1,11022302462516E-15;0
12;3,33066907387547E-16;3,33066907387547E-16;0
12,5;0;0;0
13;1,77635683940025E-15;1,77635683940025E-15;0
13,5;6,66133814775094E-16;6,66133814775094E-16;0
14;8,88178419700125E-16;8,88178419700125E-16;0
14,5;0;0;0
15;8,88178419700125E-16;8,88178419700125E-16;0
15,5;2,66453525910038E-15;2,66453525910038E-15;0
16;1,11022302462516E-15;1,11022302462516E-15;0
16,5;6,66133814775094E-16;6,66133814775094E-16;0
17;2,44249065417534E-15;2,44249065417534E-15;0
17,5;2,44249065417534E-15;2,44249065417534E-15;0
18;5,55111512312578E-16;5,55111512312578E-16;0
18,5;1,99840144432528E-15;1,99840144432528E-15;0
19;2,22044604925031E-16;2,22044604925031E-16;0
19,5;2,88657986402541E-15;2,88657986402541E-15;0
20;8,88178419700125E-16;8,88178419700125E-16;0
20,5;2,22044604925031E-16;2,22044604925031E-16;0
21;1,11022302462516E-15;1,11022302462516E-15;0
21,5;9,99200722162641E-16;9,99200722162641E-16;0
22;8,88178419700125E-16;8,88178419700125E-16;0
22,5;2,22044604925031E-16;2,22044604925031E-16;0
23;3,5527136788005E-15;3,5527136788005E-15;0
23,5;0;0;0
24;1,11022302462516E-15;1,11022302462516E-15;0
24,5;8,88178419700125E-16;8,88178419700125E-16;0
25;3,77475828372553E-15;3,77475828372553E-15;0
25,5;6,66133814775094E-16;6,66133814775094E-16;0
26;2,22044604925031E-16;2,22044604925031E-16;0
26,5;4,44089209850063E-15;4,44089209850063E-15;0
27;8,88178419700125E-16;8,88178419700125E-16;0
27,5;2,88657986402541E-15;2,88657986402541E-15;0
28;1,22124532708767E-15;1,22124532708767E-15;0
28,5;0;0;0
29;1,77635683940025E-15;1,77635683940025E-15;0
29,5;2,44249065417534E-15;2,44249065417534E-15;0
30;5,55111512312578E-16;5,55111512312578E-16;0
30,5;1,11022302462516E-15;1,11022302462516E-15;0
31;5,10702591327572E-15;5,10702591327572E-15;0
31,5;3,5527136788005E-15;3,5527136788005E-15;0
32;4,21884749357559E-15;4,21884749357559E-15;0
32,5;2,22044604925031E-15;2,22044604925031E-15;0
33;1,55431223447522E-15;1,55431223447522E-15;0
33,5;6,66133814775094E-16;6,66133814775094E-16;0
34;5,55111512312578E-15;5,55111512312578E-15;0
34,5;5,55111512312578E-15;5,55111512312578E-15;0
35;9,99200722162641E-16;9,99200722162641E-16;0
35,5;4,66293670342566E-15;4,66293670342566E-15;0
36;3,5527136788005E-15;3,5527136788005E-15;0
36,5;4,66293670342566E-15;4,66293670342566E-15;0
37;8,88178419700125E-16;8,88178419700125E-16;0
37,5;3,33066907387547E-16;3,33066907387547E-16;0
38;4,21884749357559E-15;4,21884749357559E-15;0
38,5;5,32907051820075E-15;5,32907051820075E-15;0
39;1,33226762955019E-15;1,33226762955019E-15;0
39,5;2,22044604925031E-16;2,22044604925031E-16;0
40;2,44249065417534E-15;2,44249065417534E-15;0
40,5;8,88178419700125E-16;8,88178419700125E-16;0
41;2,66453525910038E-15;2,66453525910038E-15;0
41,5;6,21724893790088E-15;6,21724893790088E-15;0
42;9,99200722162641E-16;9,99200722162641E-16;0
42,5;3,10862446895044E-15;3,10862446895044E-15;0
43;8,88178419700125E-16;8,88178419700125E-16;0
43,5;5,77315972805081E-15;5,77315972805081E-15;0
44;2,22044604925031E-16;2,22044604925031E-16;0
44,5;1,11022302462516E-16;1,11022302462516E-16;0
45;1,11022302462516E-16;1,11022302462516E-16;0
45,5;3,33066907387547E-15;3,33066907387547E-15;0
46;2,1094237467878E-15;2,1094237467878E-15;0
46,5;1,66533453693773E-15;1,66533453693773E-15;0
47;7,7715611723761E-15;7,7715611723761E-15;0
47,5;3,33066907387547E-15;3,33066907387547E-15;0
48;4,66293670342566E-15;4,66293670342566E-15;0
48,5;2,22044604925031E-16;2,22044604925031E-16;0
49;7,32747196252603E-15;7,32747196252603E-15;0
49,5;6,43929354282591E-15;6,43929354282591E-15;0
50;1,11022302462516E-15;1,11022302462516E-15;0
50,5;8,88178419700125E-16;8,88178419700125E-16;0
51;3,5527136788005E-15;3,5527136788005E-15;0
51,5;4,44089209850063E-15;4,44089209850063E-15;0
52;6,43929354282591E-15;6,43929354282591E-15;0
52,5;7,99360577730113E-15;7,99360577730113E-15;0
53;3,99680288865056E-15;3,99680288865056E-15;0
53,5;1,55431223447522E-15;1,55431223447522E-15;0
54;2,22044604925031E-15;2,22044604925031E-15;0
54,5;4,44089209850063E-16;4,44089209850063E-16;0
55;6,21724893790088E-15;6,21724893790088E-15;0
55,5;3,33066907387547E-16;3,33066907387547E-16;0
56;7,105427357601E-15;7,105427357601E-15;0
56,5;8,88178419700125E-15;8,88178419700125E-15;0
57;8,88178419700125E-15;8,88178419700125E-15;0
57,5;8,43769498715119E-15;8,43769498715119E-15;0
58;2,44249065417534E-15;2,44249065417534E-15;0
58,5;9,54791801177635E-15;9,54791801177635E-15;0
59;6,88338275267597E-15;6,88338275267597E-15;0
59,5;5,55111512312578E-16;5,55111512312578E-16;0
60;1,02140518265514E-14;1,02140518265514E-14;0
60,5;2,1094237467878E-15;2,1094237467878E-15;0
61;3,5527136788005E-15;3,5527136788005E-15;0
61,5;2,66453525910038E-15;2,66453525910038E-15;0
62;5,55111512312578E-16;5,55111512312578E-16;0
62,5;4,44089209850063E-15;4,44089209850063E-15;0
63;4,21884749357559E-15;4,21884749357559E-15;0
63,5;1,33226762955019E-15;1,33226762955019E-15;0
64;3,10862446895044E-15;3,10862446895044E-15;0
64,5;2,66453525910038E-15;2,66453525910038E-15;0
65;6,66133814775094E-16;6,66133814775094E-16;0
65,5;9,99200722162641E-15;9,99200722162641E-15;0
66;1,06581410364015E-14;1,06581410364015E-14;0
66,5;3,77475828372553E-15;3,77475828372553E-15;0
67;4,21884749357559E-15;4,21884749357559E-15;0
67,5;9,32587340685131E-15;9,32587340685131E-15;0
68;6,66133814775094E-16;6,66133814775094E-16;0
68,5;3,99680288865056E-15;3,99680288865056E-15;0
69;5,55111512312578E-15;5,55111512312578E-15;0
69,5;4,44089209850063E-16;4,44089209850063E-16;0
70;1,22124532708767E-15;1,22124532708767E-15;0
70,5;9,32587340685131E-15;9,32587340685131E-15;0
71;4,44089209850063E-15;4,44089209850063E-15;0
71,5;4,44089209850063E-15;4,44089209850063E-15;0
72;4,44089209850063E-15;4,44089209850063E-15;0
72,5;1,33226762955019E-15;1,33226762955019E-15;0
73;2,1094237467878E-15;2,1094237467878E-15;0
73,5;5,99520433297585E-15;5,99520433297585E-15;0
74;9,76996261670138E-15;9,76996261670138E-15;0
74,5;3,77475828372553E-15;3,77475828372553E-15;0
75;7,99360577730113E-15;7,99360577730113E-15;0
75,5;4,88498130835069E-15;4,88498130835069E-15;0
76;1,88737914186277E-15;1,88737914186277E-15;0
76,5;2,22044604925031E-16;2,22044604925031E-16;0
77;1,08801856413265E-14;1,08801856413265E-14;0
77,5;1,04360964314765E-14;1,04360964314765E-14;0
78;7,7715611723761E-15;7,7715611723761E-15;0
78,5;5,55111512312578E-16;5,55111512312578E-16;0
79;2,66453525910038E-15;2,66453525910038E-15;0
79,5;1,24344978758018E-14;1,24344978758018E-14;0
80;4,44089209850063E-16;4,44089209850063E-16;0
80,5;3,77475828372553E-15;3,77475828372553E-15;0
81;2,44249065417534E-15;2,44249065417534E-15;0
81,5;1,26565424807268E-14;1,26565424807268E-14;0
82;2,1094237467878E-15;2,1094237467878E-15;0
82,5;2,22044604925031E-15;2,22044604925031E-15;0
83;2,88657986402541E-15;2,88657986402541E-15;0
83,5;3,33066907387547E-16;3,33066907387547E-16;0
84;3,10862446895044E-15;3,10862446895044E-15;0
84,5;1,22124532708767E-14;1,22124532708767E-14;0
85;4,21884749357559E-15;4,21884749357559E-15;0
85,5;1,24344978758018E-14;1,24344978758018E-14;0
86;8,65973959207622E-15;8,65973959207622E-15;0
86,5;3,33066907387547E-15;3,33066907387547E-15;0
87;5,99520433297585E-15;5,99520433297585E-15;0
87,5;9,32587340685131E-15;9,32587340685131E-15;0
88;3,99680288865056E-15;3,99680288865056E-15;0
88,5;1,02140518265514E-14;1,02140518265514E-14;0
89;1,50990331349021E-14;1,50990331349021E-14;0
89,5;7,99360577730113E-15;7,99360577730113E-15;0
90;1,11022302462516E-14;1,11022302462516E-14;0
90,5;2,33146835171283E-15;2,33146835171283E-15;0
91;4,66293670342566E-15;4,66293670342566E-15;0
91,5;2,22044604925031E-16;2,22044604925031E-16;0
92;4,32986979603811E-15;4,32986979603811E-15;0
92,5;1,17683640610267E-14;1,17683640610267E-14;0
93;1,77635683940025E-15;1,77635683940025E-15;0
93,5;1,08801856413265E-14;1,08801856413265E-14;0
94;6,43929354282591E-15;6,43929354282591E-15;0
94,5;3,10862446895044E-15;3,10862446895044E-15;0
95;1,28785870856518E-14;1,28785870856518E-14;0
95,5;1,28785870856518E-14;1,28785870856518E-14;0
96;2,22044604925031E-16;2,22044604925031E-16;0
96,5;1,02140518265514E-14;1,02140518265514E-14;0
97;1,33226762955019E-15;1,33226762955019E-15;0
97,5;1,48769885299771E-14;1,48769885299771E-14;0
98;8,21565038222616E-15;8,21565038222616E-15;0
98,5;3,10862446895044E-15;3,10862446895044E-15;0
99;7,7715611723761E-15;7,7715611723761E-15;0
99,5;1,17683640610267E-14;1,17683640610267E-14;0
