x;absoluteError;relativeError;computation time (milliseconds)
-0,99;0,295345479780041;1;0
-0,98;0,296886052200793;1;0
-0,97;0,297521785683187;1;0
-0,96;0,297340900745201;1;0
-0,95;0,296424072539416;1;0
-0,94;0,294845082989678;1;0
-0,93;0,292671418743202;1;0
-0,92;0,289964818506148;1;0
-0,91;0,286781773366826;1;0
-0,9;0,28317398365322;1;0
-0,89;0,279188775750728;1;0
-0,88;0,274869482144317;1;0
-0,87;0,270255787762927;1;0
-0,86;0,265384045504984;1;0
-0,85;0,260287563620665;1;0
-0,84;0,254996867425157;1;0
-0,83;0,249539937621662;1;0
-0,82;0,24394242732594;1;0
-0,81;0,23822785970752;1;0
-0,8;0,232417807997176;1;0
-0,79;0,226532059456279;1;0
-0,78;0,220588764761163;1;0
-0,77;0,214604574124442;1;0
-0,76;0,208594761354772;1;0
-0,75;0,202573336946403;1;0
-0,74;0,196553151189268;0,999999999999999;0
-0,73;0,190545988198765;1;0
-0,72;0,184562651681044;1;0
-0,71;0,178613043173934;0,999999999999999;0
-0,7;0,172706233434994;1;0
-0,69;0,166850527585903;0,999999999999999;0
-0,68;0,161053524566027;1;0
-0,67;0,155322171396954;1;0
-0,66;0,14966281271358;0,999999999999999;0
-0,65;0,144081235975532;1;0
-0,64;0,138582712734929;1;0
-0,63;0,133172036302277;1;0
-0,62;0,127853556121399;1;0
-0,61;0,122631209136369;1;0
-0,6;0,117508548408124;1;0
-0,59;0,112488769215631;1;0
-0,58;0,1075747328558;0,999999999999999;0
-0,57;0,102768988337686;1;0
-0,56;0,098073792149634;1;0
-0,55;0,0934911262627465;1;0
-0,54;0,0890227145202686;1;0
-0,53;0,0846700375499563;0,999999999999999;0
-0,52;0,0804343463252335;1;0
-0,51;0,0763166744906822;1;0
-0,5;0,0723178495581816;1;0
-0,49;0,0684385030715999;1;0
-0,48;0,0646790798303718;1;0
-0,47;0,0610398462554049;1;0
-0,46;0,0575208979745002;1;0
-0,45;0,0541221666988326;1;0
-0,44;0,0508434264568657;1;0
-0,43;0,0476842992473999;1;0
-0,42;0,0446442601691893;1;0
-0,41;0,0417226420806637;1;0
-0,4;0,0389186398397296;1;0
-0,39;0,0362313141703621;1;0
-0,38;0,0336595951996934;1;0
-0,37;0,0312022857065333;1;0
-0,36;0,0288580641196884;1;0
-0,35;0,0266254873020581;0,999999999999998;0
-0,34;0,0245029931542567;1;0
-0,33;0,0224889030694026;1;0
-0,32;0,0205814242687461;1;0
-0,31;0,0187786520459095;1,00000000000001;0
-0,3;0,0170785719457193;1,00000000000001;0
-0,29;0,0154790619018791;1,00000000000001;0
-0,28;0,0139778943560477;1,00000000000001;0
-0,27;0,0125727383792678;1;0
-0,26;0,0112611618150918;1;0
-0,25;0,0100406334621915;0,999999999999997;0
-0,24;0,00890852531269906;1;0
-0,23;0,00786211486100249;1,00000000000001;0
-0,22;0,00689858749621292;1,00000000000001;0
-0,21;0,00601503899002678;1,00000000000001;0
-0,2;0,00520847809021174;1,00000000000002;0
-0,19;0,0044758292284803;1,00000000000002;0
-0,18;0,00381393535003702;1,00000000000001;0
-0,17;0,00321956087064074;0,999999999999991;0
-0,16;0,00268939476557495;1,00000000000001;0
-0,15;0,00222005379350787;1;0
-0,14;0,00180808585681855;1,00000000000002;0
-0,13;0,00144997349859341;1,00000000000011;0
-0,12;0,00114213753517024;0,999999999999964;0
-0,11;0,000880940821792825;0,999999999999953;0
-0,1;0,000662692147697402;1;0
-0,09;0,000483650255747689;1,0000000000002;0
-0,08;0,000340027980589366;1,00000000000008;0
-0,07;0,000227996498224303;0,999999999999939;0
-0,0599999999999999;0,000143689678892535;1,00000000000019;0
-0,0499999999999999;8,3208534232368E-05;1,0000000000005;0
-0,04;4,26257488445464E-05;1,00000000000065;0
-0,03;1,79902856350042E-05;1,00000000000559;0
-0,02;5,33205366330322E-06;1,00000000001952;0
-0,01;6,66626669146991E-07;1,00000000001561;0
0;0;0;0
0,01;6,66626669146991E-07;0,999999999830854;0
0,02;5,33205366329975E-06;0,999999999996096;0
0,03;1,79902856350042E-05;0,999999999998843;0
0,04;4,26257488445464E-05;0,999999999997884;0
0,05;8,32085342325831E-05;1,00000000000033;0
0,0600000000000001;0,000143689678892528;1,0000000000001;0
0,0700000000000001;0,000227996498224525;0,999999999999878;0
0,0800000000000001;0,000340027980589588;1,00000000000004;0
0,0900000000000001;0,000483650255747467;0,999999999999713;0
0,1;0,000662692147697402;0,999999999999979;0
0,11;0,000880940821792839;0,999999999999953;0
0,12;0,00114213753517023;0,999999999999951;0
0,13;0,00144997349859341;0,999999999999943;0
0,14;0,00180808585681855;1;0
0,15;0,00222005379350806;0,999999999999987;0
0,16;0,00268939476557498;1,00000000000001;0
0,17;0,00321956087064071;0,999999999999948;0
0,18;0,00381393535003699;0,999999999999971;0
0,19;0,00447582922848028;0,999999999999988;0
0,2;0,00520847809021174;1;0
0,21;0,00601503899002676;0,999999999999991;0
0,22;0,00689858749621289;0,999999999999988;0
0,23;0,00786211486100249;1;0
0,24;0,00890852531269906;0,999999999999988;0
0,25;0,0100406334621915;0,999999999999986;0
0,26;0,0112611618150918;0,999999999999995;0
0,27;0,0125727383792678;0,999999999999991;0
0,28;0,0139778943560477;1;0
0,29;0,0154790619018791;1;0
0,3;0,0170785719457191;0,999999999999993;0
0,31;0,0187786520459094;1;0
0,32;0,0205814242687461;0,999999999999992;0
0,33;0,0224889030694025;0,999999999999998;0
0,34;0,0245029931542569;1;0
0,35;0,0266254873020583;0,999999999999998;0
0,36;0,0288580641196884;1;0
0,37;0,0312022857065333;0,999999999999996;0
0,38;0,0336595951996934;0,999999999999997;0
0,39;0,0362313141703619;0,999999999999997;0
0,4;0,0389186398397298;1;0
0,41;0,0417226420806638;1;0
0,42;0,0446442601691893;0,999999999999999;0
0,43;0,0476842992473999;0,999999999999998;0
0,44;0,0508434264568657;0,999999999999998;0
0,45;0,0541221666988326;0,999999999999998;0
0,46;0,0575208979745002;1;0
0,47;0,0610398462554051;1;0
0,48;0,064679079830372;0,999999999999998;0
0,49;0,0684385030715997;0,999999999999998;0
0,5;0,0723178495581817;0,999999999999998;0
0,51;0,0763166744906822;0,999999999999999;0
0,52;0,0804343463252333;1;0
0,53;0,0846700375499564;1;0
0,54;0,0890227145202686;1;0
0,55;0,0934911262627465;0,999999999999999;0
0,56;0,0980737921496339;0,999999999999999;0
0,57;0,102768988337687;0,999999999999999;0
0,58;0,1075747328558;0,999999999999998;0
0,59;0,112488769215631;1;0
0,6;0,117508548408124;0,999999999999999;0
0,61;0,122631209136369;1;0
0,62;0,127853556121399;0,999999999999999;0
0,63;0,133172036302277;0,999999999999999;0
0,64;0,138582712734929;1;0
0,65;0,144081235975532;1;0
0,66;0,14966281271358;0,999999999999999;0
0,67;0,155322171396954;0,999999999999999;0
0,68;0,161053524566027;0,999999999999999;0
0,69;0,166850527585903;0,999999999999999;0
0,7;0,172706233434994;1;0
0,71;0,178613043173934;0,999999999999999;0
0,72;0,184562651681044;1;0
0,73;0,190545988198765;1;0
0,74;0,196553151189268;0,999999999999999;0
0,75;0,202573336946403;0,999999999999999;0
0,76;0,208594761354772;0,999999999999999;0
0,77;0,214604574124442;1;0
0,78;0,220588764761163;1;0
0,79;0,226532059456279;1;0
0,8;0,232417807997176;1;0
0,81;0,23822785970752;1;0
0,82;0,24394242732594;1;0
0,83;0,249539937621662;1;0
0,84;0,254996867425157;1;0
0,85;0,260287563620665;1;0
0,86;0,265384045504985;1;0
0,87;0,270255787762927;1;0
0,88;0,274869482144317;1;0
0,89;0,279188775750728;1;0
0,9;0,28317398365322;1;0
0,91;0,286781773366826;1;0
0,92;0,289964818506148;1;0
0,93;0,292671418743202;1;0
0,94;0,294845082989678;1;0
0,95;0,296424072539416;1;0
0,96;0,297340900745201;1;0
0,97;0,297521785683187;1;0
0,98;0,296886052200793;1;0
0,99;0,295345479780041;1;0
