x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,11022302462516E-16;1;0
-0,98;1,11022302462516E-16;1;0
-0,97;0;не число;0
-0,96;0;не число;0
-0,95;0;не число;0
-0,94;1,11022302462516E-16;1;0
-0,93;0;не число;0
-0,92;0;не число;0
-0,91;0;не число;0
-0,9;0;не число;0
-0,89;1,11022302462516E-16;1;0
-0,88;0;не число;0
-0,87;1,11022302462516E-16;1;0
-0,86;0;не число;0
-0,85;0;не число;0
-0,84;0;не число;0
-0,83;1,11022302462516E-16;1;0
-0,82;0;не число;0
-0,81;0;не число;0
-0,8;0;не число;0
-0,79;0;не число;0
-0,78;0;не число;0
-0,77;1,11022302462516E-16;1;0
-0,76;0;не число;0
-0,75;0;не число;0
-0,74;1,11022302462516E-16;1;0
-0,73;1,11022302462516E-16;1;0
-0,72;1,11022302462516E-16;1;0
-0,71;0;не число;0
-0,7;0;не число;0
-0,69;0;не число;0
-0,68;0;не число;0
-0,67;1,11022302462516E-16;1;0
-0,66;0;не число;0
-0,65;0;не число;0
-0,64;0;не число;0
-0,63;0;не число;0
-0,62;0;не число;0
-0,61;0;не число;0
-0,6;0;не число;0
-0,59;1,11022302462516E-16;1;0
-0,58;0;не число;0
-0,57;0;не число;0
-0,56;1,11022302462516E-16;1;0
-0,55;0;не число;0
-0,54;0;не число;0
-0,53;5,55111512312578E-17;1;0
-0,52;5,55111512312578E-17;1;0
-0,51;0;не число;0
-0,5;0;не число;0
-0,49;0;не число;0
-0,48;5,55111512312578E-17;1;0
-0,47;5,55111512312578E-17;1;0
-0,46;5,55111512312578E-17;1;0
-0,45;5,55111512312578E-17;1;0
-0,44;5,55111512312578E-17;1;0
-0,43;5,55111512312578E-17;1;0
-0,42;0;не число;0
-0,41;5,55111512312578E-17;1;0
-0,4;5,55111512312578E-17;1;0
-0,39;0;не число;0
-0,38;0;не число;0
-0,37;0;не число;0
-0,36;5,55111512312578E-17;1;0
-0,35;0;не число;0
-0,34;0;не число;0
-0,33;5,55111512312578E-17;1;0
-0,32;0;не число;0
-0,31;5,55111512312578E-17;1;0
-0,3;0;не число;0
-0,29;5,55111512312578E-17;1;0
-0,28;0;не число;0
-0,27;5,55111512312578E-17;1;0
-0,26;0;не число;0
-0,25;0;не число;0
-0,24;2,77555756156289E-17;1;0
-0,23;2,77555756156289E-17;1;0
-0,22;5,55111512312578E-17;1;0
-0,21;0;не число;0
-0,2;0;не число;0
-0,19;0;не число;0
-0,18;0;не число;0
-0,17;2,77555756156289E-17;1;0
-0,16;2,77555756156289E-17;1;0
-0,15;2,77555756156289E-17;1;0
-0,14;0;не число;0
-0,13;0;не число;0
-0,12;0;не число;0
-0,11;1,38777878078145E-17;1;0
-0,1;0;не число;0
-0,09;1,38777878078145E-17;1;0
-0,08;1,38777878078145E-17;1;0
-0,07;1,38777878078145E-17;1;0
-0,0599999999999999;6,93889390390723E-18;1;0
-0,0499999999999999;6,93889390390723E-18;1;0
-0,04;6,93889390390723E-18;1;0
-0,03;0;не число;0
-0,02;0;не число;0
-0,01;1,73472347597681E-18;1;0
0;0;не число;0
0,01;1,73472347597681E-18;1;0
0,02;0;не число;0
0,03;0;не число;0
0,04;6,93889390390723E-18;1;0
0,05;6,93889390390723E-18;1;0
0,0600000000000001;6,93889390390723E-18;1;0
0,0700000000000001;1,38777878078145E-17;1;0
0,0800000000000001;1,38777878078145E-17;1;0
0,0900000000000001;1,38777878078145E-17;1;0
0,1;0;не число;0
0,11;1,38777878078145E-17;1;0
0,12;0;не число;0
0,13;2,77555756156289E-17;1;0
0,14;0;не число;0
0,15;2,77555756156289E-17;1;0
0,16;2,77555756156289E-17;1;0
0,17;2,77555756156289E-17;1;0
0,18;0;не число;0
0,19;0;не число;0
0,2;0;не число;0
0,21;0;не число;0
0,22;5,55111512312578E-17;1;0
0,23;2,77555756156289E-17;1;0
0,24;2,77555756156289E-17;1;0
0,25;0;не число;0
0,26;0;не число;0
0,27;5,55111512312578E-17;1;0
0,28;0;не число;0
0,29;5,55111512312578E-17;1;0
0,3;5,55111512312578E-17;1;0
0,31;0;не число;0
0,32;0;не число;0
0,33;0;не число;0
0,34;0;не число;0
0,35;0;не число;0
0,36;0;не число;0
0,37;0;не число;0
0,38;0;не число;0
0,39;5,55111512312578E-17;1;0
0,4;5,55111512312578E-17;1;0
0,41;5,55111512312578E-17;1;0
0,42;5,55111512312578E-17;1;0
0,43;5,55111512312578E-17;1;0
0,44;5,55111512312578E-17;1;0
0,45;5,55111512312578E-17;1;0
0,46;5,55111512312578E-17;1;0
0,47;5,55111512312578E-17;1;0
0,48;5,55111512312578E-17;1;0
0,49;0;не число;0
0,5;0;не число;0
0,51;0;не число;0
0,52;5,55111512312578E-17;1;0
0,53;5,55111512312578E-17;1;0
0,54;0;не число;0
0,55;0;не число;0
0,56;1,11022302462516E-16;1;0
0,57;0;не число;0
0,58;0;не число;0
0,59;1,11022302462516E-16;1;0
0,6;0;не число;0
0,61;0;не число;0
0,62;0;не число;0
0,63;1,11022302462516E-16;1;0
0,64;1,11022302462516E-16;1;0
0,65;0;не число;0
0,66;0;не число;0
0,67;1,11022302462516E-16;1;0
0,68;0;не число;0
0,69;0;не число;0
0,7;0;не число;0
0,71;0;не число;0
0,72;1,11022302462516E-16;1;0
0,73;1,11022302462516E-16;1;0
0,74;1,11022302462516E-16;1;0
0,75;0;не число;0
0,76;0;не число;0
0,77;1,11022302462516E-16;1;0
0,78;0;не число;0
0,79;0;не число;0
0,8;0;не число;0
0,81;0;не число;0
0,82;0;не число;0
0,83;0;не число;0
0,84;0;не число;0
0,85;0;не число;0
0,86;0;не число;0
0,87;0;не число;0
0,88;1,11022302462516E-16;1;0
0,89;0;не число;0
0,9;0;не число;0
0,91;0;не число;0
0,92;1,11022302462516E-16;1;0
0,93;0;не число;0
0,94;1,11022302462516E-16;1;0
0,95;0;не число;0
0,96;0;не число;0
0,97;0;не число;0
0,98;1,11022302462516E-16;1;0
0,99;1,11022302462516E-16;1;0
