x;absoluteError;relativeError;computation time (milliseconds)
-0,995;1,52655665885959E-16;1;0
-0,99;2,77555756156289E-17;1;0
-0,985;8,32667268468867E-17;1;0
-0,98;2,77555756156289E-17;1;0
-0,975;2,77555756156289E-17;1;0
-0,97;0;не число;0
-0,965;0;не число;0
-0,96;0;не число;0
-0,955;1,11022302462516E-16;1;0
-0,95;1,66533453693773E-16;1;0
-0,945;1,11022302462516E-16;1;0
-0,94;0;не число;0
-0,935;5,55111512312578E-17;1;0
-0,93;0;не число;0
-0,925;5,55111512312578E-17;1;0
-0,92;2,22044604925031E-16;1;0
-0,915;5,55111512312578E-17;1;0
-0,91;5,55111512312578E-17;1;0
-0,905;0;не число;0
-0,9;5,55111512312578E-17;1;0
-0,895;5,55111512312578E-17;1;0
-0,89;0;не число;0
-0,885;1,11022302462516E-16;1;0
-0,88;1,11022302462516E-16;1;0
-0,875;1,11022302462516E-16;1;0
-0,87;0;не число;0
-0,865;0;не число;0
-0,86;1,11022302462516E-16;1;0
-0,855;1,11022302462516E-16;1;0
-0,85;0;не число;0
-0,845;2,22044604925031E-16;1;0
-0,84;1,11022302462516E-16;1;0
-0,835;0;не число;0
-0,83;0;не число;0
-0,825;1,11022302462516E-16;1;0
-0,82;0;не число;0
-0,815;1,11022302462516E-16;1;0
-0,81;2,22044604925031E-16;1;0
-0,805;0;не число;0
-0,8;1,11022302462516E-16;1;0
-0,795;1,11022302462516E-16;1;0
-0,79;1,11022302462516E-16;1;0
-0,785;1,11022302462516E-16;1;0
-0,78;1,11022302462516E-16;1;0
-0,775;0;не число;0
-0,77;0;не число;0
-0,765;1,11022302462516E-16;1;0
-0,76;1,11022302462516E-16;1;0
-0,755;1,11022302462516E-16;1;0
-0,75;0;не число;0
-0,745;0;не число;0
-0,74;1,11022302462516E-16;1;0
-0,735;1,11022302462516E-16;1;0
-0,73;1,11022302462516E-16;1;0
-0,725;1,11022302462516E-16;1;0
-0,72;1,11022302462516E-16;1;0
-0,715;2,22044604925031E-16;1;0
-0,71;0;не число;0
-0,705;2,22044604925031E-16;1;0
-0,7;2,22044604925031E-16;1;0
-0,695;0;не число;0
-0,69;2,22044604925031E-16;1;0
-0,685;0;не число;0
-0,68;2,22044604925031E-16;1;0
-0,675;0;не число;0
-0,67;0;не число;0
-0,665;2,22044604925031E-16;1;0
-0,66;0;не число;0
-0,655;2,22044604925031E-16;1;0
-0,65;0;не число;0
-0,645;2,22044604925031E-16;1;0
-0,64;2,22044604925031E-16;1;0
-0,635;0;не число;0
-0,63;2,22044604925031E-16;1;0
-0,625;0;не число;0
-0,62;2,22044604925031E-16;1;0
-0,615;2,22044604925031E-16;1;0
-0,61;2,22044604925031E-16;1;0
-0,605;0;не число;0
-0,6;2,22044604925031E-16;1;0
-0,595;0;не число;0
-0,59;0;не число;0
-0,585;2,22044604925031E-16;1;0
-0,58;2,22044604925031E-16;1;0
-0,575;0;не число;0
-0,57;2,22044604925031E-16;1;0
-0,565;0;не число;0
-0,56;0;не число;0
-0,555;2,22044604925031E-16;1;0
-0,55;0;не число;0
-0,545;0;не число;0
-0,54;0;не число;0
-0,535;0;не число;0
-0,53;0;не число;0
-0,525;0;не число;0
-0,52;0;не число;0
-0,515;2,22044604925031E-16;1;0
-0,51;0;не число;0
-0,505;2,22044604925031E-16;1;0
-0,5;2,22044604925031E-16;1;0
-0,495;0;не число;0
-0,49;2,22044604925031E-16;1;0
-0,485;2,22044604925031E-16;1;0
-0,48;0;не число;0
-0,475;2,22044604925031E-16;1;0
-0,47;0;не число;0
-0,465;2,22044604925031E-16;1;0
-0,46;2,22044604925031E-16;1;0
-0,455;4,44089209850063E-16;1;0
-0,45;4,44089209850063E-16;1;0
-0,445;0;не число;0
-0,44;0;не число;0
-0,435;0;не число;0
-0,43;4,44089209850063E-16;1;0
-0,425;0;не число;0
-0,42;0;не число;0
-0,415;4,44089209850063E-16;1;0
-0,41;0;не число;0
-0,405;4,44089209850063E-16;1;0
-0,4;4,44089209850063E-16;1;0
-0,395;0;не число;0
-0,39;0;не число;0
-0,385;0;не число;0
-0,38;0;не число;0
-0,375;0;не число;0
-0,37;4,44089209850063E-16;1;0
-0,365;0;не число;0
-0,36;0;не число;0
-0,355;0;не число;0
-0,35;0;не число;0
-0,345;0;не число;0
-0,34;4,44089209850063E-16;1;0
-0,335;0;не число;0
-0,33;0;не число;0
-0,325;0;не число;0
-0,32;0;не число;0
-0,315;0;не число;0
-0,31;0;не число;0
-0,305;4,44089209850063E-16;1;0
-0,3;4,44089209850063E-16;1;0
-0,295;0;не число;0
-0,29;0;не число;0
-0,285;0;не число;0
-0,28;4,44089209850063E-16;1;0
-0,275;0;не число;0
-0,27;0;не число;0
-0,265;4,44089209850063E-16;1;0
-0,26;0;не число;0
-0,255;0;не число;0
-0,25;4,44089209850063E-16;1;0
-0,245;0;не число;0
-0,24;8,88178419700125E-16;1;0
-0,235;0;не число;0
-0,23;0;не число;0
-0,225;0;не число;0
-0,22;0;не число;0
-0,215;0;не число;0
-0,21;0;не число;0
-0,205;8,88178419700125E-16;1;0
-0,2;8,88178419700125E-16;1;0
-0,195;8,88178419700125E-16;1;0
-0,19;0;не число;0
-0,185;0;не число;0
-0,18;0;не число;0
-0,175;8,88178419700125E-16;1;0
-0,17;0;не число;0
-0,165;0;не число;0
-0,16;8,88178419700125E-16;1;0
-0,155;0;не число;0
-0,15;0;не число;0
-0,145;0;не число;0
-0,14;8,88178419700125E-16;1;0
-0,135;8,88178419700125E-16;1;0
-0,13;8,88178419700125E-16;1;0
-0,125;8,88178419700125E-16;1;0
-0,12;0;не число;0
-0,115;0;не число;0
-0,11;0;не число;0
-0,105;0;не число;0
-0,1;0;не число;0
-0,095;0;не число;0
-0,09;0;не число;0
-0,085;0;не число;0
-0,08;0;не число;0
-0,075;0;не число;0
-0,07;1,77635683940025E-15;1;0
-0,0649999999999999;1,77635683940025E-15;1;0
-0,0599999999999999;0;не число;0
-0,0549999999999999;0;не число;0
-0,0499999999999999;0;не число;0
-0,0449999999999999;3,5527136788005E-15;1;0
-0,04;3,5527136788005E-15;1;0
-0,035;0;не число;0
-0,03;0;не число;0
-0,025;7,105427357601E-15;1;0
-0,02;0;не число;0
-0,015;0;не число;0
-0,01;1,4210854715202E-14;1;0
-0,005;0;не число;0
