x;absoluteError;relativeError;computation time (milliseconds)
-0,99;не число;не число;0
-0,98;не число;не число;0
-0,97;не число;не число;0
-0,96;не число;не число;0
-0,95;не число;не число;0
-0,94;не число;не число;0
-0,93;не число;не число;0
-0,92;не число;не число;0
-0,91;не число;не число;0
-0,9;не число;не число;0
-0,89;не число;не число;0
-0,88;не число;не число;0
-0,87;не число;не число;0
-0,86;не число;не число;0
-0,85;не число;не число;0
-0,84;не число;не число;0
-0,83;не число;не число;0
-0,82;не число;не число;0
-0,81;не число;не число;0
-0,8;не число;не число;0
-0,79;не число;не число;0
-0,78;не число;не число;0
-0,77;не число;не число;0
-0,76;не число;не число;0
-0,75;не число;не число;0
-0,74;не число;не число;0
-0,73;не число;не число;0
-0,72;не число;не число;0
-0,71;не число;не число;0
-0,7;не число;не число;0
-0,69;не число;не число;0
-0,68;не число;не число;0
-0,67;не число;не число;0
-0,66;не число;не число;0
-0,65;не число;не число;0
-0,64;не число;не число;0
-0,63;не число;не число;0
-0,62;не число;не число;0
-0,61;не число;не число;0
-0,6;не число;не число;0
-0,59;не число;не число;0
-0,58;не число;не число;0
-0,57;не число;не число;0
-0,56;не число;не число;0
-0,55;не число;не число;0
-0,54;не число;не число;0
-0,53;не число;не число;0
-0,52;не число;не число;0
-0,51;не число;не число;0
-0,5;не число;не число;0
-0,49;не число;не число;0
-0,48;не число;не число;0
-0,47;не число;не число;0
-0,46;не число;не число;0
-0,45;не число;не число;0
-0,44;не число;не число;0
-0,43;не число;не число;0
-0,42;не число;не число;0
-0,41;не число;не число;0
-0,4;не число;не число;0
-0,39;не число;не число;0
-0,38;не число;не число;0
-0,37;не число;не число;0
-0,36;не число;не число;0
-0,35;не число;не число;0
-0,34;не число;не число;0
-0,33;не число;не число;0
-0,32;не число;не число;0
-0,31;не число;не число;0
-0,3;не число;не число;0
-0,29;не число;не число;0
-0,28;не число;не число;0
-0,27;не число;не число;0
-0,26;не число;не число;0
-0,25;не число;не число;0
-0,24;не число;не число;0
-0,23;не число;не число;0
-0,22;не число;не число;0
-0,21;не число;не число;0
-0,2;не число;не число;0
-0,19;не число;не число;0
-0,18;не число;не число;0
-0,17;не число;не число;0
-0,16;не число;не число;0
-0,15;не число;не число;0
-0,14;не число;не число;0
-0,13;не число;не число;0
-0,12;не число;не число;0
-0,11;не число;не число;0
-0,1;не число;не число;0
-0,09;не число;не число;0
-0,08;не число;не число;0
-0,07;не число;не число;0
-0,0599999999999999;не число;не число;0
-0,0499999999999999;не число;не число;0
-0,04;не число;не число;0
-0,03;не число;не число;0
-0,02;не число;не число;0
-0,01;не число;не число;0
0;не число;не число;0
0,01;не число;не число;0
0,02;не число;не число;0
0,03;не число;не число;0
0,04;не число;не число;0
0,05;не число;не число;0
0,0600000000000001;не число;не число;0
0,0700000000000001;не число;не число;0
0,0800000000000001;не число;не число;0
0,0900000000000001;не число;не число;0
0,1;не число;не число;0
0,11;не число;не число;0
0,12;не число;не число;0
0,13;не число;не число;0
0,14;не число;не число;0
0,15;не число;не число;0
0,16;не число;не число;0
0,17;не число;не число;0
0,18;не число;не число;0
0,19;не число;не число;0
0,2;не число;не число;0
0,21;не число;не число;0
0,22;не число;не число;0
0,23;не число;не число;0
0,24;не число;не число;0
0,25;не число;не число;0
0,26;не число;не число;0
0,27;не число;не число;0
0,28;не число;не число;0
0,29;не число;не число;0
0,3;не число;не число;0
0,31;не число;не число;0
0,32;не число;не число;0
0,33;не число;не число;0
0,34;не число;не число;0
0,35;не число;не число;0
0,36;не число;не число;0
0,37;не число;не число;0
0,38;не число;не число;0
0,39;не число;не число;0
0,4;не число;не число;0
0,41;не число;не число;0
0,42;не число;не число;0
0,43;не число;не число;0
0,44;не число;не число;0
0,45;не число;не число;0
0,46;не число;не число;0
0,47;не число;не число;0
0,48;не число;не число;0
0,49;не число;не число;0
0,5;не число;не число;0
0,51;не число;не число;0
0,52;не число;не число;0
0,53;не число;не число;0
0,54;не число;не число;0
0,55;не число;не число;0
0,56;не число;не число;0
0,57;не число;не число;0
0,58;не число;не число;0
0,59;не число;не число;0
0,6;не число;не число;0
0,61;не число;не число;0
0,62;не число;не число;0
0,63;не число;не число;0
0,64;не число;не число;0
0,65;0,508606426935861;1;0
0,66;0,464110629818888;1;0
0,67;0,433579290287763;1;0
0,68;0,409771711960351;1;0
0,69;0,39014115214469;1;0
0,7;0,373434365161602;1;0
0,71;0,358924144329185;1;0
0,72;0,346143801766593;1;0
0,73;0,334772582144903;1;0
0,74;0,324578755224807;1;0
0,75;0,315388427167343;1;0
0,76;0,307067144989091;1;0
0,77;0,299508409782774;1;0
0,78;0,292626168745743;1;0
0,79;0,286349720520644;1;0
0,8;0,280620148212536;1;0
0,81;0,275387754781983;1;0
0,82;0,270610176562746;1;0
0,83;0,266250967809712;1;0
0,84;0,262278520046267;1;0
0,85;0,258665224252473;1;0
0,86;0,255386812390357;1;0
0,87;0,252421833516071;1;0
0,88;0,249751232367749;1;0
0,89;0,247358007008506;1;0
0,9;0,245226928188972;1;0
0,91;0,243344307424668;1;0
0,92;0,241697803912573;1;0
0,93;0,24027626270314;1;0
0,94;0,239069578244086;1;0
0,95;0,238068578688067;1;0
0,96;0,237264927324286;1;0
0,97;0,23665103823576;1;0
0,98;0,236220003857861;1;0
0,99;0,235965532561639;1;0
