x;absoluteError;relativeError;computation time (milliseconds)
-0,995;2,91433543964104E-16;1;0
-0,99;1,66533453693773E-16;1;0
-0,985;1,66533453693773E-16;1;0
-0,98;1,66533453693773E-16;1;0
-0,975;1,66533453693773E-16;1;0
-0,97;5,55111512312578E-17;1;0
-0,965;1,66533453693773E-16;1;0
-0,96;3,33066907387547E-16;1;0
-0,955;2,22044604925031E-16;1;0
-0,95;2,22044604925031E-16;1;0
-0,945;5,55111512312578E-17;1;0
-0,94;1,66533453693773E-16;1;0
-0,935;2,22044604925031E-16;1;0
-0,93;2,22044604925031E-16;1;0
-0,925;1,11022302462516E-16;1;0
-0,92;1,11022302462516E-16;1;0
-0,915;1,66533453693773E-16;1;0
-0,91;2,22044604925031E-16;1;0
-0,905;1,66533453693773E-16;1;0
-0,9;1,11022302462516E-16;1;0
-0,895;0;не число;0
-0,89;2,22044604925031E-16;1;0
-0,885;2,22044604925031E-16;1;0
-0,88;2,22044604925031E-16;1;0
-0,875;1,11022302462516E-16;1;0
-0,87;1,11022302462516E-16;1;0
-0,865;1,11022302462516E-16;1;0
-0,86;1,11022302462516E-16;1;0
-0,855;2,22044604925031E-16;1;0
-0,85;1,11022302462516E-16;1;0
-0,845;1,11022302462516E-16;1;0
-0,84;2,22044604925031E-16;1;0
-0,835;0;не число;0
-0,83;1,11022302462516E-16;1;0
-0,825;2,22044604925031E-16;1;0
-0,82;1,11022302462516E-16;1;0
-0,815;2,22044604925031E-16;1;0
-0,81;1,11022302462516E-16;1;0
-0,805;3,33066907387547E-16;1;0
-0,8;1,11022302462516E-16;1;0
-0,795;3,33066907387547E-16;1;0
-0,79;1,11022302462516E-16;1;0
-0,785;2,22044604925031E-16;1;0
-0,78;1,11022302462516E-16;1;0
-0,775;1,11022302462516E-16;1;0
-0,77;2,22044604925031E-16;1;0
-0,765;3,33066907387547E-16;1;0
-0,76;0;не число;0
-0,755;1,11022302462516E-16;1;0
-0,75;1,11022302462516E-16;1;0
-0,745;3,33066907387547E-16;1;0
-0,74;2,22044604925031E-16;1;0
-0,735;3,33066907387547E-16;1;0
-0,73;1,11022302462516E-16;1;0
-0,725;0;не число;0
-0,72;4,44089209850063E-16;1;0
-0,715;0;не число;0
-0,71;0;не число;0
-0,705;4,44089209850063E-16;1;0
-0,7;4,44089209850063E-16;1;0
-0,695;2,22044604925031E-16;1;0
-0,69;2,22044604925031E-16;1;0
-0,685;4,44089209850063E-16;1;0
-0,68;4,44089209850063E-16;1;0
-0,675;0;не число;0
-0,67;4,44089209850063E-16;1;0
-0,665;0;не число;0
-0,66;2,22044604925031E-16;1;0
-0,655;2,22044604925031E-16;1;0
-0,65;4,44089209850063E-16;1;0
-0,645;0;не число;0
-0,64;0;не число;0
-0,635;4,44089209850063E-16;1;0
-0,63;0;не число;0
-0,625;2,22044604925031E-16;1;0
-0,62;0;не число;0
-0,615;4,44089209850063E-16;1;0
-0,61;6,66133814775094E-16;1;0
-0,605;4,44089209850063E-16;1;0
-0,6;6,66133814775094E-16;1;0
-0,595;2,22044604925031E-16;1;0
-0,59;2,22044604925031E-16;1;0
-0,585;2,22044604925031E-16;1;0
-0,58;2,22044604925031E-16;1;0
-0,575;2,22044604925031E-16;1;0
-0,57;6,66133814775094E-16;1;0
-0,565;4,44089209850063E-16;1;0
-0,56;4,44089209850063E-16;1;0
-0,555;2,22044604925031E-16;1;0
-0,55;2,22044604925031E-16;1;0
-0,545;6,66133814775094E-16;1;0
-0,54;2,22044604925031E-16;1;0
-0,535;4,44089209850063E-16;1;0
-0,53;0;не число;0
-0,525;2,22044604925031E-16;1;0
-0,52;2,22044604925031E-16;1;0
-0,515;0;не число;0
-0,51;6,66133814775094E-16;1;0
-0,505;6,66133814775094E-16;1;0
-0,5;4,44089209850063E-16;1;0
-0,495;6,66133814775094E-16;1;0
-0,49;6,66133814775094E-16;1;0
-0,485;2,22044604925031E-16;1;0
-0,48;2,22044604925031E-16;1;0
-0,475;1,11022302462516E-15;1;0
-0,47;2,22044604925031E-16;1;0
-0,465;4,44089209850063E-16;1;0
-0,46;4,44089209850063E-16;1;0
-0,455;1,11022302462516E-15;1;0
-0,45;6,66133814775094E-16;1;0
-0,445;4,44089209850063E-16;1;0
-0,44;4,44089209850063E-16;1;0
-0,435;8,88178419700125E-16;1;0
-0,43;8,88178419700125E-16;1;0
-0,425;4,44089209850063E-16;1;0
-0,42;4,44089209850063E-16;1;0
-0,415;0;не число;0
-0,41;0;не число;0
-0,405;4,44089209850063E-16;1;0
-0,4;4,44089209850063E-16;1;0
-0,395;0;не число;0
-0,39;4,44089209850063E-16;1;0
-0,385;0;не число;0
-0,38;8,88178419700125E-16;1;0
-0,375;0;не число;0
-0,37;4,44089209850063E-16;1;0
-0,365;4,44089209850063E-16;1;0
-0,36;8,88178419700125E-16;1;0
-0,355;4,44089209850063E-16;1;0
-0,35;4,44089209850063E-16;1;0
-0,345;4,44089209850063E-16;1;0
-0,34;0;не число;0
-0,335;4,44089209850063E-16;1;0
-0,33;8,88178419700125E-16;1;0
-0,325;4,44089209850063E-16;1;0
-0,32;0;не число;0
-0,315;0;не число;0
-0,31;4,44089209850063E-16;1;0
-0,305;4,44089209850063E-16;1;0
-0,3;1,33226762955019E-15;1;0
-0,295;8,88178419700125E-16;1;0
-0,29;8,88178419700125E-16;1;0
-0,285;0;не число;0
-0,28;1,33226762955019E-15;1;0
-0,275;8,88178419700125E-16;1;0
-0,27;0;не число;0
-0,265;4,44089209850063E-16;1;0
-0,26;4,44089209850063E-16;1;0
-0,255;8,88178419700125E-16;1;0
-0,25;2,22044604925031E-15;1;0
-0,245;1,33226762955019E-15;1;0
-0,24;0;не число;0
-0,235;1,77635683940025E-15;1;0
-0,23;1,77635683940025E-15;1;0
-0,225;1,77635683940025E-15;1;0
-0,22;1,77635683940025E-15;1;0
-0,215;8,88178419700125E-16;1;0
-0,21;8,88178419700125E-16;1;0
-0,205;1,77635683940025E-15;1;0
-0,2;1,77635683940025E-15;1;0
-0,195;3,5527136788005E-15;1;0
-0,19;1,77635683940025E-15;1;0
-0,185;2,66453525910038E-15;1;0
-0,18;2,66453525910038E-15;1;0
-0,175;2,66453525910038E-15;1;0
-0,17;8,88178419700125E-16;1;0
-0,165;2,66453525910038E-15;1;0
-0,16;3,5527136788005E-15;1;0
-0,155;2,66453525910038E-15;1;0
-0,15;2,66453525910038E-15;1;0
-0,145;1,77635683940025E-15;1;0
-0,14;3,5527136788005E-15;1;0
-0,135;5,32907051820075E-15;1;0
-0,13;1,77635683940025E-15;1;0
-0,125;8,88178419700125E-16;1;0
-0,12;7,105427357601E-15;1;0
-0,115;5,32907051820075E-15;1;0
-0,11;8,88178419700125E-15;1;0
-0,105;7,105427357601E-15;1;0
-0,1;8,88178419700125E-15;1;0
-0,095;1,77635683940025E-15;1;0
-0,09;8,88178419700125E-15;1;0
-0,085;8,88178419700125E-15;1;0
-0,08;5,32907051820075E-15;1;0
-0,075;7,105427357601E-15;1;0
-0,07;1,06581410364015E-14;1;0
-0,0649999999999999;8,88178419700125E-15;1;0
-0,0599999999999999;1,77635683940025E-14;1;0
-0,0549999999999999;2,8421709430404E-14;1;0
-0,0499999999999999;2,1316282072803E-14;1;0
-0,0449999999999999;1,77635683940025E-14;1;0
-0,04;2,8421709430404E-14;1;0
-0,035;4,9737991503207E-14;1;0
-0,03;1,20792265079217E-13;1;0
-0,025;2,1316282072803E-14;1;0
-0,02;1,35003119794419E-13;1;0
-0,015;3,97903932025656E-13;1;0
-0,01;3,97903932025656E-13;1;0
-0,005;3,92219590139575E-12;1;0
