x;absoluteError;relativeError;computation time (milliseconds)
-9900;9,53150447458029E-10;1;0
-9800;2,54713086178526E-08;1;0
-9700;2,11311999009922E-08;1;0
-9600;1,84591044671834E-08;1;0
-9500;1,8007995095104E-08;1;0
-9400;1,30967237055302E-08;1;0
-9300;8,57289705891162E-09;1;0
-9200;2,22080416278914E-08;1;0
-9100;2,49201548285782E-09;1;0
-9000;1,63872755365446E-08;1;0
-8900;6,64658728055656E-09;1;0
-8800;1,78079062607139E-08;1;0
-8700;2,44017428485677E-08;1;0
-8600;1,77642505150288E-08;1;0
-8500;1,97178451344371E-09;1;0
-8400;1,33459252538159E-08;1;0
-8300;8,73660610523075E-09;1;0
-8200;1,09630491351709E-08;1;0
-8100;1,40780684887432E-08;1;0
-8000;1,03664206108078E-08;1;0
-7900;7,53698259359226E-09;1;0
-7800;4,77939465781674E-09;1;0
-7700;1,13459464046173E-08;1;0
-7600;1,34605215862393E-09;1;0
-7500;1,39261828735471E-08;1;0
-7400;1,06228981167078E-09;1;0
-7300;7,91715137893334E-09;1;0
-7200;7,36326910555363E-09;1;0
-7100;1,13159330794588E-08;1;0
-7000;6,36737240711227E-09;1;0
-6900;6,89124135533348E-09;1;0
-6800;2,79214873444289E-09;1;0
-6700;5,86442183703184E-09;1;0
-6600;1,51685526361689E-08;1;0
-6500;9,30413079913706E-09;1;0
-6400;4,86033968627453E-09;1;0
-6300;5,46151568414643E-09;1;0
-6200;6,59292709315196E-09;1;0
-6100;7,33962224330753E-10;1;0
-6000;4,25188773078844E-09;1;0
-5900;9,29139787331223E-09;1;0
-5800;2,76122591458261E-09;1;0
-5700;2,82125256489962E-09;1;0
-5600;3,87262844014913E-09;1;0
-5500;2,63753463514149E-11;1;0
-5400;2,44835973717272E-09;1;0
-5300;6,91034074407071E-09;1;0
-5200;2,1736923372373E-09;1;0
-5100;3,8198777474463E-09;1;0
-5000;2,83762346953154E-10;1;0
-4900;5,06133801536635E-09;1;0
-4800;4,32919478043914E-10;1;0
-4700;5,88715920457616E-09;1;0
