x;absoluteError;relativeError;computation time (milliseconds)
-0,99;3,14159265358979;1;0
-0,98;3,14159265358979;1;0
-0,97;3,14159265358979;1;0
-0,96;3,14159265358979;1;0
-0,95;3,14159265358979;1;0
-0,94;3,14159265358979;1;0
-0,93;3,14159265358979;1;0
-0,92;3,14159265358979;1;0
-0,91;3,14159265358979;1;0
-0,9;3,14159265358979;1;0
-0,89;3,14159265358979;1;0
-0,88;3,14159265358979;1;0
-0,87;3,14159265358979;1;0
-0,86;3,14159265358979;1;0
-0,85;3,14159265358979;1;0
-0,84;3,14159265358979;1;0
-0,83;3,14159265358979;1;0
-0,82;3,14159265358979;1;0
-0,81;3,14159265358979;1;0
-0,8;3,14159265358979;1;0
-0,79;3,14159265358979;1;0
-0,78;3,14159265358979;1;0
-0,77;3,14159265358979;1;0
-0,76;3,14159265358979;1;0
-0,75;3,14159265358979;1;0
-0,74;3,14159265358979;1;0
-0,73;3,14159265358979;1;0
-0,72;3,14159265358979;1;0
-0,71;3,14159265358979;1;0
-0,7;3,14159265358979;1;0
-0,69;3,14159265358979;1;0
-0,68;3,14159265358979;1;0
-0,67;3,14159265358979;1;0
-0,66;3,14159265358979;1;0
-0,65;3,14159265358979;1;0
-0,64;3,14159265358979;1;0
-0,63;3,14159265358979;1;0
-0,62;3,14159265358979;1;0
-0,61;3,14159265358979;1;0
-0,6;3,14159265358979;1;0
-0,59;3,14159265358979;1;0
-0,58;3,14159265358979;1;0
-0,57;3,14159265358979;1;0
-0,56;3,14159265358979;1;0
-0,55;3,14159265358979;1;0
-0,54;3,14159265358979;1;0
-0,53;3,14159265358979;1;0
-0,52;3,14159265358979;1;0
-0,51;3,14159265358979;1;0
-0,5;3,14159265358979;1;0
-0,49;3,14159265358979;1;0
-0,48;3,14159265358979;1;0
-0,47;3,14159265358979;1;0
-0,46;3,14159265358979;1;0
-0,45;3,14159265358979;1;0
-0,44;3,14159265358979;1;0
-0,43;3,14159265358979;1;0
-0,42;3,14159265358979;1;0
-0,41;3,14159265358979;1;0
-0,4;3,14159265358979;1;0
-0,39;3,14159265358979;1;0
-0,38;3,14159265358979;1;0
-0,37;3,14159265358979;1;0
-0,36;3,14159265358979;1;0
-0,35;3,14159265358979;1;0
-0,34;3,14159265358979;1;0
-0,33;3,14159265358979;1;0
-0,32;3,14159265358979;1;0
-0,31;3,14159265358979;1;0
-0,3;3,14159265358979;1;0
-0,29;3,14159265358979;1;0
-0,28;3,14159265358979;1;0
-0,27;3,14159265358979;1;0
-0,26;3,14159265358979;1;0
-0,25;3,14159265358979;1;0
-0,24;3,14159265358979;1;0
-0,23;3,14159265358979;1;0
-0,22;3,14159265358979;1;0
-0,21;3,14159265358979;1;0
-0,2;3,14159265358979;1;0
-0,19;3,14159265358979;1;0
-0,18;3,14159265358979;1;0
-0,17;3,14159265358979;1;0
-0,16;3,14159265358979;1;0
-0,15;3,14159265358979;1;0
-0,14;3,14159265358979;1;0
-0,13;3,14159265358979;1;0
-0,12;3,14159265358979;1;0
-0,11;3,14159265358979;1;0
-0,1;3,14159265358979;1;0
-0,09;3,14159265358979;1;0
-0,08;3,14159265358979;1;0
-0,07;3,14159265358979;1;0
-0,0599999999999999;3,14159265358979;1;0
-0,0499999999999999;3,14159265358979;1;0
-0,04;3,14159265358979;1;0
-0,03;3,14159265358979;1;0
-0,02;3,14159265358979;1;0
-0,01;3,14159265358979;1;0
0;0;не число;0
0,01;0;не число;0
0,02;0;не число;0
0,03;0;не число;0
0,04;0;не число;0
0,05;0;не число;0
0,0600000000000001;0;не число;0
0,0700000000000001;0;не число;0
0,0800000000000001;0;не число;0
0,0900000000000001;0;не число;0
0,1;0;не число;0
0,11;0;не число;0
0,12;0;не число;0
0,13;0;не число;0
0,14;0;не число;0
0,15;0;не число;0
0,16;0;не число;0
0,17;0;не число;0
0,18;0;не число;0
0,19;0;не число;0
0,2;0;не число;0
0,21;0;не число;0
0,22;0;не число;0
0,23;0;не число;0
0,24;0;не число;0
0,25;0;не число;0
0,26;0;не число;0
0,27;0;не число;0
0,28;0;не число;0
0,29;0;не число;0
0,3;0;не число;0
0,31;0;не число;0
0,32;0;не число;0
0,33;0;не число;0
0,34;0;не число;0
0,35;0;не число;0
0,36;0;не число;0
0,37;0;не число;0
0,38;0;не число;0
0,39;0;не число;0
0,4;0;не число;0
0,41;0;не число;0
0,42;0;не число;0
0,43;0;не число;0
0,44;0;не число;0
0,45;0;не число;0
0,46;0;не число;0
0,47;0;не число;0
0,48;0;не число;0
0,49;0;не число;0
0,5;0;не число;0
0,51;0;не число;0
0,52;0;не число;0
0,53;0;не число;0
0,54;0;не число;0
0,55;0;не число;0
0,56;0;не число;0
0,57;0;не число;0
0,58;0;не число;0
0,59;0;не число;0
0,6;1,11022302462516E-16;1;0
0,61;1,11022302462516E-16;1;0
0,62;1,11022302462516E-16;1;0
0,63;1,11022302462516E-16;1;0
0,64;1,11022302462516E-16;1;0
0,65;1,11022302462516E-16;1;0
0,66;0;не число;0
0,67;1,11022302462516E-16;1;0
0,68;0;не число;0
0,69;1,11022302462516E-16;1;0
0,7;0;не число;0
0,71;0;не число;0
0,72;0;не число;0
0,73;0;не число;0
0,74;1,11022302462516E-16;1;0
0,75;0;не число;0
0,76;0;не число;0
0,77;0;не число;0
0,78;0;не число;0
0,79;1,11022302462516E-16;1;0
0,8;0;не число;0
0,81;1,11022302462516E-16;1;0
0,82;0;не число;0
0,83;1,11022302462516E-16;1;0
0,84;1,11022302462516E-16;1;0
0,85;1,11022302462516E-16;1;0
0,86;0;не число;0
0,87;1,11022302462516E-16;1;0
0,88;1,11022302462516E-16;1;0
0,89;1,11022302462516E-16;1;0
0,9;1,11022302462516E-16;1;0
0,91;1,11022302462516E-16;1;0
0,92;1,11022302462516E-16;1;0
0,93;1,11022302462516E-16;1;0
0,94;0;не число;0
0,95;0;не число;0
0,96;0;не число;0
0,97;0;не число;0
0,98;1,11022302462516E-16;1;0
0,99;1,11022302462516E-16;1;0
