x;absoluteError;relativeError;computation time (milliseconds)
-0,995;2,94150922636671;1;0
-0,99;2,85851370694094;1;0
-0,985;2,79474801139858;1;0
-0,98;2,74092296894355;1;0
-0,975;2,69344208298615;1;0
-0,97;2,65046161855921;1;0
-0,965;2,61088675439449;1;0
-0,96;2,57400443517314;1;0
-0,955;2,53931956248305;1;0
-0,95;2,50647179500675;1;0
-0,945;2,47518920554869;1;0
-0,94;2,44526061104387;1;0
-0,935;2,41651812901385;1;0
-0,93;2,38882568895434;1;0
-0,925;2,36207118799484;1;0
-0,92;2,33616097042847;1;0
-0,915;2,31101584137961;1;0
-0,91;2,28656812370005;1;0
-0,905;2,26275944267725;1;0
-0,9;2,23953902999727;1;0
-0,895;2,21686240555094;1;0
-0,89;2,19469033904566;1;0
-0,885;2,17298802209795;1;0
-0,88;2,151724400908;1;0
-0,875;2,13087163302148;1;0
-0,87;2,11040464109761;1;0
-0,865;2,09030074332107;1;0
-0,86;2,07053934496102;1;0
-0,855;2,05110167915254;1;0
-0,85;2,03197058762965;1;0
-0,845;2,01313033413463;1;0
-0,84;1,9945664447436;1;0
-0,835;1,97626557051116;1;0
-0,83;1,95821536873671;1;0
-0,825;1,94040439985769;1;0
-0,82;1,9228220375282;1;0
-0,815;1,90545838987936;1;0
-0,81;1,88830423030831;1;0
-0,805;1,87135093642371;1;0
-0,8;1,85459043600322;1;0
-0,795;1,83801515900355;1;0
-0,79;1,8216179948148;1;0
-0,785;1,80539225407564;1;0
-0,78;1,78933163446847;1;0
-0,775;1,77343018999913;1;0
-0,77;1,75768230333716;1;0
-0,765;1,74208266085201;1;0
-0,76;1,72662623003111;1;0
-0,755;1,71130823900775;1;0
-0,75;1,69612415796296;1;0
-0,745;1,68106968219586;1;0
-0,74;1,6661407166833;1;0
-0,735;1,65133336197165;1;0
-0,73;1,63664390126312;1;0
-0,725;1,62206878857516;1;0
-0,72;1,60760463786606;1;0
-0,715;1,59324821303208;1;0
-0,71;1,57899641869234;1;0
-0,705;1,56484629168686;1;0
-0,7;1,55079499322151;1;0
-0,695;1,53683980160075;1;0
-0,69;1,52297810549527;1;0
-0,685;1,50920739769708;1;0
-0,68;1,49552526931984;1;0
-0,675;1,48192940440604;1;0
-0,67;1,46841757490672;1;0
-0,665;1,45498763600283;1;0
-0,66;1,44163752174018;1;0
-0,655;1,42836524095264;1;0
-0,65;1,41516887345071;1;0
-0,645;1,40204656645464;1;0
-0,64;1,38899653125311;1;0
-0,635;1,3760170400704;1;0
-0,63;1,36310642312623;1;0
-0,625;1,35026306587406;1;0
-0,62;1,33748540640474;1;0
-0,615;1,32477193300358;1;0
-0,61;1,31212118184985;1;0
-0,605;1,29953173484875;1;0
-0,6;1,28700221758657;1;0
-0,595;1,27453129740061;1;0
-0,59;1,26211768155604;1;0
-0,585;1,24976011552262;1;0
-0,58;1,2374573813445;1;0
-0,575;1,22520829609724;1;0
-0,57;1,21301171042617;1;0
-0,565;1,20086650716105;1;0
-0,56;1,18877160000212;1;0
-0,555;1,17672593227321;1;0
-0,55;1,16472847573749;1;0
-0,545;1,15277822947239;1;0
-0,54;1,14087421879984;1;0
-0,535;1,12901549426859;1;0
-0,53;1,1172011306856;1;0
-0,525;1,10543022619357;1;0
-0,52;1,09370190139189;1;0
-0,515;1,08201529849864;1;0
-0,51;1,0703695805512;1;0
-0,505;1,0587639306433;1;0
-0,5;1,0471975511966;1;0
-0,495;1,03566966326476;1;0
-0,49;1,0241795058683;1;0
-0,485;1,01272633535855;1;0
-0,48;1,00130942480918;1;0
-0,475;0,989928063433789;1;0
-0,47;0,978581556028231;1;0
-0,465;0,96726922243634;1;0
-0,46;0,955990397037905;1;0
-0,455;0,94474442825771;1;0
-0,45;0,933530678094592;1;0
-0,445;0,922348521669507;1;0
-0,44;0,911197346791647;1;0
-0,435;0,900076553541734;1;0
-0,43;0,888985553871638;1;0
-0,425;0,877923771219521;1;0
-0,42;0,866890640139772;1;0
-0,415;0,855885605947011;1;0
-0,41;0,844908124373512;1;0
-0,405;0,833957661239388;1;0
-0,4;0,823033692134976;1;0
-0,395;0,81213570211482;1;0
-0,39;0,801263185402744;1;0
-0,385;0,790415645107503;1;0
-0,38;0,779592592948521;1;0
-0,375;0,768793548991278;1;0
-0,37;0,758018041391902;1;0
-0,365;0,747265606150562;1;0
-0,36;0,73653578687328;1;0
-0,355;0,725828134541777;1;0
-0,35;0,715142207291021;1;0
-0,345;0,704477570194129;1;0
-0,34;0,693833795054323;1;0
-0,335;0,683210460203615;1;0
-0,33;0,672607150307961;1;0
-0,325;0,662023456178589;1;0
-0,32;0,65145897458926;1;0
-0,315;0,640913308099196;1;0
-0,31;0,630386064881449;1;0
-0,305;0,619876858556491;1;0
-0,3;0,609385308030795;1;0
-0,295;0,598911037340215;1;0
-0,29;0,588453675497965;1;0
-0,285;0,578012856347003;1;0
-0,28;0,567588218416656;1;0
-0,275;0,557179404783301;1;0
-0,27;0,546786062934946;1;0
-0,265;0,536407844639551;1;0
-0,26;0,526044405816938;1;0
-0,255;0,515695406414158;1;0
-0,25;0,505360510284157;1;0
-0,245;0,495039385067632;1;0
-0,24;0,484731702077926;1;0
-0,235;0,47443713618887;1;0
-0,23;0,464155365725426;1;0
-0,225;0,45388607235704;1;0
-0,22;0,443628940993589;1;0
-0,215;0,433383659683822;1;0
-0,21;0,423149919516191;1;0
-0,205;0,412927414521985;1;0
-0,2;0,402715841580662;1;0
-0,195;0,392514900327307;1;0
-0,19;0,382324293062119;1;0
-0,185;0,372143724661846;1;0
-0,18;0,361972902493095;1;0
-0,175;0,351811536327433;1;0
-0,17;0,341659338258209;1;0
-0,165;0,331516022619033;1;0
-0,16;0,321381305903821;1;0
-0,155;0,311254906688371;1;0
-0,15;0,301136545553372;1;0
-0,145;0,291025945008813;1;0
-0,14;0,280922829419711;1;0
-0,135;0,270826924933111;1;0
-0,13;0,260737959406291;1;0
-0,125;0,25065566233613;1;0
-0,12;0,240579764789576;1;0
-0,115;0,230509999335155;1;0
-0,11;0,220446099975494;1;0
-0,105;0,210387802080777;1;0
-0,1;0,200334842323119;1;0
-0,095;0,19028695861178;1;0
-0,09;0,18024389002919;1;0
-0,085;0,170205376767747;1;0
-0,08;0,160171160067318;1;0
-0,075;0,150140982153433;1;0
-0,07;0,140114586176101;1;0
-0,0649999999999999;0,130091716149222;1;0
-0,0599999999999999;0,120072116890557;1;0
-0,0549999999999999;0,110055533962202;1;0
-0,0499999999999999;0,10004171361154;1;0
-0,0449999999999999;0,0900304027126283;1;0
-0,04;0,0800213487079786;1;0
-0,035;0,070014299550697;1;0
-0,03;0,0600090036469558;1;0
-0,025;0,0500052097987208;1;0
-0,02;0,0400026671467804;1;0
-0,015;0,030001125113926;1;0
-0,01;0,0200003333483331;1;0
-0,005;0,0100000416671465;1;0
