x;absoluteError;relativeError;computation time (milliseconds)
0,005;1,11516698653169E-14;1;0
0,01;1,17614251671228E-15;1;0
0,015;4,50507686711177E-15;1;0
0,02;4,64905891561784E-16;1;0
0,025;1,36349265211777E-15;1;0
0,03;1,89084858881472E-15;1;0
0,035;2,4980018054066E-16;1;0
0,04;6,52256026967279E-16;1;0
0,045;1,80411241501588E-16;1;0
0,05;9,71445146547012E-17;1;0
0,055;2,15105711021124E-16;1;0
0,06;4,85722573273506E-17;1;0
0,065;4,71844785465692E-16;1;0
0,07;1,38777878078145E-17;1;0
0,075;3,19189119579733E-16;1;0
0,08;2,35922392732846E-16;1;0
0,085;4,30211422042248E-16;1;0
0,09;4,16333634234434E-17;1;0
0,095;1,2490009027033E-16;1;0
0,1;5,55111512312578E-17;1;0
0,105;2,35922392732846E-16;1;0
0,11;4,44089209850063E-16;1;0
0,115;8,32667268468867E-17;1;0
0,12;1,11022302462516E-16;1;0
0,125;2,22044604925031E-16;1;0
0,13;2,4980018054066E-16;1;0
0,135;1,11022302462516E-16;1;0
0,14;2,77555756156289E-16;1;0
0,145;0;не число;0
0,15;3,60822483003176E-16;1;0
0,155;4,44089209850063E-16;1;0
0,16;3,88578058618805E-16;1;0
0,165;4,16333634234434E-16;1;0
0,17;8,32667268468867E-17;1;0
0,175;1,38777878078145E-16;1;0
0,18;1,94289029309402E-16;1;0
0,185;1,11022302462516E-16;1;0
0,19;2,77555756156289E-16;1;0
0,195;1,38777878078145E-16;1;0
0,2;3,33066907387547E-16;1;0
0,205;1,11022302462516E-16;1;0
0,21;2,77555756156289E-17;1;0
0,215;5,55111512312578E-17;1;0
0,22;2,4980018054066E-16;1;0
0,225;2,77555756156289E-17;1;0
0,23;2,77555756156289E-17;1;0
0,235;8,32667268468867E-17;1;0
0,24;0;не число;0
0,245;1,66533453693773E-16;1;0
0,25;5,55111512312578E-17;1;0
0,255;1,66533453693773E-16;1;0
0,26;1,11022302462516E-16;1;0
0,265;0;не число;0
0,27;5,55111512312578E-17;1;0
0,275;0;не число;0
0,28;1,66533453693773E-16;1;0
0,285;1,11022302462516E-16;1;0
0,29;5,55111512312578E-17;1;0
0,295;1,66533453693773E-16;1;0
0,3;1,11022302462516E-16;1;0
0,305;5,55111512312578E-17;1;0
0,31;5,55111512312578E-17;1;0
0,315;5,55111512312578E-17;1;0
0,32;1,66533453693773E-16;1;0
0,325;5,55111512312578E-17;1;0
0,33;5,55111512312578E-17;1;0
0,335;5,55111512312578E-17;1;0
0,34;0;не число;0
0,345;1,66533453693773E-16;1;0
0,35;0;не число;0
0,355;1,66533453693773E-16;1;0
0,36;5,55111512312578E-17;1;0
0,365;5,55111512312578E-17;1;0
0,37;1,11022302462516E-16;1;0
0,375;1,66533453693773E-16;1;0
0,38;5,55111512312578E-17;1;0
0,385;5,55111512312578E-17;1;0
0,39;1,11022302462516E-16;1;0
0,395;2,77555756156289E-16;1;0
0,4;0;не число;0
0,405;2,22044604925031E-16;1;0
0,41;2,77555756156289E-16;1;0
0,415;5,55111512312578E-17;1;0
0,42;2,22044604925031E-16;1;0
0,425;2,22044604925031E-16;1;0
0,43;1,66533453693773E-16;1;0
0,435;0;не число;0
0,44;1,66533453693773E-16;1;0
0,445;0;не число;0
0,45;1,11022302462516E-16;1;0
0,455;1,11022302462516E-16;1;0
0,46;5,55111512312578E-17;1;0
0,465;5,55111512312578E-17;1;0
0,47;1,11022302462516E-16;1;0
0,475;0;не число;0
0,48;0;не число;0
0,485;1,11022302462516E-16;1;0
0,49;0;не число;0
0,495;2,22044604925031E-16;1;0
0,5;0;не число;0
0,505;0;не число;0
0,51;1,11022302462516E-16;1;0
0,515;1,11022302462516E-16;1;0
0,52;0;не число;0
0,525;2,22044604925031E-16;1;0
0,53;1,11022302462516E-16;1;0
0,535;1,11022302462516E-16;1;0
0,54;1,11022302462516E-16;1;0
0,545;1,11022302462516E-16;1;0
0,55;0;не число;0
0,555;1,11022302462516E-16;1;0
0,56;1,11022302462516E-16;1;0
0,565;0;не число;0
0,57;1,11022302462516E-16;1;0
0,575;1,11022302462516E-16;1;0
0,58;0;не число;0
0,585;1,11022302462516E-16;1;0
0,59;1,11022302462516E-16;1;0
0,595;2,22044604925031E-16;1;0
0,6;0;не число;0
0,605;2,22044604925031E-16;1;0
0,61;1,11022302462516E-16;1;0
0,615;0;не число;0
0,62;1,11022302462516E-16;1;0
0,625;1,11022302462516E-16;1;0
0,63;1,11022302462516E-16;1;0
0,635;0;не число;0
0,64;0;не число;0
0,645;1,11022302462516E-16;1;0
0,65;1,11022302462516E-16;1;0
0,655;0;не число;0
0,66;0;не число;0
0,665;1,11022302462516E-16;1;0
0,67;1,11022302462516E-16;1;0
0,675;0;не число;0
0,68;1,11022302462516E-16;1;0
0,685;1,11022302462516E-16;1;0
0,69;1,11022302462516E-16;1;0
0,695;0;не число;0
0,7;0;не число;0
0,705;1,11022302462516E-16;1;0
0,71;1,11022302462516E-16;1;0
0,715;1,11022302462516E-16;1;0
0,72;1,11022302462516E-16;1;0
0,725;1,11022302462516E-16;1;0
0,73;1,11022302462516E-16;1;0
0,735;0;не число;0
0,74;0;не число;0
0,745;1,11022302462516E-16;1;0
0,75;1,11022302462516E-16;1;0
0,755;0;не число;0
0,76;1,11022302462516E-16;1;0
0,765;1,11022302462516E-16;1;0
0,77;1,11022302462516E-16;1;0
0,775;1,11022302462516E-16;1;0
