x;absoluteError;relativeError;computation time (milliseconds)
0,005;0;не число;0
0,01;0;не число;0
0,015;0;не число;0
0,02;0;не число;0
0,025;0;не число;0
0,03;0;не число;0
0,035;0;не число;0
0,04;0;не число;0
0,045;0;не число;0
0,05;0;не число;0
0,055;0;не число;0
0,06;0;не число;0
0,065;0;не число;0
0,07;0;не число;0
0,075;0;не число;0
0,08;0;не число;0
0,085;0;не число;0
0,09;0;не число;0
0,095;0;не число;0
0,1;0;не число;0
0,105;0;не число;0
0,11;0;не число;0
0,115;0;не число;0
0,12;0;не число;0
0,125;0;не число;0
0,13;0;не число;0
0,135;0;не число;0
0,14;0;не число;0
0,145;0;не число;0
0,15;0;не число;0
0,155;0;не число;0
0,16;0;не число;0
0,165;0;не число;0
0,17;0;не число;0
0,175;0;не число;0
0,18;0;не число;0
0,185;0;не число;0
0,19;0;не число;0
0,195;0;не число;0
0,2;0;не число;0
0,205;0;не число;0
0,21;0;не число;0
0,215;0;не число;0
0,22;0;не число;0
0,225;0;не число;0
0,23;0;не число;0
0,235;0;не число;0
0,24;0;не число;0
0,245;0;не число;0
0,25;0;не число;0
0,255;0;не число;0
0,26;0;не число;0
0,265;0;не число;0
0,27;2,22044604925031E-16;1;0
0,275;0;не число;0
0,28;0;не число;0
0,285;0;не число;0
0,29;2,22044604925031E-16;1;0
0,295;0;не число;0
0,3;0;не число;0
0,305;0;не число;0
0,31;0;не число;0
0,315;0;не число;0
0,32;0;не число;0
0,325;2,22044604925031E-16;1;0
0,33;0;не число;0
0,335;0;не число;0
0,34;0;не число;0
0,345;0;не число;0
0,35;0;не число;0
0,355;0;не число;0
0,36;0;не число;0
0,365;0;не число;0
0,37;0;не число;0
0,375;0;не число;0
0,38;0;не число;0
0,385;0;не число;0
0,39;0;не число;0
0,395;0;не число;0
0,4;0;не число;0
0,405;0;не число;0
0,41;0;не число;0
0,415;0;не число;0
0,42;2,22044604925031E-16;1;0
0,425;0;не число;0
0,43;0;не число;0
0,435;0;не число;0
0,44;0;не число;0
0,445;0;не число;0
0,45;0;не число;0
0,455;0;не число;0
0,46;0;не число;0
0,465;0;не число;0
0,47;2,22044604925031E-16;1;0
0,475;0;не число;0
0,48;0;не число;0
0,485;0;не число;0
0,49;0;не число;0
0,495;0;не число;0
0,5;2,22044604925031E-16;1;0
0,505;0;не число;0
0,51;0;не число;0
0,515;0;не число;0
0,52;0;не число;0
0,525;0;не число;0
0,53;2,22044604925031E-16;1;0
0,535;0;не число;0
0,54;0;не число;0
0,545;1,11022302462516E-16;1;0
0,55;0;не число;0
0,555;0;не число;0
0,56;0;не число;0
0,565;0;не число;0
0,57;0;не число;0
0,575;0;не число;0
0,58;0;не число;0
0,585;0;не число;0
0,59;1,11022302462516E-16;1;0
0,595;0;не число;0
0,6;0;не число;0
0,605;0;не число;0
0,61;1,11022302462516E-16;1;0
0,615;0;не число;0
0,62;0;не число;0
0,625;0;не число;0
0,63;0;не число;0
0,635;0;не число;0
0,64;0;не число;0
0,645;1,11022302462516E-16;1;0
0,65;0;не число;0
0,655;0;не число;0
0,66;0;не число;0
0,665;0;не число;0
0,67;1,11022302462516E-16;1;0
0,675;0;не число;0
0,68;1,11022302462516E-16;1;0
0,685;1,11022302462516E-16;1;0
0,69;0;не число;0
0,695;1,11022302462516E-16;1;0
0,7;0;не число;0
0,705;0;не число;0
0,71;0;не число;0
0,715;0;не число;0
0,72;0;не число;0
0,725;1,11022302462516E-16;1;0
0,73;1,11022302462516E-16;1;0
0,735;0;не число;0
0,74;0;не число;0
0,745;1,11022302462516E-16;1;0
0,75;0;не число;0
0,755;0;не число;0
0,76;1,11022302462516E-16;1;0
0,765;0;не число;0
0,77;1,11022302462516E-16;1;0
0,775;0;не число;0
0,78;0;не число;0
0,785;0;не число;0
0,79;0;не число;0
0,795;0;не число;0
0,8;0;не число;0
0,805;0;не число;0
0,81;0;не число;0
0,815;0;не число;0
0,82;0;не число;0
0,825;1,11022302462516E-16;1;0
0,83;1,11022302462516E-16;1;0
0,835;1,11022302462516E-16;1;0
0,84;1,11022302462516E-16;1;0
0,845;0;не число;0
0,85;1,11022302462516E-16;1;0
0,855;1,11022302462516E-16;1;0
0,86;0;не число;0
0,865;1,11022302462516E-16;1;0
0,87;0;не число;0
0,875;0;не число;0
0,88;0;не число;0
0,885;0;не число;0
0,89;5,55111512312578E-17;1;0
0,895;5,55111512312578E-17;1;0
0,9;0;не число;0
0,905;1,11022302462516E-16;1;0
0,91;0;не число;0
0,915;0;не число;0
0,92;5,55111512312578E-17;1;0
0,925;0;не число;0
0,93;5,55111512312578E-17;1;0
0,935;0;не число;0
0,94;5,55111512312578E-17;1;0
0,945;1,11022302462516E-16;1;0
0,95;5,55111512312578E-17;1;0
0,955;5,55111512312578E-17;1;0
0,96;1,11022302462516E-16;1;0
0,965;5,55111512312578E-17;1;0
0,97;5,55111512312578E-17;1;0
0,975;2,77555756156289E-17;1;0
0,98;1,11022302462516E-16;1;0
0,985;8,32667268468867E-17;1;0
0,99;2,77555756156289E-17;1;0
0,995;2,63677968348475E-16;1;0
