x;absoluteError;relativeError;computation time (milliseconds)
-9900;7,63833440942108E-14;1;0
-9800;2,17603712826531E-14;1;0
-9700;1,01874064739604E-12;1;0
-9600;6,28386231937839E-14;1;0
-9500;5,25135490647699E-13;1;0
-9400;5,18696197104873E-13;1;0
-9300;1,38777878078145E-13;1;0
-9200;8,31557045444242E-13;1;0
-9100;1,52100554373646E-13;1;0
-9000;1,11421982751381E-12;1;0
-8900;2,72004641033163E-13;1;0
-8800;6,24833518259038E-13;1;0
-8700;9,48796596844659E-13;1;0
-8600;5,73319169916431E-13;1;0
-8500;1,97397653778353E-13;1;0
-8400;6,08846306704436E-13;1;0
-8300;1,59428026336172E-13;1;0
-8200;3,10862446895044E-15;1;0
-8100;1,3988810110277E-13;1;0
-8000;3,13526982154144E-13;1;0
-7900;6,49258424800792E-13;1;0
-7800;5,21138687759048E-13;1;0
-7700;8,77076189453874E-14;1;0
-7600;2,8377300509419E-13;1;0
-7500;2,56239474083486E-13;1;0
-7400;1,21680443498917E-13;1;0
-7300;1,13464793116691E-13;1;0
-7200;3,55493412484975E-13;1;0
-7100;4,81836792687318E-14;1;0
-7000;5,46229728115577E-14;1;0
-6900;3,539391002505E-13;1;0
-6800;1,00586206031039E-13;1;0
-6700;3,69926311805102E-13;1;0
-6600;3,05977465586693E-13;1;0
-6500;9,25926002537381E-14;1;0
-6400;5,43121103646627E-13;1;0
-6300;1,55653268052447E-13;1;0
-6200;1,22346577313692E-13;1;0
-6100;1,33004718350094E-13;1;0
-6000;2,8643754035329E-14;1;0
-5900;3,78141962187328E-13;1;0
-5800;4,06563671617732E-13;1;0
-5700;1,39221967287995E-13;1;0
-5600;3,48610029732299E-13;1;0
-5500;1,01696429055664E-13;1;0
-5400;4,15667500419659E-13;1;0
-5300;8,43769498715119E-14;1;0
-5200;2,17603712826531E-14;1;0
-5100;2,21822560320106E-13;1;0
-5000;1,71862524211974E-13;1;0
-4900;1,70974345792274E-13;1;0
-4800;2,4713564528156E-13;1;0
-4700;1,0635936575909E-13;1;0
-4600;2,05169214950729E-13;1;0
-4500;1,8052226380405E-13;1;0
-4400;6,43263220467816E-13;1;0
-4300;4,80948614267618E-13;1;0
-4200;2,4713564528156E-13;1;0
-4100;2,17603712826531E-14;1;0
-4000;2,14717132962505E-13;1;0
-3900;2,35145236615608E-13;1;0
-3800;2,1316282072803E-13;1;0
-3700;3,65707464311527E-13;1;0
-3600;5,50670620214078E-14;1;0
-3500;1,55209178842597E-13;1;0
-3400;1,60094160150948E-13;1;0
-3300;1,13242748511766E-13;1;0
-3200;3,61932706027801E-14;1;0
-3100;9,61453139325386E-14;1;0
-3000;3,44169137633799E-14;1;0
-2900;2,28261853862932E-13;1;0
-2800;8,88178419700125E-15;1;0
-2700;3,15303338993544E-14;1;0
-2600;8,23785484271866E-14;1;0
-2500;3,02424751907893E-13;1;0
-2400;1,33448807559944E-13;1;0
-2300;2,21822560320106E-13;1;0
-2200;1,00142116821189E-13;1;0
-2100;8,83737527601625E-14;1;0
-2000;5,86197757002083E-14;1;0
-1900;7,70494779089859E-14;1;0
-1800;4,64073224293315E-14;1;0
-1700;6,66133814775094E-16;1;0
-1600;1,69642078162724E-13;1;0
-1500;3,10862446895044E-14;1;0
-1400;1,0591527654924E-13;1;0
-1300;1,59872115546023E-14;1;0
-1200;4,32986979603811E-14;1;0
-1100;1,34781075189494E-13;1;0
-1000;3,61932706027801E-14;1;0
-900;8,19344592173366E-14;1;0
-800;3,90798504668055E-14;1;0
-700;1,31006316905768E-14;1;0
-600;3,19744231092045E-14;1;0
-500;2,59792187762287E-14;1;0
-400;1,59872115546023E-14;1;0
-300;1,90958360235527E-14;1;0
