x;absoluteError;relativeError
-49,9;2,22044604925031E-16;2,37747483977121E-16
-49,8;0;0
-49,7;1,11022302462516E-16;1,31491570713396E-16
-49,6;4,44089209850063E-16;5,64554398227382E-16
-49,5;7,7715611723761E-16;1,07781444702207E-15
-49,4;9,99200722162641E-16;1,54132743827564E-15
-49,3;1,4432899320127E-15;2,53644759125629E-15
-49,2;1,77635683940025E-15;3,66953625002202E-15
-49,1;2,22044604925031E-15;5,63125893223835E-15
-49;2,60902410786912E-15;8,67960354364059E-15
-48,9;3,05311331771918E-15;1,49754584790607E-14
-48,8;3,4555691641458E-15;3,28728313391049E-14
-48,7;3,81899373236294E-15;7,18687541591346E-13
-48,6;4,16333634234434E-15;4,40356350729837E-14
-48,5;4,46864767411626E-15;2,30987279313678E-14
-48,4;7,21644966006352E-16;2,48466515076455E-15
-48,3;2,77555756156289E-16;7,21826851394959E-16
-48,2;0;0
-48,1;3,33066907387547E-16;5,94498211320239E-16
-48;5,55111512312578E-16;8,67166165638287E-16
-47,9;7,7715611723761E-16;1,08899726712043E-15
-47,8;8,88178419700125E-16;1,13867172488935E-15
-47,7;9,99200722162641E-16;1,19152753896751E-15
-47,6;9,99200722162641E-16;1,12423291757155E-15
-47,5;8,88178419700125E-16;9,54927453142599E-16
-47,4;7,7715611723761E-16;8,07751201069121E-16
-47,3;5,55111512312578E-16;5,63832513967086E-16
-47,2;3,33066907387547E-16;3,34033929962505E-16
-47,1;1,11022302462516E-16;1,11053991473812E-16
-47;5,55111512312578E-16;5,59399043538724E-16
-46,9;9,99200722162641E-16;1,02477795205021E-15
-46,8;2,22044604925031E-16;2,34223120953064E-16
-46,7;1,11022302462516E-16;1,21802302136478E-16
-46,6;0;0
-46,5;3,33066907387547E-16;4,10376914651856E-16
-46,3999999999999;4,44089209850063E-16;5,92723389217339E-16
-46,2999999999999;8,88178419700125E-16;1,30735203715055E-15
-46,1999999999999;1,11022302462516E-15;1,84201862294429E-15
-46,0999999999999;1,4432899320127E-15;2,77530422357588E-15
-45,9999999999999;1,88737914186277E-15;4,36713433483092E-15
-45,8999999999999;2,38697950294409E-15;7,02072941454921E-15
-45,7999999999999;2,74780198594726E-15;1,12428005985797E-14
-45,6999999999999;3,1641356201817E-15;2,16160958947671E-14
-45,5999999999999;3,53189699708878E-15;7,53241184187224E-14
-45,4999999999999;3,88578058618805E-15;7,32219289130638E-14
-45,3999999999999;4,19109191795997E-15;2,74832632162802E-14
-45,2999999999999;9,99200722162641E-16;3,99041695992853E-15
-45,1999999999999;6,10622663543836E-16;1,76581542189815E-15
-45,0999999999999;2,22044604925031E-16;5,07241877790334E-16
-44,9999999999999;1,11022302462516E-16;2,11341434064783E-16
-44,8999999999999;3,33066907387547E-16;5,4812639681579E-16
-44,7999999999999;5,55111512312578E-16;8,11686443026036E-16
-44,6999999999999;6,66133814775094E-16;8,84265896957649E-16
-44,5999999999999;7,7715611723761E-16;9,53318939030242E-16
-44,4999999999999;9,99200722162641E-16;1,14988340090795E-15
-44,3999999999999;8,88178419700125E-16;9,71724134367239E-16
-44,2999999999999;7,7715611723761E-16;8,18097375306513E-16
-44,1999999999999;6,66133814775094E-16;6,82237219108472E-16
-44,0999999999999;3,33066907387547E-16;3,35387448763596E-16
-43,9999999999999;1,11022302462516E-16;1,11039701423491E-16
-43,8999999999999;3,33066907387547E-16;3,34198000388083E-16
-43,7999999999999;7,7715611723761E-16;7,90250698142435E-16
-43,6999999999999;2,22044604925031E-16;2,31195779453738E-16
-43,5999999999999;2,22044604925031E-16;2,39321170025009E-16
-43,4999999999999;1,11022302462516E-16;1,25316984390298E-16
-43,3999999999999;0;0
-43,2999999999999;3,33066907387547E-16;4,29140121511059E-16
