x;absoluteError;relativeError
-49,9;3,10862446895044E-15;1,18959307075278E-15
-49,8;0;0
-49,7;1,11022302462516E-15;7,04562383653684E-16
-49,6;1,99840144432528E-15;1,56859983922469E-15
-49,5;2,22044604925031E-15;2,13371832513517E-15
-49,4;2,33146835171283E-15;2,73835151650971E-15
-49,3;2,55351295663786E-15;3,69022714922414E-15
-49,2;2,55351295663786E-15;4,61570766770999E-15
-49,1;2,77555756156289E-15;6,46875863577719E-15
-49;2,99760216648792E-15;9,51111755002083E-15
-48,9;3,21964677141295E-15;1,54606166328057E-14
-48,8;3,52495810318487E-15;3,33471431214383E-14
-48,7;3,81899373236294E-15;7,18677394750583E-13
-48,6;4,21884749357559E-15;4,44228943425447E-14
-48,5;4,71844785465692E-15;2,39291967208604E-14
-48,4;7,7715611723761E-16;2,56044875536359E-15
-48,3;3,33066907387547E-16;7,99597023563589E-16
-48,2;0;0
-48,1;4,44089209850063E-16;6,56583153357858E-16
-48;1,22124532708767E-15;1,46564978756629E-15
-47,9;2,22044604925031E-15;2,17957759853792E-15
-47,8;3,5527136788005E-15;2,85015758677718E-15
-47,7;5,77315972805081E-15;3,75037773263067E-15
-47,6;9,54791801177635E-15;4,92363915660526E-15
-47,5;1,82076576038526E-14;7,19037421227391E-15
-47,4;3,73034936274053E-14;1,05698541951745E-14
-47,3;1,03028696685215E-13;1,83343423859164E-14
-47,2;6,07514039074886E-13;4,63275019751548E-14
-47,1;6,76436684443615E-12;1,61630146898404E-13
-47;2,77111666946439E-13;3,45080419860599E-14
-46,9;9,32587340685131E-14;2,12356958353154E-14
-46,8;6,21724893790088E-15;2,0872049322339E-15
-46,7;1,77635683940025E-15;8,01574316820891E-16
-46,6;0;0
-46,5;1,11022302462516E-15;7,9913597287231E-16
-46,3999999999999;1,77635683940025E-15;1,57025241191363E-15
-46,2999999999999;2,1094237467878E-15;2,27840181178079E-15
-46,1999999999999;2,33146835171283E-15;3,08666958436403E-15
-46,0999999999999;2,44249065417534E-15;4,01160019827534E-15
-45,9999999999999;2,55351295663786E-15;5,32819468721507E-15
-45,8999999999999;2,88657986402541E-15;7,9844153183191E-15
-45,7999999999999;2,99760216648792E-15;1,18929180727647E-14
-45,6999999999999;3,27515792264421E-15;2,21335507752946E-14
-45,5999999999999;3,54577478489659E-15;7,55369122157891E-14
-45,4999999999999;3,90659726789977E-15;7,35104574615739E-14
-45,3999999999999;4,32986979603811E-15;2,80612187708764E-14
-45,2999999999999;1,0547118733939E-15;4,07791938164682E-15
-45,1999999999999;6,66133814775094E-16;1,80750306206687E-15
-45,0999999999999;2,77555756156289E-16;5,70074715508786E-16
-44,9999999999999;2,22044604925031E-16;3,59662342251622E-16
-44,8999999999999;6,66133814775094E-16;8,70652587636551E-16
-44,7999999999999;1,4432899320127E-15;1,53968762191116E-15
-44,6999999999999;2,44249065417534E-15;2,1323232503955E-15
-44,5999999999999;4,44089209850063E-15;3,15501735279764E-15
-44,4999999999999;7,32747196252603E-15;4,17310968804951E-15
-44,3999999999999;1,28785870856518E-14;5,71577581970111E-15
-44,2999999999999;2,53130849614536E-14;8,3240034386262E-15
-44,1999999999999;6,12843109593086E-14;1,35566187699277E-14
-44,0999999999999;2,34479102800833E-13;2,77270200378263E-14
-43,9999999999999;1,14113163363072E-11;2,02033924107341E-13
-43,8999999999999;5,80868686483882E-13;4,79120530276601E-14
-43,7999999999999;1,30562227695918E-13;2,40683295193703E-14
-43,6999999999999;1,24344978758018E-14;3,6065399368104E-15
-43,5999999999999;3,99680288865056E-15;1,60702966184439E-15
-43,4999999999999;8,88178419700125E-16;4,6499169421227E-16
-43,3999999999999;4,44089209850063E-16;2,92413469168043E-16
-43,2999999999999;1,33226762955019E-15;1,08242453108803E-15
-43,1999999999999;1,55431223447522E-15;1,54470211943737E-15
-43,0999999999999;1,77635683940025E-15;2,15887474982707E-15
-42,9999999999999;2,1094237467878E-15;3,16073383446794E-15
-42,8999999999999;2,33146835171283E-15;4,38689671064819E-15
-42,7999999999999;2,60902410786912E-15;6,37433181753217E-15
-42,6999999999999;2,77555756156289E-15;9,3522693353882E-15
-42,5999999999999;2,99760216648792E-15;1,57136720434397E-14
-42,4999999999999;3,27515792264421E-15;3,69111117542989E-14
-42,3999999999999;3,61689844741164E-15;3,14476523362187E-13
-42,2999999999999;4,01068067645838E-15;3,5820776204399E-14
-42,1999999999999;4,52415882534751E-15;2,10708288988641E-14
-42,0999999999999;9,99200722162641E-16;3,1032704673844E-15
-41,9999999999999;7,21644966006352E-16;1,6535686099094E-15
-41,8999999999999;3,33066907387547E-16;5,93352299593865E-16
-41,7999999999999;3,33066907387547E-16;4,7502596165824E-16
-41,6999999999999;8,88178419700125E-16;1,03020010171652E-15
-41,5999999999999;1,77635683940025E-15;1,6859606125278E-15
-41,4999999999999;3,33066907387547E-15;2,58119088489682E-15
-41,3999999999999;5,32907051820075E-15;3,33583058783957E-15
