x;absoluteError;relativeError
-49,9;1,83186799063151E-15;5,12554101937876E-15
-49,8;1,77635683940025E-15;3,95753834910355E-15
-49,7;1,66533453693773E-15;3,10799240926895E-15
-49,6;1,55431223447522E-15;2,51735467397089E-15
-49,5;1,4432899320127E-15;2,08301525844059E-15
-49,4;1,22124532708767E-15;1,6039300093629E-15
-49,3;1,11022302462516E-15;1,3501048801849E-15
-49,2;9,99200722162641E-16;1,14191421587841E-15
-49,1;7,7715611723761E-16;8,45673716811232E-16
-49;5,55111512312578E-16;5,82028800346174E-16
-48,9;4,44089209850063E-16;4,53616497736727E-16
-48,8;1,11022302462516E-16;1,11640835336575E-16
-48,7;0;0
-48,6;4,44089209850063E-16;4,46087406427557E-16
-48,5;1,11022302462516E-15;1,13160072927912E-15
-48,4;1,55431223447522E-15;1,62433173483138E-15
-48,3;1,99840144432528E-15;2,16484020806124E-15
-48,2;2,55351295663786E-15;2,9013310036636E-15
-48,1;2,99760216648792E-15;3,61887470939613E-15
-48;3,44169137633799E-15;4,47988349385109E-15
-47,9;3,88578058618805E-15;5,54708325375518E-15
-47,8;4,21884749357559E-15;6,74191823615872E-15
-47,7;4,55191440096314E-15;8,35572221794509E-15
-47,6;4,77395900588817E-15;1,04160896129635E-14
-47,5;5,05151476204446E-15;1,37529027931454E-14
-47,4;5,16253706450698E-15;1,89370809659332E-14
-47,3;5,30131494258512E-15;3,02584276475419E-14
-47,2;5,37070388162419E-15;7,06330145142623E-14
-47,1;5,38805111638396E-15;2,25559142256193E-13
-47;5,35682609381638E-15;4,33494434292089E-14
-46,9;5,24580379135386E-15;2,36271912192588E-14
-46,8;5,10702591327572E-15;1,60468858770042E-14
-46,7;4,88498130835069E-15;1,18766673385567E-14
-46,6;4,66293670342566E-15;9,32117522360984E-15
-46,5;4,32986979603811E-15;7,41166571589318E-15
-46,3999999999999;3,99680288865056E-15;6,03469489674614E-15
-46,2999999999999;3,66373598126302E-15;4,99286719338059E-15
-46,1999999999999;3,21964677141295E-15;4,03488718676083E-15
-46,0999999999999;2,77555756156289E-15;3,24954473063648E-15
-45,9999999999999;2,33146835171283E-15;2,58538309769859E-15
-45,8999999999999;1,77635683940025E-15;1,88887934058696E-15
-45,7999999999999;1,33226762955019E-15;1,37393478077373E-15
-45,6999999999999;7,7715611723761E-16;7,8561830300051E-16
-45,5999999999999;2,22044604925031E-16;2,22289102766444E-16
-45,4999999999999;1,11022302462516E-16;1,11178967813293E-16
-45,3999999999999;2,22044604925031E-16;2,2467235841142E-16
-45,2999999999999;4,44089209850063E-16;4,5870234341899E-16
