x;absoluteError;relativeError
-49,9;4,44089209850063E-16;1,16048640335739E-15
-49,8;0;0
-49,7;4,44089209850063E-16;6,99779149727467E-16
-49,6;1,22124532708767E-15;1,55587063347768E-15
-49,5;1,99840144432528E-15;2,07962903987671E-15
-49,4;3,10862446895044E-15;2,64672359374661E-15
-49,3;5,32907051820075E-15;3,6875373966948E-15
-49,2;8,43769498715119E-15;4,66792202300335E-15
-49,1;1,50990331349021E-14;6,47855917178322E-15
-49;3,01980662698043E-14;9,51747135896905E-15
-48,9;7,46069872548105E-14;1,55367765299932E-14
-48,8;3,14415160573844E-13;3,32352388926666E-14
-48,7;1,35230493469862E-10;7,18603939344695E-13
-48,6;4,68958205601666E-13;4,45370158693033E-14
-48,5;1,21680443498917E-13;2,39934016289254E-14
-48,4;8,43769498715119E-15;2,56103788873467E-15
-48,3;2,22044604925031E-15;9,24912270619382E-16
-48,2;0;0
-48,1;1,11022302462516E-15;7,50914889061145E-16
-48;1,77635683940025E-15;1,48014041810084E-15
-47,9;2,1094237467878E-15;2,14897676866E-15
-47,8;2,22044604925031E-15;2,76777996024079E-15
-47,7;2,44249065417534E-15;3,7598582559135E-15
-47,6;2,55351295663786E-15;4,95177074852838E-15
-47,5;2,83106871279415E-15;7,16890780003424E-15
-47,4;2,99760216648792E-15;1,05792408533061E-14
-47,3;3,24740234702858E-15;1,82485755084332E-14
-47,2;3,52495810318487E-15;4,62244119267221E-14
-47,1;3,86149445752437E-15;1,61607011932436E-13
-47;4,27435864480685E-15;3,43245974276906E-14
-46,9;4,8017145815038E-15;2,10872215679724E-14
-46,8;7,21644966006352E-16;2,1495955328366E-15
-46,7;3,88578058618805E-16;8,61122016491229E-16
-46,6;0;0
-46,5;6,66133814775094E-16;9,25445886244529E-16
-46,3999999999999;1,33226762955019E-15;1,5071352208776E-15
-46,2999999999999;2,44249065417534E-15;2,26134291176575E-15
-46,1999999999999;3,99680288865056E-15;3,01892353173368E-15
-46,0999999999999;6,66133814775094E-15;4,05580201565905E-15
-45,9999999999999;1,11022302462516E-14;5,32069311382423E-15
-45,8999999999999;2,17603712826531E-14;7,86695669927233E-15
-45,7999999999999;4,75175454539567E-14;1,1976766032313E-14
-45,6999999999999;1,49213974509621E-13;2,20795721276633E-14
-45,5999999999999;1,60937929649663E-12;7,55458008734908E-14
-45,4999999999999;1,38200562105339E-12;7,34445080314117E-14
-45,3999999999999;1,82076576038526E-13;2,80945697188841E-14
-45,2999999999999;1,55431223447522E-14;4,02006860665397E-15
-45,1999999999999;4,88498130835069E-15;1,80030192054872E-15
-45,0999999999999;1,33226762955019E-15;6,48649272213951E-16
-44,9999999999999;6,66133814775094E-16;4,11250782617269E-16
-44,8999999999999;1,11022302462516E-15;8,49428473706464E-16
-44,7999999999999;1,55431223447522E-15;1,45699891802579E-15
-44,6999999999999;1,77635683940025E-15;2,03474542516517E-15
-44,5999999999999;2,22044604925031E-15;3,12542221250189E-15
-44,4999999999999;2,33146835171283E-15;4,09377424888091E-15
-44,3999999999999;2,55351295663786E-15;5,75348649487806E-15
-44,2999999999999;2,72004641033163E-15;8,27159267670665E-15
-44,1999999999999;3,02535774210355E-15;1,36764902647782E-14
-44,0999999999999;3,27515792264421E-15;2,76970294746777E-14
-43,9999999999999;3,57699980746418E-15;2,02036744661737E-13
-43,8999999999999;3,95516952522712E-15;4,79510682961848E-14
-43,7999999999999;4,44089209850063E-15;2,40902786739232E-14
-43,6999999999999;1,0547118733939E-15;3,6363974277512E-15
-43,5999999999999;6,10622663543836E-16;1,51866420606481E-15
-43,4999999999999;2,22044604925031E-16;4,24126341954022E-16
-43,3999999999999;2,22044604925031E-16;3,37219805343368E-16
-43,2999999999999;7,7715611723761E-16;9,56537761632059E-16
-43,1999999999999;1,55431223447522E-15;1,56398213729342E-15
-43,0999999999999;2,66453525910038E-15;2,19242243289251E-15
-42,9999999999999;4,88498130835069E-15;3,26015922697397E-15
-42,8999999999999;8,43769498715119E-15;4,48431319939655E-15
-42,7999999999999;1,55431223447522E-14;6,36182459116437E-15
-42,6999999999999;3,15303338993544E-14;9,35754238191253E-15
-42,5999999999999;8,26005930321116E-14;1,57572154962733E-14
-42,4999999999999;4,17443857259059E-13;3,7040189021181E-14
-42,3999999999999;2,73416844720487E-11;3,14465751081445E-13
-42,2999999999999;3,19744231092045E-13;3,58002295017946E-14
-42,1999999999999;9,76996261670138E-14;2,09772775469918E-14
-42,0999999999999;9,32587340685131E-15;3,00277386095105E-15
-41,9999999999999;3,5527136788005E-15;1,55046360133116E-15
-41,8999999999999;1,11022302462516E-15;6,23202353096893E-16
-41,7999999999999;6,66133814775094E-16;4,67063166019193E-16
-41,6999999999999;1,11022302462516E-15;9,57169514818783E-16
-41,5999999999999;1,55431223447522E-15;1,63764986427167E-15
-41,4999999999999;1,88737914186277E-15;2,43540118449288E-15
-41,3999999999999;2,1094237467878E-15;3,36985575358003E-15
-41,2999999999999;2,27595720048157E-15;4,60187562057768E-15
-41,1999999999999;2,55351295663786E-15;6,79851282387414E-15
-41,0999999999999;2,77555756156289E-15;1,04632468414342E-14
-40,9999999999999;3,02535774210355E-15;1,88311957543697E-14
-40,8999999999999;3,30985239216375E-15;5,57541836658223E-14
-40,7999999999999;3,66373598126302E-15;8,99584230198216E-14
-40,6999999999999;4,08006961549745E-15;2,88058214209042E-14
-40,5999999999999;4,63518112781003E-15;1,88833809882001E-14
-40,4999999999999;9,43689570931383E-16;2,66180661846768E-15
-40,3999999999999;6,10622663543836E-16;1,29467557021542E-15
-40,2999999999999;2,22044604925031E-16;3,6983539003358E-16
-40,1999999999999;2,22044604925031E-16;2,97790857746711E-16
