x;g_ginvx;absoluteError;relativeError
-0,499;-0,499;1,11022302462516E-16;2,22489584093218E-16
-0,498;-0,498;1,66533453693773E-16;3,34404525489505E-16
-0,497;-0,497;0;0
-0,496;-0,496;5,55111512312578E-17;1,11917643611407E-16
-0,495;-0,495;1,11022302462516E-16;2,24287479722254E-16
-0,494;-0,494;1,66533453693773E-16;3,37112254440837E-16
-0,493;-0,493;1,11022302462516E-16;2,25197368078125E-16
-0,492;-0,492;5,55111512312578E-17;1,12827543152963E-16
-0,491;-0,491;5,55111512312578E-17;1,13057334483213E-16
-0,49;-0,49;1,11022302462516E-16;2,26576127474522E-16
-0,489;-0,489;1,11022302462516E-16;2,27039473338478E-16
-0,488;-0,488;1,66533453693773E-16;3,41257077241339E-16
-0,487;-0,487;1,66533453693773E-16;3,41957810459494E-16
-0,486;-0,486;1,11022302462516E-16;2,28440951568962E-16
-0,485;-0,485;1,11022302462516E-16;2,28911963840239E-16
-0,484;-0,484;1,11022302462516E-16;2,29384922443214E-16
-0,483;-0,483;1,66533453693773E-16;3,44789759200359E-16
-0,482;-0,482;0;0
-0,481;-0,481;5,55111512312578E-17;1,15407798817584E-16
-0,48;-0,48;5,55111512312578E-17;1,15648231731787E-16
-0,479;-0,479;1,11022302462516E-16;2,31779337082496E-16
-0,478;-0,478;1,11022302462516E-16;2,32264231093129E-16
-0,477;-0,477;5,55111512312578E-17;1,16375579101169E-16
-0,476;-0,476;1,66533453693773E-16;3,49860196835658E-16
-0,475;-0,475;1,66533453693773E-16;3,5059674461847E-16
-0,474;-0,474;1,66533453693773E-16;3,51336400197834E-16
-0,473;-0,473;5,55111512312578E-17;1,17359727761644E-16
-0,472;-0,472;1,11022302462516E-16;2,3521674250533E-16
-0,471;-0,471;1,66533453693773E-16;3,53574211664062E-16
-0,47;-0,47;5,55111512312578E-17;1,18108832406932E-16
-0,469;-0,469;5,55111512312578E-17;1,18360663606093E-16
-0,468;-0,468;1,11022302462516E-16;2,37227142013922E-16
-0,467;-0,467;5,55111512312578E-17;1,18867561523036E-16
-0,466;-0,466;5,55111512312578E-17;1,19122642127163E-16
-0,465;-0,465;5,55111512312578E-17;1,19378819852167E-16
-0,464;-0,464;1,66533453693773E-16;3,58908305374512E-16
-0,463;-0,463;5,55111512312578E-17;1,19894495099909E-16
-0,462;-0,462;1,66533453693773E-16;3,60462020982194E-16
-0,461;-0,461;1,66533453693773E-16;3,61243934259812E-16
-0,46;-0,46;5,55111512312578E-17;1,20676415720126E-16
-0,459;-0,459;1,11022302462516E-16;2,41878654602431E-16
-0,458;-0,458;1,11022302462516E-16;2,42406773935624E-16
-0,457;-0,457;1,11022302462516E-16;2,42937204513163E-16
-0,456;-0,456;0;0
-0,455;-0,455;1,66533453693773E-16;3,66007590535766E-16
-0,454;-0,454;0;0
-0,453;-0,453;5,55111512312578E-17;1,22541172695933E-16
-0,452;-0,452;1,11022302462516E-16;2,45624562970167E-16
-0,451;-0,451;1,11022302462516E-16;2,4616918506101E-16
-0,45;-0,45;1,66533453693773E-16;3,70074341541719E-16
-0,449;-0,449;5,55111512312578E-17;1,23632853521732E-16
-0,448;-0,448;2,22044604925031E-16;4,95635278850517E-16
-0,447;-0,447;5,55111512312578E-17;1,24186020651584E-16
-0,446;-0,446;1,11022302462516E-16;2,48928929288152E-16
-0,445;-0,445;1,11022302462516E-16;2,49488320140485E-16
-0,444;-0,444;0;0
-0,443;-0,443;5,55111512312578E-17;1,25307339122478E-16
-0,442;-0,442;0;0
-0,441;-0,441;1,11022302462516E-16;2,51751252749469E-16
-0,44;-0,44;5,55111512312578E-17;1,26161707343768E-16
-0,439;-0,439;1,11022302462516E-16;2,52898183285913E-16
-0,438;-0,438;1,66533453693773E-16;3,80213364597656E-16
-0,437;-0,437;1,66533453693773E-16;3,81083418063555E-16
-0,436;-0,436;0;0
-0,435;-0,435;1,66533453693773E-16;3,82835525732813E-16
-0,434;-0,434;5,55111512312578E-17;1,27905878413036E-16
-0,433;-0,433;1,66533453693773E-16;3,84603819154211E-16
-0,432;-0,432;5,55111512312578E-17;1,28498035257541E-16
-0,431;-0,431;5,55111512312578E-17;1,28796174550482E-16
-0,43;-0,43;5,55111512312578E-17;1,29095700537809E-16
-0,429;-0,429;2,22044604925031E-16;5,17586491666739E-16
-0,428;-0,428;0;0
-0,427;-0,427;0;0
-0,426;-0,426;1,11022302462516E-16;2,60615733480084E-16
-0,425;-0,425;5,55111512312578E-17;1,30614473485313E-16
-0,424;-0,424;1,66533453693773E-16;3,92767579466447E-16
-0,423;-0,423;5,55111512312578E-17;1,31232036007702E-16
-0,422;-0,422;5,55111512312578E-17;1,31543012396346E-16
-0,421;-0,421;1,11022302462516E-16;2,63710932215002E-16
-0,42;-0,42;5,55111512312578E-17;1,32169407693471E-16
-0,419;-0,419;1,11022302462516E-16;2,64969695614596E-16
-0,418;-0,418;0;0
-0,417;-0,417;2,22044604925031E-16;5,32481066966502E-16
-0,416;-0,416;5,55111512312578E-17;1,33440267382831E-16
-0,415;-0,415;5,55111512312578E-17;1,33761810195802E-16
-0,414;-0,414;5,55111512312578E-17;1,34084906355695E-16
-0,413;-0,413;5,55111512312578E-17;1,34409567145903E-16
-0,412;-0,412;5,55111512312578E-17;1,34735803959364E-16
-0,411;-0,411;0;0
-0,41;-0,41;1,11022302462516E-16;2,70786103567111E-16
-0,409;-0,409;5,55111512312578E-17;1,35724086139995E-16
-0,408;-0,408;5,55111512312578E-17;1,36056743213867E-16
-0,407;-0,407;1,11022302462516E-16;2,72782069932471E-16
-0,406;-0,406;1,11022302462516E-16;2,73453946952009E-16
-0,405;-0,405;5,55111512312578E-17;1,37064570941377E-16
-0,404;-0,404;5,55111512312578E-17;1,37403839681331E-16
