x;absoluteError;relativeError;result
-49,9;4,9737991503207E-14;9,96753336737616E-16;-49,8999999999999
-49,8;2,20268248085631E-13;4,42305719047454E-15;-49,7999999999998
-49,7;9,2370555648813E-14;1,85856248790369E-15;-49,6999999999999
-49,6;0;0;-49,6
-49,5;1,77635683940025E-13;3,58859967555605E-15;-49,5000000000002
-49,4;1,70530256582424E-13;3,45202948547418E-15;-49,3999999999998
-49,3;1,63424829224823E-13;3,31490525811001E-15;-49,2999999999998
-49,2;1,49213974509621E-13;3,03280435995164E-15;-49,2000000000001
-49,1;1,35003119794419E-13;2,74955437463176E-15;-49,0999999999999
-49;2,27373675443232E-13;4,64027909067819E-15;-49,0000000000002
-48,9;4,2632564145606E-14;8,71831577619756E-16;-48,8999999999999
-48,8;2,8421709430404E-14;5,82412078491885E-16;-48,8
-48,7;2,20268248085631E-13;4,52296197301093E-15;-48,6999999999998
-48,6;1,27897692436818E-13;2,63163976207445E-15;-48,5999999999999
-48,5;1,13686837721616E-13;2,34405850972405E-15;-48,4999999999999
-48,4;9,9475983006414E-14;2,0552889050912E-15;-48,4000000000001
-48,3;1,98951966012828E-13;4,11908832324694E-15;-48,3000000000002
-48,2;5,6843418860808E-14;1,17932404275535E-15;-48,2
-48,1;1,70530256582424E-13;3,54532757967617E-15;-48,1000000000001
-48;1,13686837721616E-13;2,368475785867E-15;-48,0000000000001
-47,9;2,34479102800833E-13;4,89517959918235E-15;-47,8999999999997
-47,8;2,34479102800833E-13;4,90542056068686E-15;-47,8000000000002
-47,7;7,8159700933611E-14;1,63856815374447E-15;-47,6999999999999
-47,6;9,9475983006414E-14;2,089831575765E-15;-47,6000000000001
-47,5;5,6843418860808E-14;1,19670355496438E-15;-47,5
-47,4;1,63424829224823E-13;3,44778120727476E-15;-47,3999999999998
-47,3;2,20268248085631E-13;4,65683399758208E-15;-47,2999999999997
-47,2;7,105427357601E-15;1,50538715203411E-16;-47,2
-47,1;3,5527136788005E-14;7,5429165155E-16;-47,1
-47;2,1316282072803E-13;4,5353791644262E-15;-46,9999999999997
-46,9;2,34479102800833E-13;4,99955443072142E-15;-46,8999999999997
-46,8;1,06581410364015E-13;2,27738056333366E-15;-46,7999999999998
-46,7;2,1316282072803E-14;4,56451436248459E-16;-46,7
-46,6;1,20792265079217E-13;2,59210869268706E-15;-46,6000000000001
-46,5;1,63424829224823E-13;3,51451245644782E-15;-46,4999999999998
-46,3999999999999;1,98951966012828E-13;4,28775788820752E-15;-46,3999999999998
-46,2999999999999;1,13686837721616E-13;2,45543925964614E-15;-46,2999999999998
-46,1999999999999;1,06581410364015E-13;2,30695693428605E-15;-46,1999999999998
-46,0999999999999;1,56319401867222E-13;3,3908763962521E-15;-46,1000000000001
-45,9999999999999;1,70530256582424E-13;3,70717949092228E-15;-45,9999999999998
-45,8999999999999;1,4210854715202E-14;3,09604677891112E-16;-45,8999999999999
-45,7999999999999;1,91846538655227E-13;4,1887890536076E-15;-45,7999999999997
-45,6999999999999;3,5527136788005E-14;7,77399054442124E-16;-45,6999999999999
-45,5999999999999;2,20268248085631E-13;4,83044403696558E-15;-45,6000000000002
-45,4999999999999;7,8159700933611E-14;1,71779562491453E-15;-45,5
-45,3999999999999;1,70530256582424E-13;3,75617305247632E-15;-45,3999999999998
-45,2999999999999;4,9737991503207E-14;1,09796890735556E-15;-45,3
-45,1999999999999;1,20792265079217E-13;2,67239524511543E-15;-45,1999999999998
-45,0999999999999;2,20268248085631E-13;4,88399663161048E-15;-45,0999999999997
-44,9999999999999;6,3948846218409E-14;1,4210854715202E-15;-44,9999999999999
-44,8999999999999;1,70530256582424E-13;3,79800126018761E-15;-44,9000000000001
-44,7999999999999;7,8159700933611E-14;1,74463618155382E-15;-44,8
-44,6999999999999;9,9475983006414E-14;2,22541349007639E-15;-44,6999999999998
-44,5999999999999;7,105427357601E-14;1,59314514744418E-15;-44,5999999999999
-44,4999999999999;4,9737991503207E-14;1,11770767422937E-15;-44,4999999999999
-44,3999999999999;7,8159700933611E-14;1,76035362463089E-15;-44,3999999999998
-44,2999999999999;1,4210854715202E-14;3,20786788153545E-16;-44,2999999999999
-44,1999999999999;7,8159700933611E-14;1,76831902564731E-15;-44,2
-44,0999999999999;1,77635683940025E-13;4,02802004399152E-15;-44,0999999999997
-43,9999999999999;2,1316282072803E-14;4,84460956200069E-16;-43,9999999999999
-43,8999999999999;9,9475983006414E-14;2,26596772224179E-15;-43,8999999999998
-43,7999999999999;1,77635683940025E-13;4,05560922237499E-15;-43,8000000000001
-43,6999999999999;1,13686837721616E-13;2,60152946731387E-15;-43,7
-43,5999999999999;9,2370555648813E-14;2,11859072589021E-15;-43,6
-43,4999999999999;1,84741111297626E-13;4,24692209879603E-15;-43,4999999999997
-43,3999999999999;2,06057393370429E-13;4,7478662066919E-15;-43,4000000000001
-43,2999999999999;1,56319401867222E-13;3,61014784912752E-15;-43,3000000000001
-43,1999999999999;7,105427357601E-15;1,64477485129653E-16;-43,1999999999999
-43,0999999999999;2,8421709430404E-14;6,59436413698471E-16;-43,0999999999999
-42,9999999999999;2,8421709430404E-14;6,60969986753583E-16;-42,9999999999999
-42,8999999999999;1,4210854715202E-14;3,31255354666714E-16;-42,8999999999999
-42,7999999999999;1,98951966012828E-13;4,6484104208605E-15;-42,7999999999997
-42,6999999999999;1,20792265079217E-13;2,8288586669606E-15;-42,6999999999998
-42,5999999999999;1,63424829224823E-13;3,83626359682683E-15;-42,6000000000001
-42,4999999999999;1,35003119794419E-13;3,1765439951628E-15;-42,5
-42,3999999999999;1,49213974509621E-13;3,51919751201939E-15;-42,3999999999997
-42,2999999999999;4,2632564145606E-14;1,00786203653915E-15;-42,2999999999998
-42,1999999999999;1,4210854715202E-13;3,36750111734644E-15;-42,2
-42,0999999999999;0;0;-42,0999999999999
-41,9999999999999;3,5527136788005E-14;8,45884209238218E-16;-41,9999999999999
-41,8999999999999;1,49213974509621E-13;3,56119270906017E-15;-41,9
-41,7999999999999;1,63424829224823E-13;3,90968490968479E-15;-41,7999999999997
-41,6999999999999;1,49213974509621E-13;3,57827277001489E-15;-41,7
-41,5999999999999;9,9475983006414E-14;2,39124959150034E-15;-41,6
-41,4999999999999;1,13686837721616E-13;2,73944187281004E-15;-41,4999999999998
-41,3999999999999;1,70530256582424E-13;4,11908832324695E-15;-41,4
-41,2999999999999;1,63424829224823E-13;3,9570176567754E-15;-41,2999999999997
-41,1999999999999;1,13686837721616E-13;2,75938926508778E-15;-41,1999999999998
-41,0999999999999;2,1316282072803E-14;5,18644332671608E-16;-41,0999999999999
-40,9999999999999;1,27897692436818E-13;3,11945591309312E-15;-41
-40,8999999999999;1,70530256582424E-13;4,16944392622063E-15;-40,9
-40,7999999999999;3,5527136788005E-14;8,70763156568752E-16;-40,7999999999999
-40,6999999999999;7,105427357601E-14;1,74580524756782E-15;-40,6999999999998
-40,5999999999999;2,1316282072803E-14;5,25031578147859E-16;-40,5999999999998
-40,4999999999999;7,105427357601E-14;1,75442650804963E-15;-40,4999999999999
-40,3999999999999;7,105427357601E-14;1,75876914792104E-15;-40,3999999999999
-40,2999999999999;5,6843418860808E-14;1,41050667148407E-15;-40,2999999999999
-40,1999999999999;1,35003119794419E-13;3,35828656205023E-15;-40,2
-40,0999999999999;5,6843418860808E-14;1,41754161747651E-15;-40,0999999999999
-39,9999999999999;1,4210854715202E-13;3,5527136788005E-15;-40
-39,8999999999999;7,105427357601E-14;1,78080886155414E-15;-39,8999999999999
