x;g_ginvx;absoluteError;relativeError
-99,9;-99,9;0;0
-99,8;-99,8;0;0
-99,7;-99,7;0;0
-99,6;-99,6;0;0
-99,5;-99,5;0;0
-99,4;-99,4;0;0
-99,3;-99,3;0;0
-99,2;-99,2;0;0
-99,1000000000001;-99,1000000000001;0;0
-99,0000000000001;-99,0000000000001;0;0
-98,9000000000001;-98,9000000000001;0;0
-98,8000000000001;-98,8000000000001;0;0
-98,7000000000001;-98,7000000000001;0;0
-98,6000000000001;-98,6000000000001;0;0
-98,5000000000001;-98,5000000000001;0;0
-98,4000000000001;-98,4000000000001;0;0
-98,3000000000001;-98,3000000000001;0;0
-98,2000000000001;-98,2000000000001;0;0
-98,1000000000001;-98,1000000000001;0;0
-98,0000000000001;-98,0000000000001;0;0
-97,9000000000001;-97,9000000000001;0;0
-97,8000000000001;-97,8000000000001;0;0
-97,7000000000001;-97,7000000000001;0;0
-97,6000000000001;-97,6000000000001;0;0
-97,5000000000001;-97,5000000000001;0;0
-97,4000000000001;-97,4000000000001;0;0
-97,3000000000002;-97,3000000000002;0;0
-97,2000000000002;-97,2000000000002;0;0
-97,1000000000002;-97,1000000000002;0;0
-97,0000000000002;-97,0000000000002;0;0
-96,9000000000002;-96,9000000000002;0;0
-96,8000000000002;-96,8000000000002;0;0
-96,7000000000002;-96,7000000000002;0;0
-96,6000000000002;-96,6000000000002;0;0
-96,5000000000002;-96,5000000000002;0;0
-96,4000000000002;-96,4000000000002;0;0
-96,3000000000002;-96,3000000000002;0;0
-96,2000000000002;-96,2000000000002;0;0
-96,1000000000002;-96,1000000000002;0;0
-96,0000000000002;-96,0000000000002;0;0
-95,9000000000002;-95,9000000000002;0;0
-95,8000000000002;-95,8000000000002;0;0
-95,7000000000002;-95,7000000000002;0;0
-95,6000000000003;-95,6000000000003;0;0
-95,5000000000003;-95,5000000000003;0;0
-95,4000000000003;-95,4000000000003;0;0
-95,3000000000003;-95,3000000000003;0;0
-95,2000000000003;-95,2000000000003;0;0
-95,1000000000003;-95,1000000000003;0;0
