x;g_ginvx;absoluteError;relativeError
-0,499;-0,499;0;0
-0,498;-0,498;0;0
-0,497;-0,497;0;0
-0,496;-0,496;0;0
-0,495;-0,495;0;0
-0,494;-0,494;0;0
-0,493;-0,493;5,55111512312578E-17;1,12598684039063E-16
-0,492;-0,492;5,55111512312578E-17;1,12827543152963E-16
-0,491;-0,491;0;0
-0,49;-0,49;0;0
-0,489;-0,489;1,11022302462516E-16;2,27039473338478E-16
-0,488;-0,488;0;0
-0,487;-0,487;0;0
-0,486;-0,486;0;0
-0,485;-0,485;0;0
-0,484;-0,484;0;0
-0,483;-0,483;5,55111512312578E-17;1,14929919733453E-16
-0,482;-0,482;0;0
-0,481;-0,481;0;0
-0,48;-0,48;0;0
-0,479;-0,479;0;0
-0,478;-0,478;0;0
-0,477;-0,477;0;0
-0,476;-0,476;5,55111512312578E-17;1,16620065611886E-16
-0,475;-0,475;5,55111512312578E-17;1,1686558153949E-16
-0,474;-0,474;0;0
-0,473;-0,473;5,55111512312578E-17;1,17359727761644E-16
-0,472;-0,472;5,55111512312578E-17;1,17608371252665E-16
-0,471;-0,471;0;0
-0,47;-0,47;1,11022302462516E-16;2,36217664813863E-16
-0,469;-0,469;0;0
-0,468;-0,468;0;0
-0,467;-0,467;0;0
-0,466;-0,466;5,55111512312578E-17;1,19122642127163E-16
-0,465;-0,465;5,55111512312578E-17;1,19378819852167E-16
-0,464;-0,464;5,55111512312578E-17;1,19636101791504E-16
-0,463;-0,463;5,55111512312578E-17;1,19894495099909E-16
-0,462;-0,462;5,55111512312578E-17;1,20154006994065E-16
-0,461;-0,461;1,11022302462516E-16;2,40829289506542E-16
-0,46;-0,46;5,55111512312578E-17;1,20676415720126E-16
-0,459;-0,459;5,55111512312578E-17;1,20939327301215E-16
-0,458;-0,458;0;0
-0,457;-0,457;0;0
-0,456;-0,456;5,55111512312578E-17;1,21734980770302E-16
-0,455;-0,455;0;0
-0,454;-0,454;5,55111512312578E-17;1,2227125821863E-16
-0,453;-0,453;0;0
-0,452;-0,452;5,55111512312578E-17;1,22812281485084E-16
-0,451;-0,451;0;0
-0,45;-0,45;0;0
-0,449;-0,449;0;0
-0,448;-0,448;5,55111512312578E-17;1,23908819712629E-16
-0,447;-0,447;5,55111512312578E-17;1,24186020651584E-16
-0,446;-0,446;0;0
-0,445;-0,445;0;0
-0,444;-0,444;5,55111512312578E-17;1,25025115385716E-16
-0,443;-0,443;0;0
-0,442;-0,442;0;0
-0,441;-0,441;5,55111512312578E-17;1,25875626374734E-16
-0,44;-0,44;0;0
-0,439;-0,439;5,55111512312578E-17;1,26449091642956E-16
-0,438;-0,438;0;0
-0,437;-0,437;0;0
-0,436;-0,436;0;0
-0,435;-0,435;5,55111512312578E-17;1,27611841910938E-16
-0,434;-0,434;5,55111512312578E-17;1,27905878413036E-16
-0,433;-0,433;5,55111512312578E-17;1,28201273051404E-16
-0,432;-0,432;5,55111512312578E-17;1,28498035257541E-16
-0,431;-0,431;0;0
-0,43;-0,43;5,55111512312578E-17;1,29095700537809E-16
-0,429;-0,429;5,55111512312578E-17;1,29396622916685E-16
-0,428;-0,428;0;0
-0,427;-0,427;5,55111512312578E-17;1,30002696091939E-16
-0,426;-0,426;0;0
-0,425;-0,425;5,55111512312578E-17;1,30614473485313E-16
-0,424;-0,424;5,55111512312578E-17;1,30922526488816E-16
-0,423;-0,423;5,55111512312578E-17;1,31232036007702E-16
-0,422;-0,422;0;0
-0,421;-0,421;0;0
-0,42;-0,42;0;0
-0,419;-0,419;5,55111512312578E-17;1,32484847807298E-16
-0,418;-0,418;0;0
-0,417;-0,417;5,55111512312578E-17;1,33120266741625E-16
-0,416;-0,416;5,55111512312578E-17;1,33440267382831E-16
-0,415;-0,415;0;0
-0,414;-0,414;5,55111512312578E-17;1,34084906355695E-16
-0,413;-0,413;5,55111512312578E-17;1,34409567145903E-16
-0,412;-0,412;5,55111512312578E-17;1,34735803959364E-16
-0,411;-0,411;0;0
-0,41;-0,41;5,55111512312578E-17;1,35393051783556E-16
-0,409;-0,409;0;0
-0,408;-0,408;0;0
-0,407;-0,407;0;0
-0,406;-0,406;5,55111512312578E-17;1,36726973476005E-16
-0,405;-0,405;0;0
-0,404;-0,404;0;0
-0,403;-0,403;0;0
-0,402;-0,402;5,55111512312578E-17;1,38087440873776E-16
-0,401;-0,401;5,55111512312578E-17;1,3843179858169E-16
-0,4;-0,4;0;0
-0,399;-0,399;0;0
-0,398;-0,398;5,55111512312578E-17;1,39475254349894E-16
-0,397;-0,397;5,55111512312578E-17;1,3982657740871E-16
-0,396;-0,396;0;0
-0,395;-0,395;0;0
-0,394;-0,394;5,55111512312578E-17;1,40891246779842E-16
-0,393;-0,393;0;0
-0,392;-0,392;5,55111512312578E-17;1,41610079671576E-16
-0,391;-0,391;0;0
-0,39;-0,39;5,55111512312578E-17;1,42336285208353E-16
-0,389;-0,389;5,55111512312578E-17;1,42702188255162E-16
-0,388;-0,388;0;0
-0,387;-0,387;0;0
-0,386;-0,386;5,55111512312578E-17;1,43811272619839E-16
-0,385;-0,385;5,55111512312578E-17;1,44184808392877E-16
-0,384;-0,384;5,55111512312578E-17;1,44560289664734E-16
-0,383;-0,383;5,55111512312578E-17;1,44937731674302E-16
-0,382;-0,382;0;0
-0,381;-0,381;0;0
-0,38;-0,38;0;0
-0,379;-0,379;0;0
-0,378;-0,378;0;0
-0,377;-0,377;0;0
-0,376;-0,376;0;0
-0,375;-0,375;0;0
-0,374;-0,374;5,55111512312578E-17;1,48425538051492E-16
-0,373;-0,373;0;0
-0,372;-0,372;5,55111512312578E-17;1,49223524815209E-16
-0,371;-0,371;0;0
-0,37;-0,37;0;0
-0,369;-0,369;0;0
-0,368;-0,368;5,55111512312578E-17;1,50845519650157E-16
-0,367;-0,367;0;0
-0,366;-0,366;5,55111512312578E-17;1,51669812107262E-16
-0,365;-0,365;5,55111512312578E-17;1,52085345839063E-16
-0,364;-0,364;0;0
-0,363;-0,363;5,55111512312578E-17;1,52923281628809E-16
-0,362;-0,362;5,55111512312578E-17;1,53345721633309E-16
-0,361;-0,361;0;0
-0,36;-0,36;0;0
-0,359;-0,359;5,55111512312578E-17;1,54627162204061E-16
-0,358;-0,358;0;0
-0,357;-0,357;5,55111512312578E-17;1,55493420815848E-16
-0,356;-0,356;5,55111512312578E-17;1,55930200087803E-16
-0,355;-0,355;0;0
-0,354;-0,354;5,55111512312578E-17;1,5681116167022E-16
-0,353;-0,353;5,55111512312578E-17;1,57255385924243E-16
-0,352;-0,352;0;0
-0,351;-0,351;0;0
-0,35;-0,35;5,55111512312578E-17;1,58603289232165E-16
-0,349;-0,349;0;0
-0,348;-0,348;5,55111512312578E-17;1,59514802388672E-16
-0,347;-0,347;0;0
-0,346;-0,346;5,55111512312578E-17;1,60436853269531E-16
-0,345;-0,345;5,55111512312578E-17;1,60901887626834E-16
-0,344;-0,344;0;0
-0,343;-0,343;5,55111512312578E-17;1,6184009105323E-16
-0,342;-0,342;0;0
-0,341;-0,341;0;0
-0,34;-0,34;5,55111512312578E-17;1,63268091856641E-16
-0,339;-0,339;0;0
-0,338;-0,338;5,55111512312578E-17;1,64234175240408E-16
-0,337;-0,337;0;0
-0,336;-0,336;0;0
-0,335;-0,335;0;0
-0,334;-0,334;0;0
-0,333;-0,333;0;0
-0,332;-0,332;0;0
-0,331;-0,331;0;0
-0,33;-0,33;0;0
-0,329;-0,329;5,55111512312578E-17;1,68726903438474E-16
-0,328;-0,328;0;0
-0,327;-0,327;5,55111512312578E-17;1,69758872266844E-16
-0,326;-0,326;0;0
-0,325;-0,325;0;0
-0,324;-0,324;5,55111512312578E-17;1,71330713676722E-16
-0,323;-0,323;0;0
-0,322;-0,322;0;0
-0,321;-0,321;0;0
-0,32;-0,32;0;0
-0,319;-0,319;0;0
-0,318;-0,318;0;0
-0,317;-0,317;0;0
-0,316;-0,316;0;0
-0,315;-0,315;5,55111512312578E-17;1,76225876924628E-16
-0,314;-0,314;0;0
-0,313;-0,313;0;0
-0,312;-0,312;0;0
-0,311;-0,311;0;0
-0,31;-0,31;0;0
-0,309;-0,309;5,55111512312578E-17;1,79647738612485E-16
-0,308;-0,308;0;0
-0,307;-0,307;5,55111512312578E-17;1,80818082186508E-16
-0,306;-0,306;0;0
-0,305;-0,305;0;0
-0,304;-0,304;5,55111512312578E-17;1,82602471155453E-16
-0,303;-0,303;5,55111512312578E-17;1,83205119575108E-16
-0,302;-0,302;5,55111512312578E-17;1,838117590439E-16
-0,301;-0,301;5,55111512312578E-17;1,84422429339727E-16
-0,3;-0,3;0;0
-0,299;-0,299;0;0
-0,298;-0,298;0;0
-0,297;-0,297;0;0
-0,296;-0,296;0;0
-0,295;-0,295;5,55111512312578E-17;1,88173394004264E-16
-0,294;-0,294;0;0
-0,293;-0,293;0;0
-0,292;-0,292;0;0
-0,291;-0,291;5,55111512312578E-17;1,90759969866865E-16
-0,29;-0,29;0;0
-0,289;-0,289;5,55111512312578E-17;1,92080108066636E-16
-0,288;-0,288;0;0
-0,287;-0,287;0;0
-0,286;-0,286;0;0
-0,285;-0,285;0;0
-0,284;-0,284;0;0
-0,283;-0,283;0;0
-0,282;-0,282;0;0
-0,281;-0,281;0;0
-0,28;-0,28;0;0
-0,279;-0,279;0;0
-0,278;-0,278;0;0
-0,277;-0,277;0;0
-0,276;-0,276;5,55111512312578E-17;2,01127359533543E-16
-0,275;-0,275;0;0
-0,274;-0,274;0;0
-0,273;-0,273;0;0
-0,272;-0,272;0;0
-0,271;-0,271;0;0
-0,27;-0,27;5,55111512312578E-17;2,05596856412066E-16
-0,269;-0,269;0;0
-0,268;-0,268;5,55111512312578E-17;2,07131161310664E-16
-0,267;-0,267;5,55111512312578E-17;2,07906933450404E-16
-0,266;-0,266;0;0
-0,265;-0,265;0;0
-0,264;-0,264;5,55111512312578E-17;2,10269512239613E-16
-0,263;-0,263;5,55111512312578E-17;2,11069016088433E-16
-0,262;-0,262;0;0
-0,261;-0,261;0;0
-0,26;-0,26;0;0
-0,259;-0,259;0;0
-0,258;-0,258;0;0
-0,257;-0,257;0;0
-0,256;-0,256;0;0
-0,255;-0,255;0;0
-0,254;-0,254;0;0
-0,253;-0,253;0;0
-0,252;-0,252;0;0
-0,251;-0,251;0;0
-0,25;-0,25;5,55111512312578E-17;2,22044604925031E-16
-0,249;-0,249;2,77555756156289E-17;1,11468175163168E-16
-0,248;-0,248;2,77555756156289E-17;1,11917643611407E-16
-0,247;-0,247;0;0
-0,246;-0,246;0;0
-0,245;-0,245;0;0
-0,244;-0,244;2,77555756156289E-17;1,13752359080446E-16
-0,243;-0,243;0;0
-0,242;-0,242;5,55111512312578E-17;2,29384922443214E-16
-0,241;-0,241;0;0
-0,24;-0,24;0;0
-0,239;-0,239;0;0
-0,238;-0,238;2,77555756156289E-17;1,16620065611886E-16
-0,237;-0,237;2,77555756156289E-17;1,17112133399278E-16
-0,236;-0,236;0;0
-0,235;-0,235;2,77555756156289E-17;1,18108832406932E-16
-0,234;-0,234;2,77555756156289E-17;1,18613571006961E-16
-0,233;-0,233;0;0
-0,232;-0,232;0;0
-0,231;-0,231;2,77555756156289E-17;1,20154006994065E-16
-0,23;-0,23;2,77555756156289E-17;1,20676415720126E-16
-0,229;-0,229;2,77555756156289E-17;1,21203386967812E-16
-0,228;-0,228;2,77555756156289E-17;1,21734980770302E-16
-0,227;-0,227;0;0
-0,226;-0,226;2,77555756156289E-17;1,22812281485084E-16
-0,225;-0,225;0;0
-0,224;-0,224;2,77555756156289E-17;1,23908819712629E-16
-0,223;-0,223;0;0
-0,222;-0,222;2,77555756156289E-17;1,25025115385716E-16
-0,221;-0,221;2,77555756156289E-17;1,25590839889724E-16
-0,22;-0,22;2,77555756156289E-17;1,26161707343768E-16
-0,219;-0,219;2,77555756156289E-17;1,26737788199219E-16
-0,218;-0,218;2,77555756156289E-17;1,27319154200133E-16
-0,217;-0,217;0;0
-0,216;-0,216;0;0
-0,215;-0,215;2,77555756156289E-17;1,29095700537809E-16
-0,214;-0,214;2,77555756156289E-17;1,29698951474902E-16
-0,213;-0,213;2,77555756156289E-17;1,30307866740042E-16
-0,212;-0,212;0;0
-0,211;-0,211;0;0
-0,21;-0,21;2,77555756156289E-17;1,32169407693471E-16
-0,209;-0,209;0;0
-0,208;-0,208;2,77555756156289E-17;1,33440267382832E-16
-0,207;-0,207;2,77555756156289E-17;1,34084906355695E-16
-0,206;-0,206;5,55111512312578E-17;2,69471607918728E-16
-0,205;-0,205;0;0
-0,204;-0,204;0;0
-0,203;-0,203;2,77555756156289E-17;1,36726973476005E-16
-0,202;-0,202;2,77555756156289E-17;1,37403839681331E-16
-0,201;-0,201;0;0
-0,2;-0,2;0;0
-0,199;-0,199;2,77555756156289E-17;1,39475254349894E-16
-0,198;-0,198;0;0
-0,197;-0,197;0;0
-0,196;-0,196;2,77555756156289E-17;1,41610079671576E-16
-0,195;-0,195;0;0
-0,194;-0,194;2,77555756156289E-17;1,43069977400149E-16
-0,193;-0,193;2,77555756156289E-17;1,43811272619839E-16
-0,192;-0,192;0;0
-0,191;-0,191;0;0
-0,19;-0,19;0;0
-0,189;-0,189;0;0
-0,188;-0,188;2,77555756156289E-17;1,47636040508665E-16
-0,187;-0,187;0;0
-0,186;-0,186;0;0
-0,185;-0,185;0;0
