x;ginv_gx;absoluteError;relativeError
-49,9;-49,9000000000575;5,74686964682769E-11;1,15167728393208E-12
-49,8;-49,7999999999431;5,69286839890992E-11;1,14314626484266E-12
-49,7;-49,7000000001264;1,26448185255867E-10;2,54422907958845E-12
-49,6;-49,5999999999471;5,28643795405515E-11;1,06581410364129E-12
-49,5;-49,4999999999713;2,86632939605624E-11;5,79056443648062E-13
-49,4;-49,4000000000267;2,67377231466526E-11;5,41249456409678E-13
-49,3;-49,3000000000623;6,23217033535184E-11;1,26413191386287E-12
-49,2;-49,1999999999931;6,89936996423057E-12;1,40231096833974E-13
-49,1;-49,1000000001139;1,13928422251774E-10;2,32033446540754E-12
-49;-49,0000000000969;9,69464508671081E-11;1,97849899728401E-12
-48,9;-48,8999999999225;7,75202124714269E-11;1,5852804186411E-12
-48,8;-48,8000000000582;5,82431880502554E-11;1,19350795184807E-12
-48,7;-48,699999999956;4,39470682067622E-11;9,02403864616055E-13
-48,6;-48,6000000000206;2,05702122002549E-11;4,23255395066794E-13
-48,5;-48,500000000009;9,00257646208047E-12;1,85620133238738E-13
-48,4;-48,3999999999787;2,12310169445118E-11;4,386573748868E-13
-48,3;-48,3000000000357;3,57616158908058E-11;7,40406126103093E-13
-48,2;-48,2000000000426;4,2597037008818E-11;8,83755954539012E-13
-48,1;-48,1000000000427;4,26823021371092E-11;8,87365948795663E-13
-48;-48,0000000001019;1,01927355444786E-10;2,12348657176188E-12
-47,9;-47,9000000000512;5,12088149662304E-11;1,06907755670513E-12
-47,8;-47,8000000000446;4,46576109425223E-11;9,3425964314813E-13
-47,7;-47,7000000000891;8,91162699190318E-11;1,8682656167477E-12
-47,6;-47,6000000000503;5,03490582559607E-11;1,05775332470394E-12
-47,5;-47,4999999998924;1,07611697330867E-10;2,26550941749707E-12
-47,4;-47,3999999999733;2,66879851551494E-11;5,63037661501359E-13
-47,3;-47,2999999999619;3,81064069188142E-11;8,05632281582345E-13
-47,2;-47,2000000000509;5,09814412907872E-11;1,08011528158331E-12
-47,1;-47,1000000000128;1,28892452266882E-11;2,73657011182265E-13
-47;-47,0000000000856;8,56417159411649E-11;1,82216416895764E-12
-46,9;-46,8999999999552;4,47357706434559E-11;9,53854384722785E-13
-46,8;-46,80000000003;3,00701685773674E-11;6,42524969601456E-13
-46,7;-46,6999999999714;2,8563817977556E-11;6,11644924573309E-13
-46,6;-46,6000000000325;3,25286464430974E-11;6,98039623241947E-13
-46,5;-46,5000000000001;1,77635683940025E-13;3,82012223526935E-15
-46,3999999999999;-46,4000000000615;6,15756334809703E-11;1,32706106639846E-12
-46,2999999999999;-46,2999999999946;5,30064880877035E-12;1,14484855481014E-13
-46,1999999999999;-46,1999999999933;6,62225829728413E-12;1,4333892418366E-13
-46,0999999999999;-46,0999999999923;7,65254526413628E-12;1,65998812671097E-13
-45,9999999999999;-45,999999999993;6,97042423780658E-12;1,51530961691471E-13
-45,8999999999999;-45,9000000000359;3,59889895662491E-11;7,84073846758625E-13
-45,7999999999999;-45,7999999999861;1,38342670652492E-11;3,02058232865794E-13
-45,6999999999999;-45,7000000000344;3,44400064022921E-11;7,53610643375627E-13
-45,5999999999999;-45,6000000001051;1,05188746601925E-10;2,30677075880883E-12
-45,4999999999999;-45,499999999986;1,39124267661828E-11;3,0576762123488E-13
-45,3999999999999;-45,4000000000015;1,59161572810262E-12;3,50576151564443E-14
-45,2999999999999;-45,3000000001228;1,22888366149709E-10;2,71276746466614E-12
-45,1999999999999;-45,2000000000392;3,93072241422487E-11;8,69628852703863E-13
-45,0999999999999;-45,1000000000044;4,51905179943424E-12;1,00200705087224E-13
-44,9999999999999;-44,9999999999533;4,66187088932202E-11;1,0359713087393E-12
-44,8999999999999;-44,9000000000341;3,41700001627032E-11;7,61024502509516E-13
-44,7999999999999;-44,8000000000555;5,55502310817246E-11;1,23996051521553E-12
-44,6999999999999;-44,7000000000391;3,91437993130239E-11;8,75700208344289E-13
-44,5999999999999;-44,5999999999318;6,81552592141088E-11;1,52814482543079E-12
-44,4999999999999;-44,5000000000775;7,76125830270757E-11;1,74410298936945E-12
