x;absoluteError;relativeError;result
-49,9;3,11075609715772E-11;6,2339801546208E-13;-49,9000000000311
-49,8;1,18092202683329E-11;2,37132937115062E-13;-49,8000000000118
-49,7;1,98951966012828E-12;4,00305766625393E-14;-49,700000000002
-49,6;2,26378915613168E-11;4,56409104058598E-13;-49,6000000000226
-49,5;2,32489583140705E-11;4,69675925536557E-13;-49,5000000000232
-49,4;8,33466629046598E-12;1,68717941102522E-13;-49,4000000000083
-49,3;2,50537368629011E-11;5,08189388699562E-13;-49,300000000025
-49,2;1,00826014204358E-11;2,04930923179632E-13;-49,1999999999899
-49,1;5,05053776578279E-11;1,02862276288749E-12;-49,1000000000505
-49;3,38289396495384E-11;6,9038652345949E-13;-49,0000000000338
-48,9;6,69331257086014E-12;1,3687755768632E-13;-48,8999999999933
-48,8;1,32160948851379E-12;2,70821616498734E-14;-48,7999999999987
-48,7;1,09352527033479E-11;2,24543176660072E-13;-48,7000000000109
-48,6;1,61932689479727E-11;3,33194834320315E-13;-48,6000000000162
-48,5;1,44524392453604E-11;2,9798843804858E-13;-48,5000000000144
-48,4;4,40536496171262E-12;9,10199372254591E-14;-48,4000000000044
-48,3;1,79483095053001E-11;3,71600610875641E-13;-48,3000000000179
-48,2;1,63211666404095E-11;3,38613415776016E-13;-48,2000000000163
-48,1;2,29505303650512E-12;4,77142003431442E-14;-48,0999999999977
-48;1,82396320269618E-11;3,79992333894893E-13;-48,0000000000182
-47,9;1,28466126625426E-11;2,68196506524826E-13;-47,9000000000128
-47,8;3,45181661032257E-11;7,22137366175748E-13;-47,8000000000345
-47,7;4,36983782492462E-12;9,16108558684323E-14;-47,7000000000043
-47,6;1,91135995919467E-11;4,01546209914686E-13;-47,6000000000191
-47,5;1,81614723260282E-11;3,82346785811266E-13;-47,4999999999818
-47,4;1,60440549734631E-11;3,38482172435815E-13;-47,400000000016
-47,3;1,89785964721523E-11;4,0123882604957E-13;-47,3000000000189
-47,2;1,68398628375144E-11;3,56776755031957E-13;-47,2000000000168
-47,1;1,70459202308848E-11;3,61909134413821E-13;-47,0999999999829
-47;6,32383034826489E-12;1,34549581877958E-13;-47,0000000000063
-46,9;1,08002495835535E-11;2,30282507111963E-13;-46,9000000000108
-46,8;1,92130755749531E-11;4,10535802883445E-13;-46,8000000000192
-46,7;5,22248910783674E-12;1,11830601880885E-13;-46,6999999999947
-46,6;1,19513288154849E-11;2,56466283594031E-13;-46,6000000000119
-46,5;1,0274447959091E-11;2,20955870088029E-13;-46,4999999999897
-46,3999999999999;1,60156332640327E-11;3,45164510000585E-13;-46,400000000016
-46,2999999999999;2,21334062189271E-11;4,78043330862129E-13;-46,3000000000221
-46,1999999999999;2,02078354050172E-11;4,37399034740442E-13;-46,2000000000202
-46,0999999999999;6,4162009039137E-12;1,3918006299164E-13;-46,0999999999935
-45,9999999999999;2,55795384873636E-13;5,56076923638343E-15;-45,9999999999997
-45,8999999999999;5,11590769747272E-12;1,11457684040788E-13;-45,9000000000051
-45,7999999999999;7,24753590475302E-13;1,58243142025173E-14;-45,8000000000007
-45,6999999999999;1,18944853966241E-11;2,60273203427155E-13;-45,7000000000118
-45,5999999999999;7,02726765666739E-12;1,54106746856717E-13;-45,600000000007
-45,4999999999999;2,36255459640233E-11;5,19242768439804E-13;-45,5000000000236
-45,3999999999999;1,26831878333178E-11;2,79365370777847E-13;-45,4000000000126
-45,2999999999999;1,63424829224823E-13;3,6076121241683E-15;-45,2999999999998
-45,1999999999999;2,25242047235952E-11;4,98323113353628E-13;-45,2000000000225
-45,0999999999999;5,96855898038484E-12;1,32340553888782E-13;-45,1000000000059
-44,9999999999999;3,5171865420125E-12;7,8159700933605E-14;-45,0000000000034
-44,8999999999999;4,33431068813661E-13;9,65325320297697E-15;-44,8999999999995
-44,7999999999999;1,00754959930782E-11;2,24899464131261E-13;-44,7999999999899
-44,6999999999999;8,58335624798201E-12;1,92021392572268E-13;-44,7000000000085
-44,5999999999999;1,21929133456433E-11;2,73383707301495E-13;-44,5999999999877
-44,4999999999999;3,92930132875335E-12;8,82989062641127E-14;-44,5000000000039
-44,3999999999999;6,99174051987939E-12;1,57471633330592E-13;-44,4000000000069
-44,2999999999999;2,17568185689743E-11;4,91124572663318E-13;-44,2999999999782
-44,1999999999999;1,75717218553473E-11;3,97550268220685E-13;-44,1999999999823
-44,0999999999999;1,22923893286497E-11;2,7873898704429E-13;-44,0999999999876
-43,9999999999999;1,94972926692571E-11;4,4312028793786E-13;-43,9999999999804
-43,8999999999999;4,9737991503207E-14;1,13298386112089E-15;-43,8999999999999
-43,7999999999999;1,40829570227652E-11;3,21528699149994E-13;-43,7999999999858
-43,6999999999999;1,51061385622597E-11;3,45678227969211E-13;-43,700000000015
-43,5999999999999;8,94573304321966E-12;2,0517736337664E-13;-43,599999999991
-43,4999999999999;2,08899564313469E-12;4,80228883479264E-14;-43,4999999999978
-43,3999999999999;4,2845726966334E-12;9,87228731943085E-14;-43,4000000000042
-43,2999999999999;9,79127889877418E-12;2,26126533458937E-13;-43,3000000000097
-43,1999999999999;1,4210854715202E-14;3,28954970259306E-16;-43,1999999999999
-43,0999999999999;4,45510295321583E-12;1,03366657847246E-13;-43,0999999999954
-42,9999999999999;1,96820337805548E-12;4,57721715826835E-14;-43,0000000000019
-42,8999999999999;2,21547225009999E-11;5,16427097925674E-13;-42,8999999999777
-42,7999999999999;2,02504679691629E-12;4,73141774980464E-14;-42,7999999999979
-42,6999999999999;1,93836058315355E-11;4,5394861432147E-13;-42,7000000000193
-42,5999999999999;4,66826577394386E-12;1,09583703613694E-13;-42,6000000000046
-42,4999999999999;2,79243295153719E-12;6,57043047420475E-14;-42,5000000000027
-42,3999999999999;9,02389274415327E-13;2,12827659060224E-14;-42,399999999999
-42,2999999999999;3,98614474761416E-12;9,42351004164196E-14;-42,2999999999959
-42,1999999999999;1,05870867628255E-12;2,50878833242305E-14;-42,2000000000009
-42,0999999999999;2,26663132707472E-12;5,38392239210178E-14;-42,0999999999976
-41,9999999999999;1,50848222801869E-11;3,59162435242418E-13;-42,000000000015
-41,8999999999999;1,16671117211808E-11;2,7845135372739E-13;-41,9000000000116
-41,7999999999999;2,8421709430404E-14;6,79945201684309E-16;-41,7999999999999
-41,6999999999999;5,12301312483032E-12;1,22854031770527E-13;-41,6999999999948
-41,5999999999999;3,33955085807247E-13;8,02776648575109E-15;-41,6000000000002
-41,4999999999999;9,52127265918534E-13;2,29428256847846E-14;-41,4999999999989
-41,3999999999999;1,25339738588082E-11;3,02752991758561E-13;-41,4000000000124
-41,2999999999999;5,6488147492928E-12;1,3677517552769E-13;-41,2999999999942
-41,1999999999999;5,38591393706156E-12;1,30726066433516E-13;-41,2000000000053
-41,0999999999999;1,06368247543287E-11;2,58803522003199E-13;-41,0999999999892
-40,9999999999999;3,80850906367414E-12;9,28904649676708E-14;-40,9999999999961
-40,8999999999999;1,45874423651549E-11;3,56661182522252E-13;-40,8999999999853
-40,7999999999999;1,79980474968033E-11;4,41128615117925E-13;-40,7999999999819
-40,6999999999999;6,29540863883449E-12;1,54678344934485E-13;-40,7000000000062
-40,5999999999999;1,143263261838E-11;2,81591936413381E-13;-40,5999999999884
-40,4999999999999;6,58673116049613E-12;1,62635337296228E-13;-40,4999999999933
-40,3999999999999;1,74367187355529E-11;4,31601948899638E-13;-40,4000000000173
-40,2999999999999;4,68247662865906E-12;1,16190487063487E-13;-40,3000000000045
-40,1999999999999;7,58859641791787E-12;1,88771055172051E-13;-40,2000000000074
-40,0999999999999;1,17879039862601E-11;2,93962692924279E-13;-40,0999999999881
-39,9999999999999;1,05870867628255E-12;2,64677169070631E-14;-40,0000000000009
-39,8999999999999;6,32383034826489E-12;1,58491988678294E-13;-39,9000000000062
-39,7999999999999;7,33280103304423E-12;1,84241231986003E-13;-39,8000000000072
-39,6999999999999;5,04485342389671E-12;1,2707439354902E-13;-39,7000000000049
-39,5999999999999;1,58024704433046E-11;3,99052283921676E-13;-39,6000000000157
-39,4999999999999;1,03028696685215E-11;2,60832143506805E-13;-39,5000000000102
-39,3999999999998;3,48876483258209E-12;8,85473307762034E-14;-39,3999999999964
-39,2999999999998;1,55608859131462E-12;3,95951295499889E-14;-39,3000000000014
-39,1999999999998;8,15703060652595E-12;2,08087515472558E-13;-39,200000000008
-39,0999999999998;5,22959453519434E-12;1,33749220848943E-13;-39,1000000000051
-38,9999999999998;8,19255774331396E-12;2,10065583161941E-13;-38,9999999999917
