x;g_ginvx;absoluteError;relativeError
0,1;0,1;1,38777878078145E-17;1,38777878078145E-16
0,2;0,2;0;0
0,3;0,3;0;0
0,4;0,4;0;0
0,5;0,5;0;0
0,6;0,6;0;0
0,7;0,7;0;0
0,8;0,8;0;0
0,9;0,9;0;0
1;1;0;0
1,1;1,1;0;0
1,2;1,2;0;0
1,3;1,3;2,22044604925031E-16;1,70803542250024E-16
1,4;1,4;0;0
1,5;1,5;0;0
1,6;1,6;0;0
1,7;1,7;0;0
1,8;1,8;0;0
1,9;1,9;4,44089209850063E-16;2,3373116307898E-16
2;2;4,44089209850063E-16;2,22044604925031E-16
2,1;2,1;0;0
2,2;2,2;4,44089209850063E-16;2,01858731750028E-16
2,3;2,3;4,44089209850063E-16;1,93082265152201E-16
2,4;2,4;0;0
2,5;2,5;0;0
2,6;2,6;0;0
2,7;2,7;0;0
2,8;2,8;4,44089209850063E-16;1,58603289232165E-16
2,9;2,9;4,44089209850063E-16;1,53134210293125E-16
3;3;4,44089209850063E-16;1,48029736616688E-16
3,1;3,1;4,44089209850063E-16;1,43254583822601E-16
3,2;3,2;4,44089209850063E-16;1,38777878078144E-16
3,3;3,3;4,44089209850063E-16;1,34572487833352E-16
3,4;3,4;4,44089209850063E-16;1,30614473485312E-16
3,5;3,5;4,44089209850063E-16;1,26882631385732E-16
3,6;3,6;0;0
3,7;3,7;0;0
3,8;3,8;0;0
3,9;3,9;4,44089209850063E-16;1,13869028166683E-16
4;4;8,88178419700125E-16;2,22044604925031E-16
4,1;4,1;0;0
4,2;4,2;0;0
4,3;4,3;0;0
4,4;4,4;0;0
4,5;4,5;0;0
4,6;4,6;8,88178419700125E-16;1,93082265152201E-16
4,7;4,7;8,88178419700125E-16;1,88974131851091E-16
4,8;4,8;8,88178419700125E-16;1,85037170770859E-16
4,9;4,9;8,88178419700125E-16;1,81260901979617E-16
5;5;0;0
5,1;5,1;0;0
5,2;5,2;0;0
5,3;5,3;0;0
5,4;5,4;8,88178419700125E-16;1,64477485129653E-16
5,5;5,5;1,77635683940025E-15;3,22973970800046E-16
5,6;5,6;0;0
5,7;5,7;8,88178419700125E-16;1,55820775385987E-16
5,8;5,79999999999999;1,77635683940025E-15;3,0626842058625E-16
5,9;5,89999999999999;8,88178419700125E-16;1,50538715203411E-16
5,99999999999999;5,99999999999999;8,88178419700125E-16;1,48029736616688E-16
6,09999999999999;6,09999999999999;8,88178419700125E-16;1,45603019622972E-16
6,19999999999999;6,19999999999999;0;0
6,29999999999999;6,29999999999999;8,88178419700125E-16;1,40980701539703E-16
6,39999999999999;6,39999999999999;0;0
6,49999999999999;6,49999999999999;8,88178419700125E-16;1,36642833800019E-16
6,59999999999999;6,59999999999999;0;0
6,69999999999999;6,69999999999999;8,88178419700125E-16;1,32563943238825E-16
6,79999999999999;6,79999999999999;8,88178419700125E-16;1,30614473485313E-16
6,89999999999999;6,89999999999999;0;0
6,99999999999999;6,99999999999999;8,88178419700125E-16;1,26882631385732E-16
7,09999999999999;7,09999999999999;1,77635683940025E-15;2,50191104140881E-16
7,19999999999999;7,19999999999999;8,88178419700125E-16;1,2335811384724E-16
7,29999999999999;7,29999999999999;0;0
7,39999999999999;7,39999999999999;8,88178419700125E-16;1,20024110770287E-16
7,49999999999999;7,49999999999999;0;0
7,59999999999999;7,59999999999999;1,77635683940025E-15;2,33731163078981E-16
7,69999999999999;7,69999999999999;1,77635683940025E-15;2,30695693428604E-16
7,79999999999999;7,79999999999999;8,88178419700125E-16;1,13869028166683E-16
7,89999999999999;7,89999999999999;0;0
7,99999999999999;7,99999999999999;0;0
8,09999999999999;8,09999999999999;0;0
8,19999999999999;8,19999999999999;1,77635683940025E-15;2,16628882853689E-16
8,29999999999999;8,29999999999999;0;0
8,39999999999999;8,39999999999998;1,77635683940025E-15;2,11471052309554E-16
8,49999999999999;8,49999999999998;1,77635683940025E-15;2,089831575765E-16
8,59999999999999;8,59999999999999;0;0
8,69999999999999;8,69999999999999;0;0
8,79999999999998;8,79999999999998;0;0
8,89999999999998;8,89999999999998;0;0
8,99999999999998;8,99999999999999;1,77635683940025E-15;1,97372982155584E-16
9,09999999999998;9,09999999999998;1,77635683940025E-15;1,95204048285742E-16
9,19999999999998;9,19999999999998;0;0
9,29999999999998;9,29999999999998;1,77635683940025E-15;1,91006111763468E-16
9,39999999999998;9,39999999999998;1,77635683940025E-15;1,88974131851091E-16
9,49999999999998;9,49999999999998;1,77635683940025E-15;1,86984930463185E-16
9,59999999999998;9,59999999999998;1,77635683940025E-15;1,8503717077086E-16
9,69999999999998;9,69999999999998;1,77635683940025E-15;1,83129571072191E-16
9,79999999999998;9,79999999999998;3,5527136788005E-15;3,62521803959235E-16
9,89999999999998;9,89999999999998;1,77635683940025E-15;1,79429983777803E-16
9,99999999999998;9,99999999999998;1,77635683940025E-15;1,77635683940025E-16
10,1;10,1;1,77635683940025E-15;1,75876914792104E-16
10,2;10,2;0;0
10,3;10,3;0;0
10,4;10,4;1,77635683940025E-15;1,70803542250024E-16
10,5;10,5;1,77635683940025E-15;1,69176841847643E-16
10,6;10,6;1,77635683940025E-15;1,67580833905684E-16
10,7;10,7;1,77635683940025E-15;1,66014657887874E-16
10,8;10,8;1,77635683940025E-15;1,64477485129653E-16
10,9;10,9;3,5527136788005E-15;3,2593703475234E-16
11;11;0;0
11,1;11,1;1,77635683940025E-15;1,60032147693717E-16
11,2;11,2;1,77635683940025E-15;1,58603289232166E-16
11,3;11,3;0;0
11,4;11,4;1,77635683940025E-15;1,55820775385987E-16
11,5;11,5;3,5527136788005E-15;3,08931624243523E-16
11,6;11,6;0;0
11,7;11,7;1,77635683940025E-15;1,51825370888911E-16
11,8;11,8;0;0
11,9;11,9;1,77635683940025E-15;1,49273683983215E-16
12;12;0;0
12,1;12,1;0;0
12,2;12,2;1,77635683940025E-15;1,45603019622972E-16
12,3;12,3;1,77635683940025E-15;1,44419255235793E-16
12,4;12,4;0;0
12,5;12,5;1,77635683940025E-15;1,4210854715202E-16
12,6;12,6;1,77635683940025E-15;1,40980701539703E-16
12,7;12,7;3,5527136788005E-15;2,79741234551221E-16
12,8;12,8;0;0
12,9;12,9;0;0
13;13;1,77635683940025E-15;1,3664283380002E-16
