x;absoluteErrorrelativeError;result
-49,9;0;0;-49,9
-49,8;0;0;-49,8
-49,7;0;0;-49,7
-49,6;0;0;-49,6
-49,5;0;0;-49,5
-49,4;0;0;-49,4
-49,3;0;0;-49,3
-49,2;0;0;-49,2
-49,1;0;0;-49,1
-49;0;0;-49
-48,9;0;0;-48,9
-48,8;0;0;-48,8
-48,7;0;0;-48,7
-48,6;0;0;-48,6
-48,5;0;0;-48,5
-48,4;0;0;-48,4
-48,3;0;0;-48,3
-48,2;0;0;-48,2
-48,1;0;0;-48,1
-48;0;0;-48
-47,9;0;0;-47,9
-47,8;0;0;-47,8
-47,7;0;0;-47,7
-47,6;0;0;-47,6
-47,5;0;0;-47,5
-47,4;0;0;-47,4
-47,3;0;0;-47,3
-47,2;0;0;-47,2
-47,1;0;0;-47,1
-47;0;0;-47
-46,9;0;0;-46,9
-46,8;0;0;-46,8
-46,7;0;0;-46,7
-46,6;0;0;-46,6
-46,5;0;0;-46,5
-46,3999999999999;0;0;-46,3999999999999
-46,2999999999999;0;0;-46,2999999999999
-46,1999999999999;0;0;-46,1999999999999
-46,0999999999999;0;0;-46,0999999999999
-45,9999999999999;0;0;-45,9999999999999
-45,8999999999999;0;0;-45,8999999999999
-45,7999999999999;0;0;-45,7999999999999
-45,6999999999999;0;0;-45,6999999999999
-45,5999999999999;0;0;-45,5999999999999
-45,4999999999999;0;0;-45,4999999999999
-45,3999999999999;0;0;-45,3999999999999
-45,2999999999999;0;0;-45,2999999999999
-45,1999999999999;0;0;-45,1999999999999
-45,0999999999999;0;0;-45,0999999999999
-44,9999999999999;0;0;-44,9999999999999
-44,8999999999999;0;0;-44,8999999999999
-44,7999999999999;0;0;-44,7999999999999
-44,6999999999999;0;0;-44,6999999999999
-44,5999999999999;0;0;-44,5999999999999
-44,4999999999999;0;0;-44,4999999999999
-44,3999999999999;0;0;-44,3999999999999
-44,2999999999999;0;0;-44,2999999999999
-44,1999999999999;0;0;-44,1999999999999
-44,0999999999999;0;0;-44,0999999999999
-43,9999999999999;0;0;-43,9999999999999
-43,8999999999999;0;0;-43,8999999999999
-43,7999999999999;0;0;-43,7999999999999
-43,6999999999999;0;0;-43,6999999999999
-43,5999999999999;0;0;-43,5999999999999
-43,4999999999999;0;0;-43,4999999999999
-43,3999999999999;0;0;-43,3999999999999
-43,2999999999999;0;0;-43,2999999999999
-43,1999999999999;0;0;-43,1999999999999
-43,0999999999999;0;0;-43,0999999999999
-42,9999999999999;0;0;-42,9999999999999
-42,8999999999999;0;0;-42,8999999999999
-42,7999999999999;0;0;-42,7999999999999
-42,6999999999999;0;0;-42,6999999999999
-42,5999999999999;0;0;-42,5999999999999
-42,4999999999999;0;0;-42,4999999999999
-42,3999999999999;0;0;-42,3999999999999
-42,2999999999999;0;0;-42,2999999999999
-42,1999999999999;0;0;-42,1999999999999
-42,0999999999999;0;0;-42,0999999999999
-41,9999999999999;0;0;-41,9999999999999
-41,8999999999999;0;0;-41,8999999999999
-41,7999999999999;0;0;-41,7999999999999
-41,6999999999999;0;0;-41,6999999999999
-41,5999999999999;0;0;-41,5999999999999
-41,4999999999999;0;0;-41,4999999999999
-41,3999999999999;0;0;-41,3999999999999
-41,2999999999999;0;0;-41,2999999999999
-41,1999999999999;0;0;-41,1999999999999
-41,0999999999999;0;0;-41,0999999999999
-40,9999999999999;0;0;-40,9999999999999
-40,8999999999999;0;0;-40,8999999999999
-40,7999999999999;0;0;-40,7999999999999
-40,6999999999999;0;0;-40,6999999999999
-40,5999999999999;0;0;-40,5999999999999
-40,4999999999999;0;0;-40,4999999999999
-40,3999999999999;0;0;-40,3999999999999
-40,2999999999999;0;0;-40,2999999999999
-40,1999999999999;0;0;-40,1999999999999
-40,0999999999999;0;0;-40,0999999999999
-39,9999999999999;0;0;-39,9999999999999
-39,8999999999999;0;0;-39,8999999999999
-39,7999999999999;0;0;-39,7999999999999
-39,6999999999999;0;0;-39,6999999999999
-39,5999999999999;0;0;-39,5999999999999
-39,4999999999999;0;0;-39,4999999999999
-39,3999999999998;0;0;-39,3999999999998
-39,2999999999998;0;0;-39,2999999999998
-39,1999999999998;0;0;-39,1999999999998
-39,0999999999998;0;0;-39,0999999999998
-38,9999999999998;0;0;-38,9999999999998
-38,8999999999998;0;0;-38,8999999999998
-38,7999999999998;0;0;-38,7999999999998
-38,6999999999998;0;0;-38,6999999999998
-38,5999999999998;0;0;-38,5999999999998
-38,4999999999998;0;0;-38,4999999999998
-38,3999999999998;0;0;-38,3999999999998
-38,2999999999998;0;0;-38,2999999999998
-38,1999999999998;0;0;-38,1999999999998
-38,0999999999998;0;0;-38,0999999999998
-37,9999999999998;0;0;-37,9999999999998
-37,8999999999998;0;0;-37,8999999999998
-37,7999999999998;0;0;-37,7999999999998
-37,6999999999998;0;0;-37,6999999999998
-37,5999999999998;0;0;-37,5999999999998
-37,4999999999998;0;0;-37,4999999999998
-37,3999999999998;0;0;-37,3999999999998
-37,2999999999998;0;0;-37,2999999999998
-37,1999999999998;0;0;-37,1999999999998
-37,0999999999998;0;0;-37,0999999999998
-36,9999999999998;0;0;-36,9999999999998
-36,8999999999998;0;0;-36,8999999999998
-36,7999999999998;0;0;-36,7999999999998
-36,6999999999998;0;0;-36,6999999999998
-36,5999999999998;0;0;-36,5999999999998
-36,4999999999998;0;0;-36,4999999999998
-36,3999999999998;0;0;-36,3999999999998
-36,2999999999998;0;0;-36,2999999999998
-36,1999999999998;0;0;-36,1999999999998
-36,0999999999998;0;0;-36,0999999999998
-35,9999999999998;0;0;-35,9999999999998
-35,8999999999998;0;0;-35,8999999999998
-35,7999999999998;0;0;-35,7999999999998
-35,6999999999998;0;0;-35,6999999999998
