x;g_ginvx;absoluteError;relativeError
-49,9;-49,9;4,2632564145606E-14;8,54360002917955E-16
-49,8;-49,8;2,8421709430404E-14;5,70717056835422E-16
-49,7;-49,7000000000001;1,06581410364015E-13;2,1444951783504E-15
-49,6;-49,6;4,2632564145606E-14;8,59527502935604E-16
-49,5;-49,5000000000001;7,8159700933611E-14;1,57898385724466E-15
-49,4;-49,4;2,1316282072803E-14;4,31503685684271E-16
-49,3;-49,3000000000001;9,2370555648813E-14;1,87364210241E-15
-49,2;-49,2;2,1316282072803E-14;4,33257765707378E-16
-49,1;-49,1;2,8421709430404E-14;5,78853552554053E-16
-49;-49;1,4210854715202E-14;2,90017443167388E-16
-48,9;-48,9000000000001;8,5265128291212E-14;1,74366315523951E-15
-48,8;-48,8;1,4210854715202E-14;2,91206039245943E-16
-48,7;-48,7;4,2632564145606E-14;8,75411994776304E-16
-48,6;-48,6;1,4210854715202E-14;2,92404418008272E-16
-48,5;-48,5;0;0
-48,4;-48,4000000000001;9,2370555648813E-14;1,90848255472754E-15
-48,3;-48,3;7,105427357601E-15;1,4711029725882E-16
-48,2;-48,2;4,9737991503207E-14;1,03190853741093E-15
-48,1;-48,1;6,3948846218409E-14;1,32949784237856E-15
-48;-47,9999999999999;3,5527136788005E-14;7,40148683083439E-16
-47,9;-47,9;3,5527136788005E-14;7,41693878663988E-16
-47,8;-47,8;6,3948846218409E-14;1,33784197109642E-15
-47,7;-47,7;7,105427357601E-15;1,48960741249497E-16
-47,6;-47,6;7,105427357601E-15;1,49273683983214E-16
-47,5;-47,5;1,4210854715202E-14;2,99175888741095E-16
-47,4;-47,4;7,105427357601E-15;1,49903530751076E-16
-47,3;-47,3;2,1316282072803E-14;4,50661354604715E-16
-47,2;-47,2000000000001;9,2370555648813E-14;1,95700329764434E-15
-47,1;-47,1;0;0
-47;-47,0000000000001;9,2370555648813E-14;1,96533097125134E-15
-46,9;-46,9;8,5265128291212E-14;1,81801979298959E-15
-46,8;-46,7999999999999;4,2632564145606E-14;9,10952225333463E-16
-46,7;-46,7;2,8421709430404E-14;6,08601914997945E-16
-46,6;-46,5999999999999;2,1316282072803E-14;4,57430945768306E-16
-46,5;-46,5000000000001;9,9475983006414E-14;2,13926845175084E-15
-46,3999999999999;-46,4;7,8159700933611E-14;1,68447631322437E-15
-46,2999999999999;-46,3;2,1316282072803E-14;4,60394861183651E-16
-46,1999999999999;-46,1999999999999;7,105427357601E-15;1,53797128952403E-16
-46,0999999999999;-46,1;7,105427357601E-15;1,54130745284187E-16
-45,9999999999999;-45,9999999999999;4,2632564145606E-14;9,26794872730567E-16
-45,8999999999999;-45,9;1,4210854715202E-14;3,09604677891112E-16
-45,7999999999999;-45,7999999999999;7,105427357601E-15;1,55140335318799E-16
-45,6999999999999;-45,7;5,6843418860808E-14;1,2438384871074E-15
-45,5999999999999;-45,5999999999999;2,1316282072803E-14;4,67462326157962E-16
-45,4999999999999;-45,5;2,8421709430404E-14;6,24652954514374E-16
-45,3999999999999;-45,4;7,105427357601E-14;1,56507210519846E-15
-45,2999999999999;-45,3;9,2370555648813E-14;2,03908511366033E-15
-45,1999999999999;-45,1999999999999;7,105427357601E-15;1,57199720300907E-16
-45,0999999999999;-45,0999999999999;2,1316282072803E-14;4,72644835317141E-16
-44,9999999999999;-45;6,3948846218409E-14;1,4210854715202E-15
-44,8999999999999;-44,8999999999999;7,105427357601E-15;1,58250052507818E-16
-44,7999999999999;-44,7999999999999;0;0
-44,6999999999999;-44,6999999999999;2,1316282072803E-14;4,76874319302081E-16
-44,5999999999999;-44,5999999999999;7,105427357601E-15;1,59314514744417E-16
-44,4999999999999;-44,5;2,8421709430404E-14;6,38690099559641E-16
-44,3999999999999;-44,3999999999999;0;0
-44,2999999999999;-44,2999999999999;2,8421709430404E-14;6,41573576307089E-16
-44,1999999999999;-44,2;7,8159700933611E-14;1,76831902564731E-15
-44,0999999999999;-44,0999999999999;1,4210854715202E-14;3,22241603519321E-16
-43,9999999999999;-44;3,5527136788005E-14;8,07434927000115E-16
-43,8999999999999;-43,8999999999999;2,8421709430404E-14;6,47419349211937E-16
-43,7999999999999;-43,7999999999999;0;0
-43,6999999999999;-43,6999999999999;7,105427357601E-15;1,62595591707117E-16
-43,5999999999999;-43,6;7,8159700933611E-14;1,79265369113787E-15
-43,4999999999999;-43,4999999999999;0;0
-43,3999999999999;-43,3999999999999;7,105427357601E-15;1,63719524368687E-16
-43,2999999999999;-43,3;5,6843418860808E-14;1,31278103604638E-15
-43,1999999999999;-43,1999999999999;2,8421709430404E-14;6,57909940518612E-16
-43,0999999999999;-43,0999999999999;2,8421709430404E-14;6,59436413698471E-16
-42,9999999999999;-42,9999999999999;7,105427357601E-15;1,65242496688396E-16
-42,8999999999999;-42,9;8,5265128291212E-14;1,98753212800028E-15
-42,7999999999999;-42,8;5,6843418860808E-14;1,32811726310299E-15
-42,6999999999999;-42,6999999999999;7,105427357601E-15;1,66403450997682E-16
-42,5999999999999;-42,6;7,105427357601E-14;1,66794069427254E-15
-42,4999999999999;-42,4999999999999;2,1316282072803E-14;5,01559578183602E-16
-42,3999999999999;-42,3999999999999;3,5527136788005E-14;8,37904169528421E-16
-42,2999999999999;-42,3;8,5265128291212E-14;2,0157240730783E-15
-42,1999999999999;-42,1999999999999;4,2632564145606E-14;1,01025033520394E-15
-42,0999999999999;-42,1;7,105427357601E-14;1,68774996617601E-15
-41,9999999999999;-41,9999999999999;5,6843418860808E-14;1,35341473478115E-15
-41,8999999999999;-41,8999999999999;2,8421709430404E-14;6,78322420773368E-16
-41,7999999999999;-41,7999999999999;1,4210854715202E-14;3,39972600842154E-16
-41,6999999999999;-41,6999999999999;7,105427357601E-15;1,70393941429281E-16
-41,5999999999999;-41,6;7,105427357601E-14;1,70803542250024E-15
-41,4999999999999;-41,4999999999999;1,4210854715202E-14;3,42430234101254E-16
-41,3999999999999;-41,3999999999999;5,6843418860808E-14;1,37302944108232E-15
-41,2999999999999;-41,3;8,5265128291212E-14;2,06453095136107E-15
-41,1999999999999;-41,1999999999999;5,6843418860808E-14;1,37969463254389E-15
-41,0999999999999;-41,0999999999998;4,2632564145606E-14;1,03728866534322E-15
-40,9999999999999;-40,9999999999999;2,8421709430404E-14;6,93212425131807E-16
-40,8999999999999;-40,8999999999999;7,105427357601E-15;1,73726830259194E-16
-40,7999999999999;-40,7999999999999;6,3948846218409E-14;1,56737368182375E-15
-40,6999999999999;-40,6999999999999;7,105427357601E-14;1,74580524756782E-15
-40,5999999999999;-40,5999999999998;3,5527136788005E-14;8,75052630246432E-16
-40,4999999999999;-40,4999999999999;4,9737991503207E-14;1,22809855563474E-15
-40,3999999999999;-40,3999999999999;2,8421709430404E-14;7,03507659168418E-16
-40,2999999999999;-40,2999999999999;7,105427357601E-15;1,76313333935509E-16
-40,1999999999999;-40,1999999999999;7,8159700933611E-14;1,94427116750276E-15
-40,0999999999999;-40,0999999999999;7,105427357601E-15;1,77192702184564E-16
-39,9999999999999;-39,9999999999999;7,105427357601E-15;1,77635683940026E-16
-39,8999999999999;-39,8999999999998;1,4210854715202E-14;3,56161772310829E-16
