x;absoluteError;relativeError;computation time (milliseconds)
-0,99;3,91310918601562E-06;8,49721585311913E-07;0
-0,98;7,87001575019985E-11;2,01175088680156E-11;0
-0,97;1,02140518265514E-14;2,91284277221202E-15;0
-0,96;7,105427357601E-15;2,20742512112655E-15;0
-0,95;7,99360577730113E-15;2,66833116158872E-15;0
-0,94;3,99680288865056E-15;1,42062545821726E-15;0
-0,93;8,88178419700125E-16;3,33994572687431E-16;0
-0,92;0;0;0
-0,91;2,22044604925031E-15;9,22132975625421E-16;0
-0,9;8,88178419700125E-16;3,85730986621315E-16;0
-0,89;8,88178419700125E-16;4,02386859195814E-16;0
-0,88;4,44089209850063E-16;2,09450005750678E-16;0
-0,87;1,33226762955019E-15;6,53001680466301E-16;0
-0,86;1,11022302462516E-15;5,64679194801331E-16;0
-0,85;0;0;0
-0,84;0;0;0
-0,83;2,44249065417534E-15;1,3784143024118E-15;0
-0,82;2,22044604925031E-16;1,29487292084879E-16;0
-0,81;1,55431223447522E-15;9,35920411497475E-16;0
-0,8;8,88178419700125E-16;5,51856280281637E-16;0
-0,79;0;0;0
-0,78;6,66133814775094E-16;4,39945587429494E-16;0
-0,77;2,22044604925031E-16;1,51084054886007E-16;0
-0,76;1,77635683940025E-15;1,2447175959969E-15;0
-0,75;8,88178419700125E-16;6,40685300762984E-16;0
-0,74;6,66133814775094E-16;4,94504376787873E-16;0
-0,73;2,22044604925031E-16;1,69586003453869E-16;0
-0,72;0;0;0
-0,71;1,33226762955019E-15;1,07625432507825E-15;0
-0,7;2,22044604925031E-16;1,84426595125084E-16;0
-0,69;2,22044604925031E-16;1,89590020032641E-16;0
-0,68;8,88178419700125E-16;7,79490693587721E-16;0
-0,67;2,22044604925031E-16;2,00281492325805E-16;0
-0,66;2,22044604925031E-16;2,05823708180974E-16;0
-0,65;6,66133814775094E-16;6,3452064805092E-16;0
-0,64;2,22044604925031E-16;2,17338945615177E-16;0
-0,63;1,11022302462516E-16;1,11664117285974E-16;0
-0,62;1,11022302462516E-16;1,14741768620814E-16;0
-0,61;2,22044604925031E-16;2,3581413668828E-16;0
-0,6;3,33066907387547E-16;3,63494790246652E-16;0
-0,59;2,22044604925031E-16;2,49041132010685E-16;0
-0,58;3,33066907387547E-16;3,83938546886249E-16;0
-0,57;3,33066907387547E-16;3,94643031916183E-16;0
-0,56;2,22044604925031E-16;2,70462685583988E-16;0
-0,55;2,22044604925031E-16;2,7807447063663E-16;0
-0,54;0;0;0
-0,53;2,22044604925031E-16;2,9409001736995E-16;0
-0,52;1,11022302462516E-16;1,51262895271296E-16;0
-0,51;2,22044604925031E-16;3,11270259795952E-16;0
