x;absoluteError;relativeError;computation time (milliseconds)
-0,99;3,60844198077359E-07;7,83563158861878E-08;0
-0,98;3,86535248253495E-12;9,88069977392193E-13;0
-0,97;1,11022302462516E-14;3,16613344805652E-15;0
-0,96;3,37507799486048E-14;1,0485269325351E-14;0
-0,95;2,22044604925031E-15;7,41203100441311E-16;0
-0,94;1,11022302462516E-14;3,94618182838125E-15;0
-0,93;5,32907051820075E-15;2,00396743612459E-15;0
-0,92;1,77635683940025E-15;7,0330470512075E-16;0
-0,91;3,10862446895044E-15;1,29098616587559E-15;0
-0,9;6,66133814775094E-15;2,89298239965985E-15;0
-0,89;9,76996261670138E-15;4,42625545115394E-15;0
-0,88;3,5527136788005E-15;1,67560004600542E-15;0
-0,87;4,44089209850063E-16;2,176672268221E-16;0
-0,86;3,33066907387547E-15;1,69403758440399E-15;0
-0,85;3,5527136788005E-15;1,87268792016559E-15;0
-0,84;3,33066907387547E-15;1,81747395123326E-15;0
-0,83;1,33226762955019E-15;7,51862346770073E-16;0
-0,82;4,44089209850063E-16;2,58974584169759E-16;0
-0,81;2,22044604925031E-16;1,33702915928211E-16;0
-0,8;0;0;0
-0,79;0;0;0
-0,78;2,22044604925031E-16;1,46648529143165E-16;0
-0,77;2,22044604925031E-16;1,51084054886008E-16;0
-0,76;2,22044604925031E-16;1,55589699499612E-16;0
-0,75;4,44089209850063E-16;3,20342650381492E-16;0
-0,74;1,33226762955019E-15;9,89008753575744E-16;0
-0,73;8,88178419700125E-16;6,78344013815474E-16;0
-0,72;4,44089209850063E-16;3,48861888649493E-16;0
-0,71;8,88178419700125E-16;7,17502883385498E-16;0
-0,7;4,44089209850063E-16;3,68853190250168E-16;0
-0,69;2,22044604925031E-16;1,89590020032641E-16;0
-0,68;4,44089209850063E-16;3,89745346793861E-16;0
-0,67;2,22044604925031E-16;2,00281492325805E-16;0
-0,66;4,44089209850063E-16;4,11647416361948E-16;0
-0,65;2,22044604925031E-16;2,1150688268364E-16;0
-0,64;2,22044604925031E-16;2,17338945615177E-16;0
-0,63;7,7715611723761E-16;7,81648821001818E-16;0
-0,62;1,11022302462516E-16;1,14741768620813E-16;0
-0,61;0;0;0
-0,6;2,22044604925031E-16;2,42329860164435E-16;0
-0,59;2,22044604925031E-16;2,49041132010685E-16;0
-0,58;1,11022302462516E-16;1,2797951562875E-16;0
-0,57;0;0;0
