x;absoluteError;relativeError;computation time (milliseconds)
1,005;2,22044604925031E-16;2,20939905398041E-16;0
1,01;2,22044604925031E-16;2,1984614349013E-16;0
1,015;4,44089209850063E-16;4,37526315123214E-16;0
1,02;2,22044604925031E-16;2,17690789142188E-16;0
1,025;4,44089209850063E-16;4,33257765707378E-16;0
1,03;4,44089209850063E-16;4,31154572669964E-16;0
1,035;2,22044604925031E-16;2,14535850169112E-16;0
1,04;2,22044604925031E-16;2,1350442781253E-16;0
1,045;0;0;0
1,05;0;0;0
1,055;2,22044604925031E-16;2,10468819834153E-16;0
1,06;2,22044604925031E-16;2,09476042382105E-16;0
1,065;4,44089209850063E-16;4,16985173568134E-16;0
1,07;4,44089209850063E-16;4,15036644719685E-16;0
1,075;0;0;0
1,08;0;0;0
1,085;4,44089209850063E-16;4,09298810921717E-16;0
1,09;4,44089209850063E-16;4,07421293440424E-16;0
1,095;2,22044604925031E-16;2,0278046111875E-16;0
1,1;4,44089209850063E-16;4,03717463500057E-16;0
1,105;0;0;0
1,11;4,44089209850063E-16;4,00080369234291E-16;0
1,115;6,66133814775094E-16;5,97429430291564E-16;0
1,12;0;0;0
1,125;0;0;0
1,13;4,44089209850063E-16;3,92999300752268E-16;0
1,135;0;0;0
1,14;4,44089209850063E-16;3,89551938464967E-16;0
1,145;2,22044604925031E-16;1,93925419148499E-16;0
1,15;2,22044604925031E-16;1,93082265152201E-16;0
1,155;2,22044604925031E-16;1,92246411190503E-16;0
1,16;2,22044604925031E-16;1,91417762866406E-16;0
1,165;0;0;0
1,17;2,22044604925031E-16;1,89781713611138E-16;0
1,175;4,44089209850063E-16;3,77948263702181E-16;0
1,18;2,22044604925031E-16;1,88173394004264E-16;0
1,185;2,22044604925031E-16;1,87379413438845E-16;0
1,19;2,22044604925031E-16;1,86592104979018E-16;0
1,195;4,44089209850063E-16;3,71622769749006E-16;0
1,2;4,44089209850063E-16;3,70074341541719E-16;0
1,205;4,44089209850063E-16;3,68538763361048E-16;0
1,21;0;0;0
1,215;4,44089209850063E-16;3,6550552251034E-16;0
