x;absoluteError;relativeError;computation time (milliseconds)
1,005;0;0;0
1,01;0;0;0
1,015;0;0;0
1,02;0;0;0
1,025;0;0;0
1,03;2,22044604925031E-16;2,15577286334982E-16;0
1,035;2,22044604925031E-16;2,14535850169112E-16;0
1,04;0;0;0
1,045;0;0;0
1,05;0;0;0
1,055;0;0;0
1,06;0;0;0
1,065;0;0;0
1,07;0;0;0
1,075;0;0;0
1,08;0;0;0
1,085;0;0;0
1,09;0;0;0
1,095;0;0;0
1,1;0;0;0
1,105;0;0;0
1,11;0;0;0
1,115;0;0;0
1,12;0;0;0
1,125;0;0;0
1,13;0;0;0
1,135;2,22044604925031E-16;1,95634013149807E-16;0
1,14;0;0;0
1,145;0;0;0
1,15;0;0;0
1,155;0;0;0
1,16;0;0;0
1,165;2,22044604925031E-16;1,9059622740346E-16;0
1,17;2,22044604925031E-16;1,89781713611138E-16;0
1,175;2,22044604925031E-16;1,8897413185109E-16;0
1,18;0;0;0
1,185;0;0;0
1,19;0;0;0
1,195;0;0;0
1,2;0;0;0
1,205;0;0;0
1,21;0;0;0
1,215;0;0;0
1,22;0;0;0
1,225;0;0;0
1,23;0;0;0
1,235;2,22044604925031E-16;1,79793202368446E-16;0
1,24;0;0;0
1,245;0;0;0
1,25;0;0;0
1,255;0;0;0
1,26;0;0;0
1,265;2,22044604925031E-16;1,75529331956546E-16;0
1,27;2,22044604925031E-16;1,74838271594513E-16;0
1,275;2,22044604925031E-16;1,7415263131375E-16;0
1,28;2,22044604925031E-16;1,73472347597681E-16;0
1,285;0;0;0
1,29;2,22044604925031E-16;1,72127600717079E-16;0
1,295;0;0;0
1,3;2,22044604925031E-16;1,70803542250024E-16;0
1,305;2,22044604925031E-16;1,70149122547917E-16;0
1,31;0;0;0
1,315;0;0;0
1,32;0;0;0
1,325;0;0;0
1,33;0;0;0
1,335;0;0;0
1,34;2,22044604925031E-16;1,65704929048531E-16;0
1,345;2,22044604925031E-16;1,65088925594819E-16;0
1,35;2,22044604925031E-16;1,64477485129653E-16;0
1,355;2,22044604925031E-16;1,63870557140245E-16;0
1,36;0;0;0
1,365;2,22044604925031E-16;1,62670040238118E-16;0
1,37;2,22044604925031E-16;1,62076353959877E-16;0
1,375;0;0;0
1,38;0;0;0
1,385;0;0;0
1,39;0;0;0
1,395;0;0;0
1,4;0;0;0
1,405;0;0;0
1,41;2,22044604925031E-16;1,57478443209242E-16;0
1,415;2,22044604925031E-16;1,56921982279174E-16;0
1,42;2,22044604925031E-16;1,5636944008805E-16;0
1,425;2,22044604925031E-16;1,55820775385987E-16;0
1,43;2,22044604925031E-16;1,55275947500022E-16;0
1,435;0;0;0
1,44;2,22044604925031E-16;1,5419764230905E-16;0
1,445;0;0;0
1,45;0;0;0
1,455;0;0;0
1,46;0;0;0
1,465;0;0;0
1,47;0;0;0
1,475;2,22044604925031E-16;1,50538715203411E-16;0
1,48;2,22044604925031E-16;1,50030138462859E-16;0
1,485;2,22044604925031E-16;1,49524986481503E-16;0
1,49;2,22044604925031E-16;1,490232247819E-16;0
1,495;2,22044604925031E-16;1,48524819347847E-16;0
1,5;2,22044604925031E-16;1,48029736616688E-16;0
1,505;2,22044604925031E-16;1,47537943471782E-16;0
1,51;0;0;0
1,515;0;0;0
1,52;0;0;0
1,525;0;0;0
1,53;0;0;0
1,535;0;0;0
1,54;0;0;0
1,545;0;0;0
1,55;2,22044604925031E-16;1,43254583822601E-16;0
1,555;2,22044604925031E-16;1,42793958151146E-16;0
1,56;2,22044604925031E-16;1,42336285208353E-16;0
1,565;2,22044604925031E-16;1,41881536693311E-16;0
1,57;2,22044604925031E-16;1,41429684665625E-16;0
1,575;0;0;0
1,58;0;0;0
1,585;0;0;0
1,59;0;0;0
1,595;0;0;0
1,6;0;0;0
1,605;0;0;0
1,61;0;0;0
