x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;0;0;0
-0,9801;0;0;0
-0,97015;0;0;0
-0,9602;0;0;0
-0,95025;0;0;0
-0,9403;0;0;0
-0,93035;0;0;0
-0,9204;0;0;0
-0,91045;1,11022302462516E-16;1,21942229076298E-16;0
-0,9005;0;0;0
-0,89055;0;0;0
-0,8806;0;0;0
-0,87065;0;0;0
-0,8607;0;0;0
-0,85075;0;0;0
-0,8408;0;0;0
-0,83085;0;0;0
-0,8209;0;0;0
-0,81095;0;0;0
-0,801;0;0;0
-0,79105;0;0;0
-0,7811;0;0;0
-0,77115;0;0;0
-0,7612;0;0;0
-0,75125;0;0;0
-0,7413;0;0;0
-0,73135;0;0;0
-0,7214;0;0;0
-0,71145;0;0;0
-0,7015;0;0;0
-0,69155;0;0;0
-0,6816;1,11022302462516E-16;1,62884833425052E-16;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;0;0;0
-0,65175;1,11022302462516E-16;1,70344921308041E-16;0
-0,6418;0;0;0
-0,63185;0;0;0
-0,6219;1,11022302462516E-16;1,78521148838263E-16;0
-0,61195;1,11022302462516E-16;1,8142381315878E-16;0
-0,602;1,11022302462516E-16;1,84422429339727E-16;0
-0,59205;0;0;0
-0,5821;0;0;0
-0,57215;1,11022302462516E-16;1,94044048697921E-16;0
-0,5622;0;0;0
-0,55225;0;0;0
-0,5423;1,11022302462516E-16;2,04724880071023E-16;0
-0,53235;0;0;0
-0,5224;0;0;0
-0,51245;0;0;0
-0,5025;0;0;0
-0,49255;5,55111512312578E-17;1,12701555641575E-16;0
-0,4826;0;0;0
-0,47265;0;0;0
-0,4627;5,55111512312578E-17;1,19972230886661E-16;0
-0,45275;0;0;0
-0,4428;5,55111512312578E-17;1,25363936836626E-16;0
-0,43285;0;0;0
-0,4229;0;0;0
-0,41295;5,55111512312578E-17;1,3442584146085E-16;0
-0,403;0;0;0
-0,39305;5,55111512312578E-17;1,41231780260165E-16;0
-0,3831;5,55111512312578E-17;1,44899898802552E-16;0
-0,37315;5,55111512312578E-17;1,48763637227007E-16;0
-0,3632;5,55111512312578E-17;1,52839072773287E-16;0
-0,35325;0;0;0
-0,3433;5,55111512312578E-17;1,6169866365062E-16;0
-0,33335;5,55111512312578E-17;1,66525127437402E-16;0
-0,3234;5,55111512312578E-17;1,71648581420092E-16;0
-0,31345;0;0;0
-0,3035;5,55111512312578E-17;1,82903298949779E-16;0
-0,29355;5,55111512312578E-17;1,89102882749984E-16;0
-0,2836;0;0;0
-0,27365;5,55111512312578E-17;2,02854563242309E-16;0
-0,2637;5,55111512312578E-17;2,10508726701774E-16;0
-0,25375;0;0;0
-0,2438;0;0;0
-0,23385;0;0;0
-0,2239;2,77555756156289E-17;1,23964160855868E-16;0
-0,21395;0;0;0
-0,204;0;0;0
-0,19405;5,55111512312578E-17;2,86066226391434E-16;0
-0,1841;2,77555756156289E-17;1,50763582920309E-16;0
-0,17415;0;0;0
-0,1642;2,77555756156289E-17;1,69035174273014E-16;0
-0,15425;5,55111512312578E-17;3,59877803768284E-16;0
-0,1443;5,55111512312578E-17;3,8469266272528E-16;0
-0,13435;2,77555756156289E-17;2,06591556498913E-16;0
-0,1244;0;0;0
-0,11445;0;0;0
-0,1045;2,77555756156289E-17;2,65603594407932E-16;0
-0,0945499999999999;5,55111512312578E-17;5,87108950092627E-16;0
-0,0846;1,38777878078145E-17;1,64040045009627E-16;0
-0,07465;5,55111512312578E-17;7,43618904638417E-16;0
-0,0647;2,77555756156289E-17;4,28988803950988E-16;0
-0,05475;4,16333634234434E-17;7,60426729195313E-16;0
-0,0448;6,93889390390723E-18;1,54886024640787E-16;0
-0,0348499999999999;1,38777878078145E-17;3,98214858186929E-16;0
-0,0248999999999999;2,42861286636753E-17;9,75346532677726E-16;0
-0,0149499999999999;3,64291929955129E-17;2,43673531742563E-15;0
-0,00499999999999989;1,12757025938492E-17;2,2551405187699E-15;0
0,00495000000000001;1,06685493772574E-16;2,15526250045603E-14;0
0,0149000000000001;4,68375338513738E-17;3,14345864774318E-15;0
0,02485;1,38777878078145E-17;5,5846228602875E-16;0
