x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;NaN;NaN;0
-0,9801;NaN;NaN;0
-0,97015;NaN;NaN;0
-0,9602;NaN;NaN;0
-0,95025;NaN;NaN;0
-0,9403;NaN;NaN;0
-0,93035;NaN;NaN;0
-0,9204;NaN;NaN;0
-0,91045;NaN;NaN;0
-0,9005;NaN;NaN;0
-0,89055;NaN;NaN;0
-0,8806;NaN;NaN;0
-0,87065;NaN;NaN;0
-0,8607;NaN;NaN;0
-0,85075;NaN;NaN;0
-0,8408;NaN;NaN;0
-0,83085;NaN;NaN;0
-0,8209;NaN;NaN;0
-0,81095;NaN;NaN;0
-0,801;NaN;NaN;0
-0,79105;NaN;NaN;0
-0,7811;NaN;NaN;0
-0,77115;NaN;NaN;0
-0,7612;NaN;NaN;0
-0,75125;NaN;NaN;0
-0,7413;NaN;NaN;0
-0,73135;NaN;NaN;0
-0,7214;NaN;NaN;0
-0,71145;NaN;NaN;0
-0,7015;NaN;NaN;0
-0,69155;NaN;NaN;0
-0,6816;NaN;NaN;0
-0,67165;NaN;NaN;0
-0,6617;NaN;NaN;0
-0,65175;NaN;NaN;0
-0,6418;NaN;NaN;0
-0,63185;NaN;NaN;0
-0,6219;NaN;NaN;0
-0,61195;NaN;NaN;0
-0,602;NaN;NaN;0
-0,59205;NaN;NaN;0
-0,5821;NaN;NaN;0
-0,57215;NaN;NaN;0
-0,5622;NaN;NaN;0
-0,55225;NaN;NaN;0
-0,5423;NaN;NaN;0
-0,53235;NaN;NaN;0
-0,5224;NaN;NaN;0
-0,51245;NaN;NaN;0
-0,5025;NaN;NaN;0
-0,49255;NaN;NaN;0
-0,4826;NaN;NaN;0
-0,47265;NaN;NaN;0
-0,4627;NaN;NaN;0
-0,45275;NaN;NaN;0
-0,4428;NaN;NaN;0
-0,43285;NaN;NaN;0
-0,4229;NaN;NaN;0
-0,41295;NaN;NaN;0
-0,403;NaN;NaN;0
-0,39305;NaN;NaN;0
-0,3831;NaN;NaN;0
-0,37315;NaN;NaN;0
-0,3632;NaN;NaN;0
-0,35325;NaN;NaN;0
-0,3433;NaN;NaN;0
-0,33335;NaN;NaN;0
-0,3234;NaN;NaN;0
-0,31345;NaN;NaN;0
-0,3035;NaN;NaN;0
-0,29355;NaN;NaN;0
-0,2836;NaN;NaN;0
-0,27365;NaN;NaN;0
-0,2637;NaN;NaN;0
-0,25375;NaN;NaN;0
-0,2438;NaN;NaN;0
-0,23385;NaN;NaN;0
-0,2239;NaN;NaN;0
-0,21395;NaN;NaN;0
-0,204;NaN;NaN;0
-0,19405;NaN;NaN;0
-0,1841;NaN;NaN;0
-0,17415;NaN;NaN;0
-0,1642;NaN;NaN;0
-0,15425;NaN;NaN;0
-0,1443;NaN;NaN;0
-0,13435;NaN;NaN;0
-0,1244;NaN;NaN;0
-0,11445;NaN;NaN;0
-0,1045;NaN;NaN;0
-0,0945499999999999;NaN;NaN;0
