x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;3,33066907387547E-16;3,36414228965756E-16;0
-0,9801;1,11022302462516E-16;1,13276504910229E-16;0
-0,97015;2,22044604925031E-16;2,28876570556132E-16;0
-0,9602;2,22044604925031E-16;2,31248286737171E-16;0
-0,95025;2,22044604925031E-16;2,3366967106028E-16;0
-0,9403;0;0;0
-0,93035;3,33066907387547E-16;3,58001727723488E-16;0
-0,9204;0;0;0
-0,91045;4,44089209850063E-16;4,87768916305193E-16;0
-0,9005;2,22044604925031E-16;2,46579239228241E-16;0
-0,89055;4,44089209850063E-16;4,98668474369842E-16;0
-0,8806;4,44089209850063E-16;5,04302986429778E-16;0
-0,87065;0;0;0
-0,8607;2,22044604925031E-16;2,57981416201965E-16;0
-0,85075;3,33066907387547E-16;3,91497981060884E-16;0
-0,8408;4,44089209850063E-16;5,28174607338324E-16;0
-0,83085;3,33066907387547E-16;4,00874896055301E-16;0
-0,8209;1,11022302462516E-16;1,35244612574632E-16;0
-0,81095;2,22044604925031E-16;2,73808009032655E-16;0
-0,801;1,11022302462516E-16;1,38604622300269E-16;0
-0,79105;4,44089209850063E-16;5,61392086277811E-16;0
-0,7811;1,11022302462516E-16;1,42135837232769E-16;0
-0,77115;2,22044604925031E-16;2,87939577157533E-16;0
-0,7612;0;0;0
-0,75125;3,33066907387547E-16;4,4335029269557E-16;0
-0,7413;2,22044604925031E-16;2,9953406842713E-16;0
-0,73135;0;0;0
-0,7214;0;0;0
-0,71145;2,22044604925031E-16;3,12101489809588E-16;0
-0,7015;1,11022302462516E-16;1,58264151764099E-16;0
-0,69155;4,44089209850063E-16;6,42165005928801E-16;0
-0,6816;0;0;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;1,11022302462516E-16;1,67783440324189E-16;0
-0,65175;2,22044604925031E-16;3,40689842616082E-16;0
-0,6418;0;0;0
-0,63185;0;0;0
-0,6219;0;0;0
-0,61195;0;0;0
-0,602;1,11022302462516E-16;1,84422429339727E-16;0
-0,59205;1,11022302462516E-16;1,87521835085746E-16;0
-0,5821;2,22044604925031E-16;3,81454397740992E-16;0
-0,57215;3,33066907387547E-16;5,82132146093764E-16;0
-0,5622;2,22044604925031E-16;3,94956607835346E-16;0
-0,55225;2,22044604925031E-16;4,02072620959767E-16;0
-0,5423;2,22044604925031E-16;4,09449760142046E-16;0
-0,53235;0;0;0
-0,5224;2,22044604925031E-16;4,25047099779922E-16;0
-0,51245;2,22044604925031E-16;4,33300038881903E-16;0
-0,5025;1,11022302462516E-16;2,20939905398041E-16;0
-0,49255;1,66533453693773E-16;3,38104666924725E-16;0
-0,4826;2,22044604925031E-16;4,60100714722402E-16;0
-0,47265;1,66533453693773E-16;3,52339899912776E-16;0
-0,4627;1,11022302462516E-16;2,39944461773321E-16;0
-0,45275;5,55111512312578E-17;1,22608837617356E-16;0
-0,4428;5,55111512312578E-17;1,25363936836626E-16;0
-0,43285;1,66533453693773E-16;3,84737099904756E-16;0
-0,4229;5,55111512312578E-17;1,31263067465731E-16;0
-0,41295;1,66533453693773E-16;4,03277524382549E-16;0
-0,403;1,66533453693773E-16;4,13234376411349E-16;0
-0,39305;0;0;0
-0,3831;1,11022302462516E-16;2,89799797605105E-16;0
-0,37315;5,55111512312578E-17;1,48763637227007E-16;0
-0,3632;1,11022302462516E-16;3,05678145546574E-16;0
-0,35325;1,66533453693773E-16;4,7143228221875E-16;0
-0,3433;1,66533453693773E-16;4,8509599095186E-16;0
-0,33335;1,66533453693773E-16;4,99575382312205E-16;0
-0,3234;5,55111512312578E-17;1,71648581420092E-16;0
-0,31345;5,55111512312578E-17;1,7709730812333E-16;0
-0,3035;1,66533453693773E-16;5,48709896849336E-16;0
-0,29355;2,22044604925031E-16;7,56411530999936E-16;0
-0,2836;2,22044604925031E-16;7,82949946844257E-16;0
-0,27365;5,55111512312578E-17;2,02854563242309E-16;0
-0,2637;1,66533453693773E-16;6,31526180105322E-16;0
-0,25375;1,66533453693773E-16;6,56289472684822E-16;0
-0,2438;2,77555756156289E-17;1,13845675207666E-16;0
-0,23385;1,38777878078145E-16;5,93448270592878E-16;0
-0,2239;1,11022302462516E-16;4,95856643423473E-16;0
-0,21395;5,55111512312578E-17;2,59458524100294E-16;0
-0,204;1,11022302462516E-16;5,44226972855469E-16;0
-0,19405;5,55111512312578E-17;2,86066226391434E-16;0
-0,1841;2,77555756156289E-17;1,50763582920309E-16;0
-0,17415;5,55111512312578E-17;3,18754816142738E-16;0
-0,1642;1,66533453693773E-16;1,01421104563809E-15;0
-0,15425;8,32667268468867E-17;5,39816705652426E-16;0
-0,1443;1,38777878078145E-16;9,61731656813199E-16;0
-0,13435;2,77555756156289E-17;2,06591556498913E-16;0
-0,1244;2,77555756156289E-17;2,23115559611165E-16;0
-0,11445;4,16333634234434E-17;3,63769012000379E-16;0
-0,1045;1,38777878078145E-17;1,32801797203966E-16;0
-0,0945499999999999;9,71445146547012E-17;1,0274406626621E-15;0
-0,0846;1,38777878078145E-17;1,64040045009627E-16;0
-0,07465;1,38777878078145E-17;1,85904726159604E-16;0
-0,0647;9,71445146547012E-17;1,50146081382846E-15;0
-0,05475;9,0205620750794E-17;1,64759124658985E-15;0
-0,0448;4,85722573273506E-17;1,08420217248551E-15;0
-0,0348499999999999;2,08166817117217E-17;5,97322287280394E-16;0
-0,0248999999999999;2,77555756156289E-17;1,11468175163169E-15;0
-0,0149499999999999;9,36750677027476E-17;6,26589081623734E-15;0
-0,00499999999999989;4,33680868994202E-17;8,67361737988422E-15;0
0,00495000000000001;6,33174068731535E-17;1,27913953279098E-14;0
0,0149000000000001;3,64291929955129E-17;2,44491228157803E-15;0
0,02485;7,28583859910259E-17;2,93192700165094E-15;0
0,0348000000000002;3,46944695195361E-17;9,96967514929195E-16;0
0,0447500000000001;4,16333634234434E-17;9,30354489909348E-16;0
0,0547;8,32667268468867E-17;1,52224363522645E-15;0
0,0646500000000001;1,38777878078145E-17;2,1466029091747E-16;0
0,0746;4,16333634234434E-17;5,58087981547498E-16;0
0,0845500000000001;5,55111512312578E-17;6,56548210896011E-16;0
0,0945;4,16333634234434E-17;4,4056469231157E-16;0
0,10445;6,93889390390723E-17;6,6432684575464E-16;0
0,1144;1,2490009027033E-16;1,09178400585953E-15;0
0,12435;9,71445146547012E-17;7,8121845319422E-16;0
0,1343;5,55111512312578E-17;4,13336941409217E-16;0
0,14425;8,32667268468867E-17;5,77239007604068E-16;0
0,1542;5,55111512312578E-17;3,5999449566315E-16;0
0,16415;2,77555756156289E-17;1,69086662294419E-16;0
0,1741;5,55111512312578E-17;3,18846359743009E-16;0
0,18405;8,32667268468867E-17;4,52413620466649E-16;0
0,194;2,77555756156289E-17;1,43069977400149E-16;0
0,20395;5,55111512312578E-17;2,72180197260396E-16;0
0,2139;0;0;0
0,22385;5,55111512312578E-17;2,4798369993861E-16;0
0,2338;0;0;0
0,24375;0;0;0
0,2537;0;0;0
0,26365;1,11022302462516E-16;4,210972974114E-16;0
0,2736;0;0;0
0,28355;5,55111512312578E-17;1,95772002226266E-16;0
0,2935;5,55111512312578E-17;1,89135097891849E-16;0
0,30345;5,55111512312578E-17;1,82933436253939E-16;0
0,3134;0;0;0
0,32335;5,55111512312578E-17;1,71675123647001E-16;0
0,3333;1,11022302462516E-16;3,33100217409288E-16;0
0,34325;5,55111512312578E-17;1,61722217716702E-16;0
0,3532;1,11022302462516E-16;3,14332679678696E-16;0
0,36315;5,55111512312578E-17;1,52860116291499E-16;0
0,3731;1,11022302462516E-16;2,97567146777045E-16;0
0,38305;0;0;0
0,393;5,55111512312578E-17;1,41249748680045E-16;0
0,40295;5,55111512312578E-17;1,377618841823E-16;0
0,4129;0;0;0
0,42285;5,55111512312578E-17;1,3127858869873E-16;0
0,4328;0;0;0
0,44275;0;0;0
0,4527;5,55111512312578E-17;1,22622379569821E-16;0
0,46265;1,11022302462516E-16;2,39970393304908E-16;0
0,4726;5,55111512312578E-17;1,1745905888967E-16;0
0,48255;5,55111512312578E-17;1,15037097153161E-16;0
0,4925;5,55111512312578E-17;1,12712997423874E-16;0
0,50245;1,11022302462516E-16;2,20961891655917E-16;0
0,5124;0;0;0
0,52235;1,11022302462516E-16;2,12543892911871E-16;0
