x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;3,33066907387547E-16;3,36414228965756E-16;0
-0,9801;1,11022302462516E-16;1,13276504910229E-16;0
-0,97015;2,22044604925031E-16;2,28876570556132E-16;0
-0,9602;2,22044604925031E-16;2,31248286737171E-16;0
-0,95025;0;0;0
-0,9403;3,33066907387547E-16;3,5421345037493E-16;0
-0,93035;0;0;0
-0,9204;1,11022302462516E-16;1,20623970515554E-16;0
-0,91045;4,44089209850063E-16;4,87768916305193E-16;0
-0,9005;0;0;0
-0,89055;1,11022302462516E-16;1,2466711859246E-16;0
-0,8806;1,11022302462516E-16;1,26075746607445E-16;0
-0,87065;2,22044604925031E-16;2,55033141819366E-16;0
-0,8607;2,22044604925031E-16;2,57981416201965E-16;0
-0,85075;1,11022302462516E-16;1,30499327020295E-16;0
-0,8408;0;0;0
-0,83085;2,22044604925031E-16;2,67249930703534E-16;0
-0,8209;2,22044604925031E-16;2,70489225149265E-16;0
-0,81095;1,11022302462516E-16;1,36904004516327E-16;0
-0,801;1,11022302462516E-16;1,38604622300269E-16;0
-0,79105;3,33066907387547E-16;4,21044064708358E-16;0
-0,7811;2,22044604925031E-16;2,84271674465537E-16;0
-0,77115;1,11022302462516E-16;1,43969788578766E-16;0
-0,7612;1,11022302462516E-16;1,45851684790483E-16;0
-0,75125;1,11022302462516E-16;1,47783430898523E-16;0
-0,7413;1,11022302462516E-16;1,49767034213565E-16;0
-0,73135;1,11022302462516E-16;1,51804611283948E-16;0
-0,7214;0;0;0
-0,71145;3,33066907387547E-16;4,68152234714382E-16;0
-0,7015;3,33066907387547E-16;4,74792455292298E-16;0
-0,69155;0;0;0
-0,6816;1,11022302462516E-16;1,62884833425052E-16;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;2,22044604925031E-16;3,35566880648377E-16;0
-0,65175;1,11022302462516E-16;1,70344921308041E-16;0
-0,6418;0;0;0
-0,63185;0;0;0
-0,6219;1,11022302462516E-16;1,78521148838263E-16;0
-0,61195;1,11022302462516E-16;1,8142381315878E-16;0
-0,602;1,11022302462516E-16;1,84422429339727E-16;0
-0,59205;2,22044604925031E-16;3,75043670171491E-16;0
-0,5821;0;0;0
-0,57215;1,11022302462516E-16;1,94044048697921E-16;0
-0,5622;2,22044604925031E-16;3,94956607835346E-16;0
-0,55225;0;0;0
-0,5423;2,22044604925031E-16;4,09449760142046E-16;0
-0,53235;0;0;0
-0,5224;2,22044604925031E-16;4,25047099779922E-16;0
-0,51245;1,11022302462516E-16;2,16650019440952E-16;0
-0,5025;1,11022302462516E-16;2,20939905398041E-16;0
-0,49255;1,11022302462516E-16;2,2540311128315E-16;0
-0,4826;1,66533453693773E-16;3,45075536041802E-16;0
-0,47265;1,66533453693773E-16;3,52339899912776E-16;0
-0,4627;1,11022302462516E-16;2,39944461773321E-16;0
-0,45275;1,66533453693773E-16;3,67826512852067E-16;0
-0,4428;1,66533453693773E-16;3,76091810509877E-16;0
-0,43285;1,66533453693773E-16;3,84737099904756E-16;0
-0,4229;0;0;0
-0,41295;5,55111512312578E-17;1,3442584146085E-16;0
-0,403;0;0;0
-0,39305;5,55111512312578E-17;1,41231780260165E-16;0
-0,3831;5,55111512312578E-17;1,44899898802552E-16;0
-0,37315;2,22044604925031E-16;5,9505454890803E-16;0
-0,3632;5,55111512312578E-17;1,52839072773287E-16;0
-0,35325;0;0;0
-0,3433;5,55111512312578E-17;1,6169866365062E-16;0
-0,33335;5,55111512312578E-17;1,66525127437402E-16;0
-0,3234;5,55111512312578E-17;1,71648581420092E-16;0
-0,31345;1,66533453693773E-16;5,3129192436999E-16;0
-0,3035;5,55111512312578E-17;1,82903298949779E-16;0
-0,29355;5,55111512312578E-17;1,89102882749984E-16;0
-0,2836;0;0;0
-0,27365;5,55111512312578E-17;2,02854563242309E-16;0
-0,2637;5,55111512312578E-17;2,10508726701774E-16;0
-0,25375;0;0;0
-0,2438;0;0;0
-0,23385;1,38777878078145E-16;5,93448270592878E-16;0
-0,2239;2,77555756156289E-17;1,23964160855868E-16;0
-0,21395;1,11022302462516E-16;5,18917048200587E-16;0
-0,204;0;0;0
-0,19405;5,55111512312578E-17;2,86066226391434E-16;0
-0,1841;1,38777878078145E-16;7,53817914601546E-16;0
-0,17415;0;0;0
-0,1642;2,77555756156289E-17;1,69035174273014E-16;0
-0,15425;8,32667268468867E-17;5,39816705652426E-16;0
-0,1443;5,55111512312578E-17;3,8469266272528E-16;0
-0,13435;2,77555756156289E-17;2,06591556498913E-16;0
-0,1244;1,2490009027033E-16;1,00402001825024E-15;0
-0,11445;0;0;0
-0,1045;1,52655665885959E-16;1,46081976924363E-15;0
-0,0945499999999999;6,93889390390723E-17;7,33886187615784E-16;0
-0,0846;9,71445146547012E-17;1,14828031506739E-15;0
-0,07465;5,55111512312578E-17;7,43618904638417E-16;0
-0,0647;1,38777878078145E-16;2,14494401975494E-15;0
-0,05475;4,16333634234434E-17;7,60426729195313E-16;0
-0,0448;1,11022302462516E-16;2,47817639425258E-15;0
-0,0348499999999999;1,38777878078145E-17;3,98214858186929E-16;0
-0,0248999999999999;9,0205620750794E-17;3,62271569280298E-15;0
-0,0149499999999999;3,64291929955129E-17;2,43673531742563E-15;0
-0,00499999999999989;9,97465998686664E-17;1,99493199737337E-14;0
0,00495000000000001;1,14491749414469E-16;2,31296463463574E-14;0
0,0149000000000001;4,68375338513738E-17;3,14345864774318E-15;0
0,02485;1,38777878078145E-17;5,5846228602875E-16;0
0,0348000000000002;9,71445146547012E-17;2,79150904180175E-15;0
0,0447500000000001;2,08166817117217E-17;4,65177244954674E-16;0
0,0547;6,24500451351651E-17;1,14168272641984E-15;0
0,0646500000000001;2,77555756156289E-17;4,2932058183494E-16;0
0,0746;4,16333634234434E-17;5,58087981547498E-16;0
0,0845500000000001;8,32667268468867E-17;9,84822316344017E-16;0
0,0945;0;0;0
0,10445;1,38777878078145E-17;1,32865369150928E-16;0
0,1144;6,93889390390723E-17;6,0654666992196E-16;0
0,12435;8,32667268468867E-17;6,69615817023617E-16;0
0,1343;5,55111512312578E-17;4,13336941409217E-16;0
0,14425;1,66533453693773E-16;1,15447801520814E-15;0
0,1542;5,55111512312578E-17;3,5999449566315E-16;0
0,16415;5,55111512312578E-17;3,38173324588838E-16;0
0,1741;0;0;0
0,18405;5,55111512312578E-17;3,01609080311099E-16;0
0,194;5,55111512312578E-17;2,86139954800298E-16;0
0,20395;2,77555756156289E-17;1,36090098630198E-16;0
0,2139;0;0;0
0,22385;2,77555756156289E-17;1,23991849969305E-16;0
0,2338;1,11022302462516E-16;4,74860147401692E-16;0
0,24375;0;0;0
0,2537;5,55111512312578E-17;2,18806272097981E-16;0
0,26365;5,55111512312578E-17;2,105486487057E-16;0
0,2736;5,55111512312578E-17;2,0289163461717E-16;0
0,28355;0;0;0
0,2935;0;0;0
0,30345;5,55111512312578E-17;1,82933436253939E-16;0
0,3134;5,55111512312578E-17;1,77125562320542E-16;0
0,32335;0;0;0
0,3333;5,55111512312578E-17;1,66550108704644E-16;0
0,34325;0;0;0
0,3532;5,55111512312578E-17;1,57166339839348E-16;0
0,36315;5,55111512312578E-17;1,52860116291499E-16;0
0,3731;5,55111512312578E-17;1,48783573388523E-16;0
0,38305;1,11022302462516E-16;2,89837625538482E-16;0
0,393;1,11022302462516E-16;2,82499497360091E-16;0
0,40295;5,55111512312578E-17;1,377618841823E-16;0
0,4129;5,55111512312578E-17;1,34442119717263E-16;0
0,42285;5,55111512312578E-17;1,3127858869873E-16;0
0,4328;1,11022302462516E-16;2,56521031567735E-16;0
0,44275;0;0;0
0,4527;5,55111512312578E-17;1,22622379569821E-16;0
0,46265;5,55111512312578E-17;1,19985196652454E-16;0
0,4726;1,11022302462516E-16;2,34918117779339E-16;0
0,48255;0;0;0
0,4925;1,11022302462516E-16;2,25425994847747E-16;0
0,50245;1,11022302462516E-16;2,20961891655917E-16;0
0,5124;0;0;0
0,52235;1,11022302462516E-16;2,12543892911871E-16;0
0,5323;1,11022302462516E-16;2,08570923281074E-16;0
0,54225;0;0;0
0,5522;0;0;0
0,56215;1,11022302462516E-16;1,97495868473745E-16;0
0,5721;0;0;0
0,58205;1,11022302462516E-16;1,90743582961113E-16;0
0,592;0;0;0
