x;absoluteError;relativeError;computation time (milliseconds)
0,00495;6,31092400560362E-15;1,27493414254619E-12;0
0,0099;1,26565424807268E-14;1,27843863441685E-12;0
0,01485;7,19042880792387E-15;4,84203960129553E-13;0
0,0198;5,52335954751015E-15;2,78957552904553E-13;0
0,02475;4,48252546192407E-15;1,8111213987572E-13;0
0,0297;1,22471477403963E-15;4,12361876781019E-14;0
0,03465;2,71310751642773E-15;7,83003612244654E-14;0
0,0396;4,16333634234434E-16;1,05134756119806E-14;0
0,04455;6,59194920871187E-16;1,47967434538987E-14;0
0,0495;6,93889390390723E-18;1,40179674826409E-16;0
0,05445;1,65145674912992E-15;3,03297841897139E-14;0
0,0594;1,22818422099158E-15;2,06765020368953E-14;0
0,06435;5,55111512312578E-16;8,626441527779E-15;0
0,0693;1,47104550762833E-15;2,12272079022847E-14;0
0,07425;1,52655665885959E-16;2,05596856412066E-15;0
0,0792;3,88578058618805E-16;4,9062886189243E-15;0
0,08415;8,04911692853238E-16;9,56520134109612E-15;0
0,0891;1,58206781009085E-15;1,77560921446784E-14;0
0,09405;7,7715611723761E-16;8,26322293713567E-15;0
0,099;4,16333634234434E-16;4,20539024479226E-15;0
0,10395;5,96744875736022E-16;5,74069144527197E-15;0
0,1089;9,99200722162641E-16;9,17539689772857E-15;0
0,11385;8,46545056276682E-16;7,43561753427037E-15;0
0,1188;4,30211422042248E-16;3,62130826634889E-15;0
0,12375;2,77555756156289E-17;2,24287479722254E-16;0
0,1287;6,10622663543836E-16;4,74454284027845E-15;0
0,13365;4,9960036108132E-16;3,73812466203756E-15;0
0,1386;1,66533453693773E-16;1,20154006994065E-15;0
0,14355;1,38777878078145E-16;9,66756378113163E-16;0
0,1485;4,9960036108132E-16;3,36431219583381E-15;0
0,15345;1,11022302462516E-16;7,23507999104045E-16;0
0,1584;2,4980018054066E-16;1,5770213417971E-15;0
0,16335;1,94289029309402E-16;1,18940330155741E-15;0
0,1683;2,22044604925031E-16;1,31933811601326E-15;0
0,17325;6,38378239159465E-16;3,68472288115131E-15;0
0,1782;6,66133814775094E-16;3,73812466203756E-15;0
0,18315;3,33066907387547E-16;1,81854713288314E-15;0
0,1881;6,66133814775094E-16;3,54138125877243E-15;0
0,19305;4,44089209850063E-16;2,30038440740773E-15;0
0,198;1,66533453693773E-16;8,41078048958452E-16;0
