x;absoluteError;relativeError;computation time (milliseconds)
1,00495;0;0;0
1,0099;0;0;0
1,01485;0;0;0
1,0198;0;0;0
1,02475;0;0;0
1,0297;2,22044604925031E-16;2,15640094129388E-16;0
1,03465;0;0;0
1,0396;0;0;0
1,04455;2,22044604925031E-16;2,12574414748008E-16;0
1,0495;0;0;0
1,05445;0;0;0
1,0594;0;0;0
1,06435;0;0;0
1,0693;2,22044604925031E-16;2,0765417088285E-16;0
1,07425;0;0;0
1,0792;0;0;0
1,08415;2,22044604925031E-16;2,04809855578132E-16;0
1,0891;0;0;0
1,09405;0;0;0
1,099;0;0;0
1,10395;0;0;0
1,1089;2,22044604925031E-16;2,00238619284905E-16;0
1,11385;2,22044604925031E-16;1,99348749764359E-16;0
1,1188;0;0;0
1,12375;0;0;0
1,1287;2,22044604925031E-16;1,96725972291159E-16;0
1,13365;0;0;0
1,1386;0;0;0
1,14355;0;0;0
1,1485;0;0;0
1,15345;0;0;0
1,1584;0;0;0
1,16335;0;0;0
1,1683;2,22044604925031E-16;1,90057866066106E-16;0
1,17325;0;0;0
1,1782;0;0;0
1,18315;0;0;0
1,1881;0;0;0
1,19305;2,22044604925031E-16;1,86115087318244E-16;0
1,198;2,22044604925031E-16;1,85346080905702E-16;0
1,20295;0;0;0
1,2079;2,22044604925031E-16;1,83826976508843E-16;0
1,21285;0;0;0
1,2178;0;0;0
1,22275;0;0;0
1,2277;0;0;0
1,23265;2,22044604925031E-16;1,80135971220567E-16;0
1,2376;0;0;0
1,24255;2,22044604925031E-16;1,78700740352526E-16;0
1,2475;2,22044604925031E-16;1,77991667274574E-16;0
1,25245;0;0;0
1,2574;0;0;0
1,26235;2,22044604925031E-16;1,75897813542228E-16;0
1,2673;2,22044604925031E-16;1,75210766925772E-16;0
1,27225;2,22044604925031E-16;1,7452906655534E-16;0
1,2772;0;0;0
1,28215;2,22044604925031E-16;1,73181456869345E-16;0
1,2871;0;0;0
1,29205;0;0;0
1,297;2,22044604925031E-16;1,71198615979207E-16;0
1,30195;0;0;0
1,3069;0;0;0
1,31185;0;0;0
1,3168;0;0;0
1,32175;0;0;0
1,3267;2,22044604925031E-16;1,6736610004148E-16;0
1,33165;2,22044604925031E-16;1,66743967953315E-16;0
1,3366;0;0;0
1,34155;0;0;0
1,3465;2,22044604925031E-16;1,64905016654312E-16;0
1,35145;0;0;0
1,3564;0;0;0
1,36135;2,22044604925031E-16;1,63106184981843E-16;0
1,3663;0;0;0
1,37125;2,22044604925031E-16;1,61928608878783E-16;0
1,3762;0;0;0
1,38115;0;0;0
1,3861;0;0;0
1,39105;2,22044604925031E-16;1,59623741005019E-16;0
1,396;2,22044604925031E-16;1,59057739917644E-16;0
1,40095;2,22044604925031E-16;1,58495738552433E-16;0
1,4059;2,22044604925031E-16;1,57937694661805E-16;0
1,41085;2,22044604925031E-16;1,57383566591084E-16;0
1,4158;0;0;0
1,42075;0;0;0
1,4257;2,22044604925031E-16;1,55744269429074E-16;0
1,43065;2,22044604925031E-16;1,55205399591117E-16;0
1,4356;2,22044604925031E-16;1,54670245837999E-16;0
1,44055;2,22044604925031E-16;1,54138769862227E-16;0
1,4455;2,22044604925031E-16;1,53610933881032E-16;0
1,45045;2,22044604925031E-16;1,53086700627413E-16;0
1,4554;0;0;0
1,46035;2,22044604925031E-16;1,52048895761312E-16;0
1,4653;2,22044604925031E-16;1,51535252115629E-16;0
1,47025;0;0;0
1,4752;2,22044604925031E-16;1,50518305941588E-16;0
1,48015;2,22044604925031E-16;1,5001493424655E-16;0
1,4851;2,22044604925031E-16;1,49514918136847E-16;0
1,49005;2,22044604925031E-16;1,49018224170351E-16;0
1,495;2,22044604925031E-16;1,48524819347847E-16;0
1,49995;2,22044604925031E-16;1,48034671105724E-16;0
1,5049;0;0;0
1,50985;0;0;0
1,5148;0;0;0
1,51975;2,22044604925031E-16;1,46106007517704E-16;0
1,5247;2,22044604925031E-16;1,45631668475786E-16;0
1,52965;0;0;0
1,5346;0;0;0
1,53955;0;0;0
