x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;0;0;0
-0,9801;0;0;0
-0,97015;1,11022302462516E-16;1,14438285278066E-16;0
-0,9602;0;0;0
-0,95025;1,11022302462516E-16;1,1683483553014E-16;0
-0,9403;2,22044604925031E-16;2,36142300249954E-16;0
-0,93035;0;0;0
-0,9204;0;0;0
-0,91045;1,11022302462516E-16;1,21942229076298E-16;0
-0,9005;1,11022302462516E-16;1,23289619614121E-16;0
-0,89055;0;0;0
-0,8806;0;0;0
-0,87065;0;0;0
-0,8607;0;0;0
-0,85075;1,11022302462516E-16;1,30499327020295E-16;0
-0,8408;0;0;0
-0,83085;1,11022302462516E-16;1,33624965351767E-16;0
-0,8209;0;0;0
-0,81095;1,11022302462516E-16;1,36904004516327E-16;0
-0,801;0;0;0
-0,79105;1,11022302462516E-16;1,40348021569453E-16;0
-0,7811;1,11022302462516E-16;1,42135837232769E-16;0
-0,77115;1,11022302462516E-16;1,43969788578766E-16;0
-0,7612;0;0;0
-0,75125;1,11022302462516E-16;1,47783430898523E-16;0
-0,7413;1,11022302462516E-16;1,49767034213565E-16;0
-0,73135;0;0;0
-0,7214;1,11022302462516E-16;1,53898395429049E-16;0
-0,71145;1,11022302462516E-16;1,56050744904794E-16;0
-0,7015;1,11022302462516E-16;1,58264151764099E-16;0
-0,69155;1,11022302462516E-16;1,605412514822E-16;0
-0,6816;0;0;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;0;0;0
-0,65175;1,11022302462516E-16;1,70344921308041E-16;0
-0,6418;0;0;0
-0,63185;0;0;0
-0,6219;0;0;0
-0,61195;0;0;0
-0,602;0;0;0
-0,59205;1,11022302462516E-16;1,87521835085746E-16;0
-0,5821;1,11022302462516E-16;1,90727198870496E-16;0
-0,57215;1,11022302462516E-16;1,94044048697921E-16;0
-0,5622;0;0;0
-0,55225;0;0;0
-0,5423;0;0;0
-0,53235;1,11022302462516E-16;2,08551333638613E-16;0
-0,5224;0;0;0
-0,51245;0;0;0
-0,5025;0;0;0
-0,49255;5,55111512312578E-17;1,12701555641575E-16;0
-0,4826;0;0;0
-0,47265;5,55111512312578E-17;1,17446633304259E-16;0
-0,4627;5,55111512312578E-17;1,19972230886661E-16;0
-0,45275;5,55111512312578E-17;1,22608837617356E-16;0
-0,4428;0;0;0
-0,43285;5,55111512312578E-17;1,28245699968252E-16;0
-0,4229;0;0;0
-0,41295;0;0;0
-0,403;0;0;0
-0,39305;0;0;0
-0,3831;0;0;0
-0,37315;5,55111512312578E-17;1,48763637227007E-16;0
-0,3632;0;0;0
-0,35325;5,55111512312578E-17;1,57144094072917E-16;0
-0,3433;0;0;0
-0,33335;5,55111512312578E-17;1,66525127437402E-16;0
-0,3234;5,55111512312578E-17;1,71648581420092E-16;0
-0,31345;1,11022302462516E-16;3,5419461624666E-16;0
-0,3035;0;0;0
-0,29355;5,55111512312578E-17;1,89102882749984E-16;0
-0,2836;5,55111512312578E-17;1,95737486711064E-16;0
-0,27365;5,55111512312578E-17;2,02854563242309E-16;0
-0,2637;5,55111512312578E-17;2,10508726701774E-16;0
-0,25375;0;0;0
-0,2438;2,77555756156289E-17;1,13845675207666E-16;0
-0,23385;0;0;0
-0,2239;5,55111512312578E-17;2,47928321711737E-16;0
-0,21395;2,77555756156289E-17;1,29729262050147E-16;0
-0,204;2,77555756156289E-17;1,36056743213867E-16;0
-0,19405;2,77555756156289E-17;1,43033113195717E-16;0
-0,1841;0;0;0
-0,17415;0;0;0
-0,1642;0;0;0
-0,15425;0;0;0
-0,1443;2,77555756156289E-17;1,9234633136264E-16;0
-0,13435;2,77555756156289E-17;2,06591556498913E-16;0
-0,1244;1,38777878078145E-17;1,11557779805582E-16;0
-0,11445;2,77555756156289E-17;2,42512674666919E-16;0
-0,1045;0;0;0
-0,0945499999999999;1,38777878078145E-17;1,46777237523157E-16;0
-0,0846;0;0;0
-0,07465;2,77555756156289E-17;3,71809452319209E-16;0
-0,0647;5,55111512312578E-17;8,57977607901976E-16;0
-0,05475;1,38777878078145E-17;2,53475576398438E-16;0
-0,0448;1,38777878078145E-17;3,09772049281573E-16;0
