x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;0;0;0
-0,9801;0;0;0
-0,97015;0;0;0
-0,9602;0;0;0
-0,95025;0;0;0
-0,9403;0;0;0
-0,93035;1,11022302462516E-16;1,19333909241163E-16;0
-0,9204;1,11022302462516E-16;1,20623970515554E-16;0
-0,91045;1,11022302462516E-16;1,21942229076298E-16;0
-0,9005;1,11022302462516E-16;1,23289619614121E-16;0
-0,89055;1,11022302462516E-16;1,2466711859246E-16;0
-0,8806;0;0;0
-0,87065;0;0;0
-0,8607;0;0;0
-0,85075;1,11022302462516E-16;1,30499327020295E-16;0
-0,8408;0;0;0
-0,83085;1,11022302462516E-16;1,33624965351767E-16;0
-0,8209;1,11022302462516E-16;1,35244612574632E-16;0
-0,81095;0;0;0
-0,801;1,11022302462516E-16;1,38604622300269E-16;0
-0,79105;0;0;0
-0,7811;1,11022302462516E-16;1,42135837232769E-16;0
-0,77115;1,11022302462516E-16;1,43969788578766E-16;0
-0,7612;1,11022302462516E-16;1,45851684790483E-16;0
-0,75125;0;0;0
-0,7413;0;0;0
-0,73135;1,11022302462516E-16;1,51804611283948E-16;0
-0,7214;1,11022302462516E-16;1,53898395429049E-16;0
-0,71145;0;0;0
-0,7015;1,11022302462516E-16;1,58264151764099E-16;0
-0,69155;1,11022302462516E-16;1,605412514822E-16;0
-0,6816;0;0;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;2,22044604925031E-16;3,35566880648377E-16;0
-0,65175;1,11022302462516E-16;1,70344921308041E-16;0
-0,6418;0;0;0
-0,63185;1,11022302462516E-16;1,75709903398774E-16;0
-0,6219;1,11022302462516E-16;1,78521148838263E-16;0
-0,61195;1,11022302462516E-16;1,8142381315878E-16;0
-0,602;0;0;0
-0,59205;1,11022302462516E-16;1,87521835085746E-16;0
-0,5821;2,22044604925031E-16;3,81454397740992E-16;0
-0,57215;1,11022302462516E-16;1,94044048697921E-16;0
-0,5622;1,11022302462516E-16;1,97478303917673E-16;0
-0,55225;1,11022302462516E-16;2,01036310479884E-16;0
-0,5423;0;0;0
-0,53235;1,11022302462516E-16;2,08551333638613E-16;0
-0,5224;0;0;0
-0,51245;0;0;0
-0,5025;0;0;0
-0,49255;5,55111512312578E-17;1,12701555641575E-16;0
-0,4826;1,11022302462516E-16;2,30050357361201E-16;0
-0,47265;1,66533453693773E-16;3,52339899912776E-16;0
-0,4627;1,11022302462516E-16;2,39944461773321E-16;0
-0,45275;1,66533453693773E-16;3,67826512852067E-16;0
-0,4428;5,55111512312578E-17;1,25363936836626E-16;0
-0,43285;1,66533453693773E-16;3,84737099904756E-16;0
-0,4229;1,66533453693773E-16;3,93789202397194E-16;0
-0,41295;5,55111512312578E-17;1,3442584146085E-16;0
-0,403;5,55111512312578E-17;1,37744792137116E-16;0
-0,39305;5,55111512312578E-17;1,41231780260165E-16;0
-0,3831;5,55111512312578E-17;1,44899898802552E-16;0
-0,37315;5,55111512312578E-17;1,48763637227007E-16;0
-0,3632;5,55111512312578E-17;1,52839072773287E-16;0
-0,35325;5,55111512312578E-17;1,57144094072917E-16;0
-0,3433;5,55111512312578E-17;1,6169866365062E-16;0
-0,33335;5,55111512312578E-17;1,66525127437402E-16;0
-0,3234;0;0;0
-0,31345;0;0;0
-0,3035;5,55111512312578E-17;1,82903298949779E-16;0
-0,29355;1,11022302462516E-16;3,78205765499968E-16;0
-0,2836;5,55111512312578E-17;1,95737486711064E-16;0
-0,27365;0;0;0
-0,2637;1,11022302462516E-16;4,21017453403548E-16;0
-0,25375;5,55111512312578E-17;2,18763157561607E-16;0
-0,2438;1,11022302462516E-16;4,55382700830663E-16;0
-0,23385;5,55111512312578E-17;2,37379308237151E-16;0
-0,2239;0;0;0
-0,21395;2,77555756156289E-17;1,29729262050147E-16;0
-0,204;2,77555756156289E-17;1,36056743213867E-16;0
-0,19405;5,55111512312578E-17;2,86066226391434E-16;0
-0,1841;1,11022302462516E-16;6,03054331681237E-16;0
-0,17415;5,55111512312578E-17;3,18754816142738E-16;0
-0,1642;0;0;0
-0,15425;8,32667268468867E-17;5,39816705652426E-16;0
