x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;3,33066907387547E-16;3,36414228965756E-16;0
-0,9801;1,11022302462516E-16;1,13276504910229E-16;0
-0,97015;2,22044604925031E-16;2,28876570556132E-16;0
-0,9602;3,33066907387547E-16;3,46872430105756E-16;0
-0,95025;4,44089209850063E-16;4,67339342120561E-16;0
-0,9403;3,33066907387547E-16;3,5421345037493E-16;0
-0,93035;3,33066907387547E-16;3,58001727723488E-16;0
-0,9204;2,22044604925031E-16;2,41247941031107E-16;0
-0,91045;2,22044604925031E-16;2,43884458152596E-16;0
-0,9005;4,44089209850063E-16;4,93158478456483E-16;0
-0,89055;1,11022302462516E-16;1,2466711859246E-16;0
-0,8806;1,11022302462516E-16;1,26075746607445E-16;0
-0,87065;3,33066907387547E-16;3,8254971272905E-16;0
-0,8607;4,44089209850063E-16;5,1596283240393E-16;0
-0,85075;1,11022302462516E-16;1,30499327020295E-16;0
-0,8408;3,33066907387547E-16;3,96130955503743E-16;0
-0,83085;1,11022302462516E-16;1,33624965351767E-16;0
-0,8209;1,11022302462516E-16;1,35244612574632E-16;0
-0,81095;4,44089209850063E-16;5,47616018065309E-16;0
-0,801;0;0;0
-0,79105;4,44089209850063E-16;5,61392086277811E-16;0
-0,7811;2,22044604925031E-16;2,84271674465537E-16;0
-0,77115;1,11022302462516E-16;1,43969788578766E-16;0
-0,7612;2,22044604925031E-16;2,91703369580966E-16;0
-0,75125;3,33066907387547E-16;4,4335029269557E-16;0
-0,7413;0;0;0
-0,73135;0;0;0
-0,7214;0;0;0
-0,71145;1,11022302462516E-16;1,56050744904794E-16;0
-0,7015;2,22044604925031E-16;3,16528303528199E-16;0
-0,69155;4,44089209850063E-16;6,42165005928801E-16;0
-0,6816;0;0;0
-0,67165;2,22044604925031E-16;3,30595704496436E-16;0
-0,6617;1,11022302462516E-16;1,67783440324189E-16;0
-0,65175;3,33066907387547E-16;5,11034763924123E-16;0
-0,6418;1,11022302462516E-16;1,72985824964967E-16;0
-0,63185;1,11022302462516E-16;1,75709903398774E-16;0
-0,6219;2,22044604925031E-16;3,57042297676526E-16;0
-0,61195;1,11022302462516E-16;1,8142381315878E-16;0
-0,602;0;0;0
-0,59205;4,44089209850063E-16;7,50087340342982E-16;0
-0,5821;3,33066907387547E-16;5,72181596611488E-16;0
-0,57215;4,44089209850063E-16;7,76176194791685E-16;0
-0,5622;1,11022302462516E-16;1,97478303917673E-16;0
-0,55225;3,33066907387547E-16;6,03108931439651E-16;0
-0,5423;1,11022302462516E-16;2,04724880071023E-16;0
-0,53235;1,11022302462516E-16;2,08551333638613E-16;0
-0,5224;1,11022302462516E-16;2,12523549889961E-16;0
-0,51245;1,11022302462516E-16;2,16650019440952E-16;0
-0,5025;0;0;0
-0,49255;5,55111512312578E-17;1,12701555641575E-16;0
-0,4826;1,11022302462516E-16;2,30050357361201E-16;0
-0,47265;5,55111512312578E-17;1,17446633304259E-16;0
-0,4627;2,77555756156289E-16;5,99861154433303E-16;0
-0,45275;1,11022302462516E-16;2,45217675234712E-16;0
-0,4428;5,55111512312578E-17;1,25363936836626E-16;0
-0,43285;1,66533453693773E-16;3,84737099904756E-16;0
-0,4229;5,55111512312578E-17;1,31263067465731E-16;0
-0,41295;1,66533453693773E-16;4,03277524382549E-16;0
-0,403;5,55111512312578E-17;1,37744792137116E-16;0
-0,39305;0;0;0
-0,3831;5,55111512312578E-17;1,44899898802552E-16;0
-0,37315;5,55111512312578E-17;1,48763637227007E-16;0
-0,3632;1,11022302462516E-16;3,05678145546574E-16;0
-0,35325;5,55111512312578E-17;1,57144094072917E-16;0
-0,3433;1,11022302462516E-16;3,2339732730124E-16;0
-0,33335;1,11022302462516E-16;3,33050254874803E-16;0
-0,3234;1,11022302462516E-16;3,43297162840185E-16;0
-0,31345;0;0;0
-0,3035;5,55111512312578E-17;1,82903298949779E-16;0
-0,29355;0;0;0
-0,2836;0;0;0
-0,27365;1,66533453693773E-16;6,08563689726927E-16;0
-0,2637;5,55111512312578E-17;2,10508726701774E-16;0
-0,25375;1,66533453693773E-16;6,56289472684822E-16;0
-0,2438;1,11022302462516E-16;4,55382700830663E-16;0
-0,23385;2,77555756156289E-17;1,18689654118576E-16;0
-0,2239;8,32667268468867E-17;3,71892482567605E-16;0
-0,21395;1,66533453693773E-16;7,78375572300881E-16;0
-0,204;1,11022302462516E-16;5,44226972855469E-16;0
-0,19405;1,11022302462516E-16;5,72132452782869E-16;0
-0,1841;5,55111512312578E-17;3,01527165840618E-16;0
-0,17415;8,32667268468867E-17;4,78132224214107E-16;0
-0,1642;0;0;0
-0,15425;2,77555756156289E-17;1,79938901884142E-16;0
-0,1443;2,77555756156289E-17;1,9234633136264E-16;0
-0,13435;8,32667268468867E-17;6,19774669496738E-16;0
-0,1244;9,71445146547012E-17;7,80904458639077E-16;0
-0,11445;2,77555756156289E-17;2,42512674666919E-16;0
-0,1045;1,66533453693773E-16;1,59362156644759E-15;0
-0,0945499999999999;4,16333634234434E-17;4,4033171256947E-16;0
-0,0846;2,77555756156289E-17;3,28080090019254E-16;0
-0,07465;1,38777878078145E-16;1,85904726159604E-15;0
-0,0647;0;0;0
-0,05475;0;0;0
-0,0448;1,2490009027033E-16;2,78794844353416E-15;0
-0,0348499999999999;1,38777878078145E-16;3,98214858186929E-15;0
-0,0248999999999999;1,38777878078145E-16;5,57340875815843E-15;0
-0,0149499999999999;6,41847686111419E-17;4,29329555927373E-15;0
-0,00499999999999989;1,11889664200504E-16;2,23779328401013E-14;0
0,00495000000000001;4,25007251614318E-17;8,58600508311751E-15;0
0,0149000000000001;8,50014503228635E-17;5,70479532368207E-15;0
0,02485;4,16333634234434E-17;1,67538685808625E-15;0
0,0348000000000002;2,77555756156289E-17;7,97574011943356E-16;0
0,0447500000000001;1,2490009027033E-16;2,79106346972804E-15;0
0,0547;6,93889390390723E-18;1,26853636268871E-16;0
0,0646500000000001;8,32667268468867E-17;1,28796174550482E-15;0
0,0746;5,55111512312578E-17;7,44117308729998E-16;0
0,0845500000000001;1,38777878078145E-17;1,64137052724003E-16;0
0,0945;1,38777878078145E-17;1,4685489743719E-16;0
0,10445;1,38777878078145E-17;1,32865369150928E-16;0
0,1144;1,2490009027033E-16;1,09178400585953E-15;0
0,12435;0;0;0
0,1343;1,66533453693773E-16;1,24001082422765E-15;0
0,14425;0;0;0
0,1542;8,32667268468867E-17;5,39991743494726E-16;0
0,16415;0;0;0
0,1741;2,77555756156289E-17;1,59423179871504E-16;0
0,18405;0;0;0
0,194;1,38777878078145E-16;7,15349887000745E-16;0
0,20395;8,32667268468867E-17;4,08270295890594E-16;0
0,2139;1,11022302462516E-16;5,19038347183336E-16;0
0,22385;1,11022302462516E-16;4,9596739987722E-16;0
0,2338;2,77555756156289E-17;1,18715036850423E-16;0
0,24375;1,94289029309402E-16;7,97083197166779E-16;0
0,2537;5,55111512312578E-17;2,18806272097981E-16;0
0,26365;0;0;0
0,2736;5,55111512312578E-17;2,0289163461717E-16;0
0,28355;5,55111512312578E-17;1,95772002226266E-16;0
0,2935;1,11022302462516E-16;3,78270195783699E-16;0
0,30345;5,55111512312578E-17;1,82933436253939E-16;0
0,3134;1,11022302462516E-16;3,54251124641084E-16;0
0,32335;5,55111512312578E-17;1,71675123647001E-16;0
0,3333;1,11022302462516E-16;3,33100217409288E-16;0
0,34325;1,66533453693773E-16;4,85166653150105E-16;0
0,3532;1,66533453693773E-16;4,71499019518045E-16;0
0,36315;0;0;0
0,3731;0;0;0
0,38305;1,11022302462516E-16;2,89837625538482E-16;0
0,393;1,11022302462516E-16;2,82499497360091E-16;0
0,40295;1,11022302462516E-16;2,755237683646E-16;0
0,4129;1,66533453693773E-16;4,03326359151788E-16;0
0,42285;1,11022302462516E-16;2,62557177397459E-16;0
0,4328;1,66533453693773E-16;3,84781547351602E-16;0
0,44275;2,22044604925031E-16;5,01512377018704E-16;0
0,4527;1,11022302462516E-16;2,45244759139641E-16;0
0,46265;0;0;0
0,4726;0;0;0
0,48255;5,55111512312578E-17;1,15037097153161E-16;0
0,4925;0;0;0
0,50245;0;0;0
0,5124;0;0;0
0,52235;1,11022302462516E-16;2,12543892911871E-16;0
0,5323;2,22044604925031E-16;4,17141846562148E-16;0
