x;absoluteError;relativeError;computation time (milliseconds)
0,00495;1,04603825601401E-15;2,11320859800811E-13;0
0,0099;1,87350135405495E-15;1,89242561015652E-13;0
0,01485;3,37750660772684E-15;2,27441522405848E-13;0
0,0198;1,8249290967276E-15;9,21681361983637E-14;0
0,02475;1,03042574473022E-15;4,16333634234434E-14;0
0,0297;1,86656246015104E-15;6,28472208805066E-14;0
0,03465;7,63278329429795E-16;2,20282346155785E-14;0
0,0396;9,36750677027476E-16;2,36553201269565E-14;0
0,04455;1,94289029309402E-16;4,36114543904383E-15;0
0,0495;2,0122792321331E-16;4,06521056996585E-15;0
0,05445;2,08166817117217E-16;3,82308204072024E-15;0
0,0594;8,74300631892311E-16;1,47188658567729E-14;0
0,06435;2,63677968348475E-16;4,09755972569502E-15;0
0,0693;3,19189119579733E-16;4,60590360143914E-15;0
0,07425;1,80411241501588E-16;2,42978103032442E-15;0
0,0792;2,77555756156289E-16;3,50449187066022E-15;0
0,08415;1,66533453693773E-16;1,97900717401989E-15;0
0,0891;5,55111512312578E-17;6,23020777006261E-16;0
0,09405;2,35922392732846E-16;2,50847839163047E-15;0
0,099;4,30211422042248E-16;4,34556991961867E-15;0
0,10395;4,44089209850063E-16;4,27214247090007E-15;0
0,1089;1,2490009027033E-16;1,14692461221607E-15;0
0,11385;1,66533453693773E-16;1,46274443297122E-15;0
0,1188;2,22044604925031E-16;1,86906233101878E-15;0
0,12375;6,93889390390723E-17;5,60718699305635E-16;0
0,1287;3,33066907387547E-16;2,5879324583337E-15;0
0,13365;2,77555756156289E-17;2,0767359233542E-16;0
0,1386;1,94289029309402E-16;1,40179674826409E-15;0
0,14355;8,32667268468867E-17;5,80053826867898E-16;0
0,1485;2,22044604925031E-16;1,49524986481503E-15;0
0,15345;0;0;0
0,1584;2,77555756156289E-17;1,75224593533011E-16;0
0,16335;1,94289029309402E-16;1,18940330155741E-15;0
0,1683;5,55111512312578E-17;3,29834529003315E-16;0
0,17325;2,4980018054066E-16;1,44184808392877E-15;0
0,1782;2,77555756156289E-16;1,55755194251565E-15;0
0,18315;2,77555756156289E-17;1,51545594406928E-16;0
0,1881;2,4980018054066E-16;1,32801797203966E-15;0
0,19305;2,77555756156289E-16;1,43774025462983E-15;0
0,198;2,77555756156289E-17;1,40179674826409E-16;0
0,20295;1,38777878078145E-16;6,8380329183614E-16;0
0,2079;2,22044604925031E-16;1,06803561772502E-15;0
0,21285;1,94289029309402E-16;9,12797882590568E-16;0
0,2178;1,11022302462516E-16;5,09744272096032E-16;0
0,22275;5,55111512312578E-17;2,49208310802504E-16;0
0,2277;1,11022302462516E-16;4,87581477657074E-16;0
0,23265;1,94289029309402E-16;8,35112956412647E-16;0
0,2376;1,38777878078145E-16;5,84081978443369E-16;0
0,24255;5,55111512312578E-17;2,2886477522679E-16;0
0,2475;8,32667268468867E-17;3,36431219583381E-16;0
0,25245;5,55111512312578E-17;2,1988968600221E-16;0
0,2574;1,11022302462516E-16;4,3132207638895E-16;0
0,26235;1,66533453693773E-16;6,34775886006379E-16;0
0,2673;5,55111512312578E-17;2,0767359233542E-16;0
0,27225;1,66533453693773E-16;6,11693126515238E-16;0
0,2772;1,66533453693773E-16;6,00770034970323E-16;0
0,28215;0;0;0
0,2871;1,66533453693773E-16;5,80053826867898E-16;0
0,29205;1,66533453693773E-16;5,70222406073527E-16;0
0,297;5,55111512312578E-17;1,86906233101878E-16;0
0,30195;1,11022302462516E-16;3,67684392987301E-16;0
0,3069;1,11022302462516E-16;3,61753999552022E-16;0
0,31185;5,55111512312578E-17;1,78005936287503E-16;0
0,3168;5,55111512312578E-17;1,75224593533011E-16;0
0,32175;1,11022302462516E-16;3,4505766111116E-16;0
0,3267;0;0;0
0,33165;1,11022302462516E-16;3,34757432421274E-16;0
0,3366;1,11022302462516E-16;3,29834529003315E-16;0
0,34155;1,66533453693773E-16;4,87581477657074E-16;0
0,3465;1,11022302462516E-16;3,20410685317506E-16;0
0,35145;1,11022302462516E-16;3,15897858763738E-16;0
0,3564;0;0;0
0,36135;1,11022302462516E-16;3,07243122907197E-16;0
0,3663;1,66533453693773E-16;4,54636783220785E-16;0
0,37125;5,55111512312578E-17;1,49524986481503E-16;0
0,3762;1,11022302462516E-16;2,95115104897702E-16;0
0,38115;1,11022302462516E-16;2,91282441197732E-16;0
0,3861;5,55111512312578E-17;1,43774025462983E-16;0
0,39105;1,11022302462516E-16;2,83908202180068E-16;0
0,396;0;0;0
0,40095;1,11022302462516E-16;2,76898123113894E-16;0
0,4059;0;0;0
0,41085;5,55111512312578E-17;1,35112939591719E-16;0
0,4158;1,11022302462516E-16;2,67008904431255E-16;0
0,42075;0;0;0
0,4257;0;0;0
0,43065;1,11022302462516E-16;2,57801700830177E-16;0
0,4356;5,55111512312578E-17;1,27436068024008E-16;0
0,44055;5,55111512312578E-17;1,26004202091154E-16;0
0,4455;5,55111512312578E-17;1,24604155401252E-16;0
0,45045;5,55111512312578E-17;1,23234878968271E-16;0
0,4554;5,55111512312578E-17;1,21895369414268E-16;0
0,46035;5,55111512312578E-17;1,20584666517341E-16;0
0,4653;5,55111512312578E-17;1,19301850916092E-16;0
0,47025;0;0;0
0,4752;1,11022302462516E-16;2,33632791377348E-16;0
0,48015;1,11022302462516E-16;2,31224205899231E-16;0
0,4851;1,11022302462516E-16;2,2886477522679E-16;0
0,49005;5,55111512312578E-17;1,13276504910229E-16;0
0,495;5,55111512312578E-17;1,12143739861127E-16;0
0,49995;1,11022302462516E-16;2,22066811606192E-16;0
0,5049;0;0;0
0,50985;1,11022302462516E-16;2,177548346818E-16;0
0,5148;0;0;0
0,51975;0;0;0
0,5247;0;0;0
0,52965;0;0;0
0,5346;1,11022302462516E-16;2,0767359233542E-16;0
0,53955;0;0;0
0,5445;1,11022302462516E-16;2,03897708838413E-16;0
0,54945;1,11022302462516E-16;2,02060792542571E-16;0
0,5544;1,11022302462516E-16;2,00256678323441E-16;0
0,55935;1,11022302462516E-16;1,98484495329428E-16;0
0,5643;1,11022302462516E-16;1,96743403265135E-16;0
0,56925;1,11022302462516E-16;1,95032591062829E-16;0
0,5742;0;0;0
0,57915;0;0;0
0,5841;1,11022302462516E-16;1,90074135357842E-16;0
0,58905;0;0;0
0,594;0;0;0
0,59895;0;0;0
0,6039;1,11022302462516E-16;1,83842196493651E-16;0
0,60885;0;0;0
0,6138;0;0;0
0,61875;0;0;0
0,6237;0;0;0
0,62865;0;0;0
0,6336;1,11022302462516E-16;1,75224593533011E-16;0
0,63855;1,11022302462516E-16;1,73866263350584E-16;0
0,6435;0;0;0
0,64845;1,11022302462516E-16;1,71211816581873E-16;0
0,6534;1,11022302462516E-16;1,69914757365344E-16;0
0,65835;0;0;0
0,6633;0;0;0
0,66825;1,11022302462516E-16;1,66138873868336E-16;0
0,6732;0;0;0
0,67815;0;0;0
0,6831;0;0;0
0,68805;0;0;0
0,693;1,11022302462516E-16;1,60205342658753E-16;0
0,69795;0;0;0
0,7029;0;0;0
0,70785;1,11022302462516E-16;1,56844391414164E-16;0
0,7128;0;0;0
0,71775;0;0;0
0,7227;0;0;0
0,72765;0;0;0
0,7326;0;0;0
0,73755;0;0;0
0,7425;0;0;0
0,74745;0;0;0
0,7524;0;0;0
0,75735;0;0;0
0,7623;1,11022302462516E-16;1,45641220598866E-16;0
0,76725;0;0;0
0,7722;0;0;0
0,77715;1,11022302462516E-16;1,42858267339015E-16;0
0,7821;0;0;0
0,78705;0;0;0
0,792;0;0;0
0,79695;0;0;0
0,8019;1,11022302462516E-16;1,38449061556947E-16;0
0,80685;0;0;0
0,8118;0;0;0
0,81675;0;0;0
0,8217;1,11022302462516E-16;1,35112939591719E-16;0
0,82665;1,11022302462516E-16;1,34303880073206E-16;0
0,8316;0;0;0
0,83655;0;0;0
0,8415;1,11022302462516E-16;1,31933811601326E-16;0
0,84645;1,11022302462516E-16;1,31162268843423E-16;0
0,8514;0;0;0
0,85635;0;0;0
0,8613;0;0;0
0,86625;1,11022302462516E-16;1,28164274127002E-16;0
0,8712;0;0;0
0,87615;0;0;0
0,8811;0;0;0
0,88605;0;0;0
0,891;0;0;0
0,89595;1,11022302462516E-16;1,23915734653179E-16;0
0,9009;0;0;0
0,90585;1,11022302462516E-16;1,225614643291E-16;0
0,9108;0;0;0
0,91575;0;0;0
0,9207;0;0;0
0,92565;1,11022302462516E-16;1,19939828728478E-16;0
0,9306;1,11022302462516E-16;1,19301850916092E-16;0
0,93555;0;0;0
0,9405;1,11022302462516E-16;1,18046041959081E-16;0
0,94545;0;0;0
0,9504;0;0;0
0,95535;0;0;0
0,9603;0;0;0
0,96525;0;0;0
0,9702;0;0;0
0,97515;0;0;0
0,9801;0;0;0
0,98505;0;0;0
