x;Value;Abs;Rel
-0,49;-0,673344536651968;1,66117973821045E-08;2,46705751187643E-08
-0,48;-0,653926455294442;1,21122217811021E-08;1,85222993483298E-08
-0,47;-0,634878263636044;8,7999257880611E-09;1,38608079219605E-08
-0,46;-0,616186133054729;6,36908781270762E-09;1,03363049007614E-08
-0,45;-0,59783699616461;4,59101046068611E-09;7,67936821388342E-09
-0,44;-0,579818491957936;3,29500637885616E-09;5,68282385924708E-09
-0,43;-0,562118915799582;2,35395936076799E-09;4,18765368812051E-09
-0,42;-0,544727173768244;1,67342784074265E-09;3,07204765281962E-09
-0,41;-0,527632740898939;1,18343279620348E-09;2,24291008085075E-09
-0,4;-0,510825622933724;8,3226703306849E-10;1,62925858521489E-09
-0,39;-0,494296321232933;5,81846848479728E-10;1,17712154187899E-09
-0,38;-0,478035800538782;4,04218214455909E-10;8,45581468288622E-10
-0,37;-0,462035459317622;2,7893676257662E-10;6,03712889959102E-10
-0,36;-0,446287102437308;1,9111179305753E-10;4,28226117071213E-10
-0,35;-0,430782915962511;1,29943222848539E-10;3,01644327094555E-10
-0,34;-0,41551544387403;8,76359540491478E-11;2,10909017517127E-10
-0,33;-0,400477566538534;5,8590909901568E-11;1,46302601664851E-10
-0,32;-0,385662480773175;3,88094556491581E-11;1,00630622837481E-10
-0,31;-0,371063681365381;2,54515297726243E-11;6,85907326667653E-11
-0,3;-0,356674943922219;1,65137348240307E-11;4,62991166176993E-11
-0,29;-0,342490308936184;1,05921382775875E-11;3,09268262514067E-11
-0,28;-0,328504066965326;6,71035449428814E-12;2,04270058393504E-11
-0,27;-0,314710744835505;4,19497769854615E-12;1,33296297229473E-11
-0,26;-0,301105092781337;2,58493226823475E-12;8,58481749456741E-12
-0,25;-0,287682072450213;1,56819002228303E-12;5,45112181971604E-12
-0,24;-0,274436845700825;9,35529431700388E-13;3,40890607931363E-12
-0,23;-0,26136476413386;5,4767301804759E-13;2,09543554909317E-12
-0,22;-0,248461359298185;3,1444291614946E-13;1,2655606370232E-12
-0,21;-0,235722333520894;1,7633117188609E-13;7,48046098357198E-13
-0,2;-0,223143551314113;9,65338919911574E-14;4,32608925611421E-13
-0,19;-0,210721031315601;5,14310816157604E-14;2,44071895883608E-13
-0,18;-0,198450938723812;2,65620858641569E-14;1,33847116244284E-13
-0,17;-0,18632957819148;1,33226762955019E-14;7,15005981595149E-14
-0,16;-0,174353387144771;6,38378239159465E-15;3,66140428708377E-14
-0,15;-0,162518929497772;2,88657986402541E-15;1,77614993708467E-14
-0,14;-0,150822889734582;1,33226762955019E-15;8,83332517958446E-15
-0,13;-0,139262067333507;5,27355936696949E-16;3,78678808087795E-15
-0,12;-0,127833371509885;2,22044604925031E-16;1,73698465668537E-15
-0,11;-0,116533816255951;8,32667268468867E-17;7,14528447811253E-16
-0,1;-0,105360515657826;5,55111512312578E-17;5,26868636553929E-16
-0,09;-0,0943106794712413;1,38777878078145E-17;1,471496959371E-16
-0,08;-0,0833816089390511;4,16333634234434E-17;4,99311106528009E-16
-0,07;-0,0725706928348355;4,16333634234434E-17;5,73693894837097E-16
-0,06;-0,0618754037180875;5,55111512312578E-17;8,97144065260146E-16
-0,05;-0,0512932943875505;4,85722573273506E-17;9,4695140772903E-16
-0,04;-0,0408219945202551;4,85722573273506E-17;1,18985507440725E-15
-0,03;-0,0304592074847085;6,59194920871187E-17;2,16418933815702E-15
-0,02;-0,0202027073175195;3,46944695195361E-18;1,71731783142993E-16
-0,01;-0,0100503358535015;0;0
0;0;0;0
0,01;0,00995033085316809;3,46944695195361E-18;3,48676541830664E-16
0,02;0,0198026272961797;3,46944695195361E-18;1,75201345764E-16
0,03;0,0295588022415444;3,46944695195361E-18;1,17374409274181E-16
0,04;0,0392207131532813;0;0
0,05;0,048790164169432;0;0
0,0600000000000001;0,0582689081239758;6,93889390390723E-18;1,19083987109278E-16
0,0700000000000001;0,0676586484738149;0;0
0,08;0,0769610411361283;1,11022302462516E-16;1,44257796962673E-15
0,09;0,0861776962410523;8,32667268468867E-17;9,6622131338922E-16
0,1;0,0953101798043248;1,11022302462516E-16;1,16485251303112E-15
0,11;0,104360015324243;9,71445146547012E-17;9,30859528459025E-16
0,12;0,113328685307003;1,66533453693773E-16;1,46947309273588E-15
0,13;0,122217632724249;4,16333634234434E-17;3,40649401362386E-16
0,14;0,131028262406404;3,60822483003176E-16;2,75377598982447E-15
0,15;0,139761942375158;4,71844785465692E-16;3,37606058879128E-15
0,16;0,148420005118272;1,22124532708767E-15;8,22830673071654E-15
0,17;0,157003748809663;1,97064586870965E-15;1,2551584810237E-14
0,18;0,16551443847757;3,69149155687865E-15;2,23031391752498E-14
0,19;0,173953307123432;6,16173778666962E-15;3,54217915632798E-14
0,2;0,182321556793944;1,06303854607859E-14;5,83056970756315E-14
0,21;0,190620359608633;1,7125190154843E-14;8,98392500675251E-14
0,22;0,198850858745138;2,72837308301632E-14;1,37207005302041E-13
0,23;0,207014169384284;4,24382751162966E-14;2,05001789213322E-13
0,24;0,215111379616881;6,46149800331841E-14;3,00379181000307E-13
0,25;0,223143551314113;9,66171587180042E-14;4,3298207879625E-13
0,26;0,231111720963245;1,42080791576404E-13;6,14771033611546E-13
0,27;0,239016900470294;2,05446770706885E-13;8,59549137749119E-13
0,28;0,246860077931233;2,92793567169269E-13;1,18607095008082E-12
