x;absoluteError;relativeError;computation time (milliseconds)
-0,9899901;0,705235564226129;0,235079852093917;26
-0,9799902;0,448871856009656;0,152614765416328;23
-0,9699903;0,318995735236687;0,110150946442318;23
-0,9599904;0,238314214398469;0,0833918380453074;23
-0,9499905;0,183260538243731;0,0648939169074429;23
-0,9399906;0,143596296083996;0,0514055786143511;22
-0,9299907;0,113992591360503;0,0412242356086581;22
-0,9199908;0,0913473261757769;0,0333523978431923;22
-0,9099909;0,0737111344500181;0,0271590078324973;22
-0,899991;0,0597890720733929;0,0222219170257969;22
-0,8899911;0,0486839958932372;0,0182465405647075;22
-0,8799912;0,0397536518682005;0,0150204228247237;22
-0,8699913;0,0325260789619812;0,0123862582905669;22
-0,8599914;0,026647017615637;0,0102250633498482;22
-0,8499915;0,0218458724171158;0,00844524659953295;22
-0,8399916;0,0179129298562706;0,0069752659522206;22
-0,8299917;0,0146836687151644;0,00575855182867514;22
-0,8199918;0,0120276877853325;0,00474990954259329;22
-0,8099919;0,00984072508765177;0,00391291486127967;22
-0,799992;0,00803879830922183;0,0032179930443939;22
-0,7899921;0,00655383239357699;0,00264097854678787;22
-0,7799922;0,0053303498395687;0,00216201931985003;22
-0,7699923;0,00432293343267887;0,0017647324420695;22
-0,7599924;0,00349425904521716;0,00143554590106454;22
-0,7499925;0,00281355497101554;0,00116318018178961;22
-0,7399926;0,00225538438252526;0,000938236183750846;22
-0,7299927;0,00179867533811962;0,000752864936211097;22
-0,7199928;0,00142594239094063;0,000600500898830137;22
-0,7099929;0,00112265788315558;0,000475645162735684;22
-0,699993;0,000876741177574747;0,000373688154698602;22
-0,6899931;0,000678141536832655;0,000290763863886581;23
-0,6799932;0,000518495892958271;0,000223629407561564;22
-0,6699933;0,000390846897525332;0,000169565102251525;22
-0,6599934;0,000289409781828898;0,000126291231399649;22
-0,6499935;0,000209378954435735;9,18984850237612E-05;22
-0,6399936;0,000146767110609236;6,47896528551794E-05;22
-0,6299937;9,82710622938754E-05;4,36306241839347E-05;22
-0,6199938;6,11596192645614E-05;2,73091177443214E-05;22
-0,6099939;3,31797357349117E-05;1,48998573601281E-05;22
-0,599994;1,24778374037682E-05;5,63514163303769E-06;22
-0,5899941;2,46619710742024E-06;1,12005790771533E-06;22
-0,5799942;1,28944779413942E-05;5,88918590512706E-06;22
-0,5699943;1,98176844588005E-05;9,10197388565641E-06;22
-0,5599944;2,40542066278771E-05;1,11095881601133E-05;22
-0,5499945;2,62630303584643E-05;1,21974696713655E-05;22
