x;absoluteError;relativeError;computation time (milliseconds)
-0,9899901;4,44089209850063E-16;1,8888054298161E-16;51
-0,9799902;1,77635683940025E-15;7,57156685958403E-16;39
-0,9699903;0;0;38
-0,9599904;8,88178419700125E-16;3,80248497923756E-16;37
-0,9499905;0;0;37
-0,9399906;8,88178419700125E-16;3,81967616254218E-16;37
-0,9299907;4,44089209850063E-16;1,91423046430017E-16;43
-0,9199908;4,44089209850063E-16;1,91868743035891E-16;36
-0,9099909;4,44089209850063E-16;1,92321014972944E-16;36
-0,899991;4,44089209850063E-16;1,92779981432165E-16;36
-0,8899911;4,44089209850063E-16;1,93245763794957E-16;36
-0,8799912;4,44089209850063E-16;1,93718485660191E-16;37
-0,8699913;4,44089209850063E-16;1,94198272870601E-16;37
-0,8599914;4,44089209850063E-16;1,94685253538443E-16;37
-0,8499915;0;0;36
-0,8399916;0;0;36
-0,8299917;0;0;36
-0,8199918;4,44089209850063E-16;1,96707753827875E-16;36
-0,8099919;4,44089209850063E-16;1,97232704586093E-16;36
-0,799992;4,44089209850063E-16;1,97765666458305E-16;36
-0,7899921;4,44089209850063E-16;1,9830678408209E-16;36
-0,7799922;0;0;36
-0,7699923;4,44089209850063E-16;1,99414077338292E-16;36
-0,7599924;0;0;36
-0,7499925;0;0;38
-0,7399926;0;0;38
-0,7299927;0;0;37
-0,7199928;4,44089209850063E-16;2,02335633350124E-16;36
-0,7099929;0;0;37
-0,699993;8,88178419700125E-16;4,07137866994958E-16;39
-0,6899931;4,44089209850063E-16;2,04200105891978E-16;40
-0,6799932;4,44089209850063E-16;2,04841188261033E-16;42
-0,6699933;0;0;37
-0,6599934;4,44089209850063E-16;2,0615378311014E-16;36
-0,6499935;4,44089209850063E-16;2,06825651851978E-16;36
-0,6399936;4,44089209850063E-16;2,07508143058818E-16;36
-0,6299937;0;0;36
-0,6199938;4,44089209850063E-16;2,08905732133174E-16;36
-0,6099939;0;0;36
-0,599994;4,44089209850063E-16;2,10348052608105E-16;36
-0,5899941;0;0;36
-0,5799942;4,44089209850063E-16;2,118366439927E-16;36
-0,5699943;0;0;36
-0,5599944;4,44089209850063E-16;2,1337308174381E-16;36
-0,5499945;0;0;36
-0,5399946;4,44089209850063E-16;2,14958975687588E-16;36
-0,5299947;0;0;36
-0,5199948;0;0;36
-0,5099949;0;0;36
-0,499995;0;0;36
-0,4899951;0;0;36
-0,4799952;0;0;36
-0,4699953;0;0;36
-0,4599954;0;0;36
-0,4499955;0;0;36
-0,4399956;0;0;37
-0,4299957;0;0;36
-0,4199958;0;0;36
-0,4099959;0;0;36
-0,399996;0;0;36
-0,3899961;2,22044604925031E-16;1,14299908604968E-16;36
-0,3799962;2,22044604925031E-16;1,14814628717947E-16;36
-0,3699963;0;0;36
-0,3599964;0;0;36
-0,3499965;0;0;36
-0,3399966;0;0;36
-0,3299967;0;0;36
-0,3199968;0;0;36
-0,3099969;0;0;36
-0,299997;0;0;36
-0,2899971;0;0;36
-0,2799972;0;0;36
-0,2699973;0;0;36
-0,2599974;0;0;36
-0,2499975;0;0;36
-0,2399976;2,22044604925031E-16;1,22925209623523E-16;36
-0,2299977;0;0;36
-0,2199978;0;0;36
-0,2099979;0;0;36
-0,199998;0;0;36
