x;absoluteError;relativeError;computation time (milliseconds)
-0,9899901;0,705235564226129;0,493452372890232;25
-0,9799902;0,448871856009656;0,327545129656783;23
-0,9699903;0,318995735236687;0,24071681472552;23
-0,9599904;0,238314214398469;0,185174943464719;23
-0,9499905;0,183260538243731;0,146233432556432;22
-0,9399906;0,143596296083996;0,117451310766612;22
-0,9299907;0,113992591360503;0,0954402044826582;22
-0,9199908;0,0913473261757771;0,0782045099424392;22
-0,9099909;0,0737111344500179;0,0644743961604836;22
-0,899991;0,0597890720733933;0,0533950725745965;22
-0,8899911;0,048683995893237;0,0443660419893669;22
-0,8799912;0,0397536518682005;0,0369511415552305;22
-0,8699913;0,0325260789619812;0,0308250107432592;22
-0,8599914;0,026647017615637;0,0257396233159626;22
-0,8499915;0,0218458724171158;0,0215024956592507;22
-0,8399916;0,0179129298562706;0,0179620067080278;22
-0,8299917;0,0146836687151641;0,0149972185068734;22
-0,8199918;0,0120276877853325;0,012510639864915;22
-0,8099919;0,00984072508765177;0,0104229698736938;22
-0,799992;0,00803879830922194;0,00866920667933706;22
-0,7899921;0,00655383239357688;0,00719571845434551;22
-0,7799922;0,00533034983956882;0,00595800577109292;22
-0,7699923;0,00432293343267898;0,00491896947113662;22
-0,7599924;0,00349425904521727;0,00404755391174391;22
-0,7499925;0,00281355497101565;0,00331767291496842;22
-0,7399926;0,00225538438252526;0,00270735136109128;22
-0,7299927;0,00179867533811962;0,00219803319966558;22
-0,7199928;0,00142594239094063;0,00177401926164265;22
-0,7099929;0,00112265788315558;0,00142200730407244;22
-0,699993;0,000876741177574858;0,00113071329809687;22
-0,6899931;0,000678141536832655;0,000890557814249452;22
-0,6799932;0,000518495892958382;0,00069340496531323;22
-0,6699933;0,000390846897525665;0,000532344080767741;24
-0,6599934;0,000289409781828898;0,000401506349209905;23
-0,6499935;0,000209378954436179;0,000295910247017802;22
-0,6399936;0,000146767110609236;0,000211330795335252;22
-0,6299937;9,82710622938754E-05;0,000144188641956851;24
-0,6199938;6,11596192645614E-05;9,14557148233623E-05;24
-0,6099939;3,31797357349117E-05;5,05747876391874E-05;28
-0,599994;1,24778374035461E-05;1,93907713031311E-05;31
-0,5899941;2,46619710730922E-06;3,90807561141956E-06;23
-0,5799942;1,28944779411722E-05;2,08405178520173E-05;25
-0,5699943;1,98176844586895E-05;3,26755479243148E-05;28
-0,5599944;2,4054206627766E-05;4,04694731451167E-05;34
-0,5499945;2,62630303582423E-05;4,50977681018259E-05;32
-0,5399946;2,69713540183014E-05;4,72824382047623E-05;27
-0,5299947;2,65977623844504E-05;4,76155264279305E-05;25
-0,5199948;2,54716514010989E-05;4,65793008752876E-05;26
-0,5099949;2,38494869959638E-05;4,45635818649486E-05;26
-0,499995;2,19283896206735E-05;4,18806010250427E-05;23
-0,4899951;1,98574597548573E-05;3,87777291236411E-05;22
-0,4799952;1,77471956466224E-05;3,54483622411871E-05;23
-0,4699953;1,56773008487265E-05;3,20412159092352E-05;23
-0,4599954;1,37031338985349E-05;2,86682428213078E-05;22
-0,4499955;1,18610143342024E-05;2,54113606784174E-05;22
-0,4399956;1,01725669605646E-05;2,23281518531503E-05;22
-0,4299957;8,64825891616627E-06;1,94566751884569E-05;22
-0,4199958;7,29026086104811E-06;1,6819511859283E-05;22
-0,4099959;6,09474383128639E-06;1,44271513274003E-05;22
-0,399996;5,05370646797232E-06;1,22808096778134E-05;22
-0,3899961;4,15641295903324E-06;1,03747606922668E-05;23
-0,3799962;3,39050976611022E-06;8,69824965147127E-06;22
-0,3699963;2,74287872342738E-06;7,23705082518507E-06;27
-0,3599964;2,20027512726206E-06;5,97472172086242E-06;22
-0,3499965;1,7497917702558E-06;4,8936002839087E-06;22
-0,3399966;1,37918331288844E-06;3,97558520781518E-06;22
-0,3299967;1,07707977448079E-06;3,20273422667551E-06;22
-0,3199968;8,33113132592267E-07;2,55771062803396E-06;24
-0,3099969;6,37976926731731E-07;2,02410415497569E-06;25
-0,299997;4,8343526898309E-07;1,58664888171568E-06;22
-0,2899971;3,6229469374538E-07;1,23135750565097E-06;23
-0,2799972;2,68349754029007E-07;9,45588732421425E-07;22
-0,2699973;1,96311131017701E-07;7,18061991240766E-07;22
-0,2599974;1,41723220159484E-07;5,38831587033203E-07;22
-0,2499975;1,00876636877079E-07;3,99230512209048E-07;23
-0,2399976;7,07198138660825E-08;2,91792490355827E-07;22
-0,2299977;4,87728054054948E-08;2,10159380626547E-07;22
-0,2199978;3,30455418584563E-08;1,48979810792662E-07;24
-0,2099979;2,19620603925108E-08;1,03803793120069E-07;22
-0,199998;1,42916619649824E-08;7,09771276456966E-08;23
-0,1899981;9,08748043482177E-09;4,75385561358093E-08;22
-0,1799982;5,63258920061038E-09;3,11219216214555E-08;22
-0,1699983;3,39349018330104E-09;1,98649594642923E-08;22
