x;absoluteError;relativeError;computation time (milliseconds)
-0,99;9,99200722162641E-16;1,28041413483576E-15;39
-0,98;1,11022302462516E-16;1,43199614237139E-16;37
-0,97;2,22044604925031E-16;2,88305622664906E-16;37
-0,96;7,7715611723761E-16;1,0158998673015E-15;38
-0,95;1,22124532708767E-15;1,60740352070477E-15;36
-0,94;6,66133814775094E-16;8,82904321475589E-16;37
-0,93;2,22044604925031E-16;2,96397514754653E-16;38
-0,92;5,55111512312578E-16;7,46362815999403E-16;36
-0,91;4,44089209850063E-16;6,01492140836732E-16;36
-0,9;1,11022302462516E-16;1,51501111524391E-16;36
-0,89;4,44089209850063E-16;6,10631092698219E-16;36
-0,88;1,11022302462516E-16;1,53844046540361E-16;36
-0,87;6,66133814775094E-16;9,30366035782649E-16;36
-0,86;1,11022302462516E-16;1,56309776539199E-16;36
-0,85;3,33066907387547E-16;4,7277461130323E-16;36
-0,84;4,44089209850063E-16;6,35630093697042E-16;36
-0,83;3,33066907387547E-16;4,80777094965184E-16;36
-0,82;0;0;36
-0,81;0;0;36
-0,8;4,44089209850063E-16;6,58162536256661E-16;37
-0,79;1,11022302462516E-16;1,66048533544717E-16;37
-0,78;2,22044604925031E-16;3,3519896023475E-16;36
-0,77;1,11022302462516E-16;1,69195219866871E-16;36
-0,76;0;0;36
-0,75;0;0;36
-0,74;1,11022302462516E-16;1,74270088184365E-16;36
-0,73;1,11022302462516E-16;1,76064412663184E-16;39
-0,72;0;0;42
-0,71;1,11022302462516E-16;1,79820607392564E-16;36
-0,7;1,11022302462516E-16;1,81787428300269E-16;53
-0,69;2,22044604925031E-16;3,67633878635601E-16;43
-0,68;0;0;36
-0,67;0;0;36
-0,66;3,33066907387547E-16;5,70933010945868E-16;36
-0,65;0;0;36
-0,64;2,22044604925031E-16;3,90021886715376E-16;36
-0,63;1,11022302462516E-16;1,97482960363537E-16;36
-0,62;2,22044604925031E-16;4,00083449272337E-16;36
-0,61;2,22044604925031E-16;4,05383209852913E-16;36
-0,6;1,11022302462516E-16;2,05437261991708E-16;36
-0,59;1,11022302462516E-16;2,08283673301034E-16;36
-0,58;1,11022302462516E-16;2,11236160293846E-16;36
-0,57;2,22044604925031E-16;4,28600837009887E-16;36
-0,56;2,22044604925031E-16;4,34965101828972E-16;36
-0,55;0;0;36
-0,54;5,55111512312578E-17;1,12113556747132E-16;36
-0,53;5,55111512312578E-17;1,13902070396745E-16;36
-0,52;0;0;36
-0,51;5,55111512312578E-17;1,1770423839669E-16;36
-0,5;2,22044604925031E-16;4,78908120336377E-16;36
-0,49;5,55111512312578E-17;1,21837673574228E-16;36
-0,48;0;0;36
-0,47;1,11022302462516E-16;2,52690454875657E-16;36
-0,46;5,55111512312578E-17;1,2875472786025E-16;36
-0,45;0;0;44
-0,44;0;0;36
-0,43;5,55111512312578E-17;1,36693958747869E-16;36
-0,42;5,55111512312578E-17;1,39605743093588E-16;36
-0,41;0;0;36
-0,4;1,11022302462516E-16;2,91775142653471E-16;36
-0,39;0;0;36
-0,38;1,11022302462516E-16;3,05722749800338E-16;36
-0,37;5,55111512312578E-17;1,56643049551355E-16;36
-0,36;0;0;36
-0,35;5,55111512312578E-17;1,64880614868598E-16;36
-0,34;5,55111512312578E-17;1,69376347553895E-16;36
-0,33;5,55111512312578E-17;1,74153964215447E-16;36
-0,32;1,11022302462516E-16;3,58479970626485E-16;36
-0,31;5,55111512312578E-17;1,84664351884743E-16;36
-0,3;5,55111512312578E-17;1,90460995533502E-16;36
-0,29;5,55111512312578E-17;1,96668526345776E-16;36
-0,28;0;0;36
-0,27;0;0;36
-0,26;0;0;36
-0,25;5,55111512312578E-17;2,26595861544525E-16;36
-0,24;0;0;36
-0,23;0;0;36
-0,22;5,55111512312578E-17;2,56342983388489E-16;36
-0,21;2,77555756156289E-17;1,34089962765229E-16;36
-0,2;2,77555756156289E-17;1,4060891560447E-16;36
-0,19;5,55111512312578E-17;2,95646440942915E-16;36
-0,18;2,77555756156289E-17;1,55848827535189E-16;36
-0,17;2,77555756156289E-17;1,64828966762658E-16;36
-0,16;5,55111512312578E-17;3,49885345536404E-16;36
-0,15;2,77555756156289E-17;1,86416719605713E-16;36
-0,14;0;0;36
-0,13;2,77555756156289E-17;2,14701796530538E-16;36
-0,12;1,38777878078145E-17;1,16201227545859E-16;36
-0,11;1,38777878078145E-17;1,26668927992439E-16;36
-0,1;2,77555756156289E-17;2,78478487687893E-16;36
-0,09;0;0;36
-0,08;0;0;36
-0,07;0;0;36
-0,0599999999999999;0;0;36
-0,0499999999999999;0;0;36
-0,04;6,93889390390723E-18;1,73564826741519E-16;36
-0,03;0;0;36
-0,02;3,46944695195361E-18;1,73495474777381E-16;36
-0,01;0;0;36
0;0;NaN;24
0,01;0;0;33
0,02;3,46944695195361E-18;1,73495474777381E-16;33
0,03;0;0;33
0,04;6,93889390390723E-18;1,73564826741519E-16;33
0,05;0;0;33
0,0600000000000001;0;0;33
0,0700000000000001;0;0;33
0,0800000000000001;0;0;33
0,0900000000000001;1,38777878078145E-17;1,54613080458228E-16;33
0,1;2,77555756156289E-17;2,78478487687892E-16;33
0,11;1,38777878078145E-17;1,26668927992439E-16;33
0,12;0;0;34
0,13;0;0;33
0,14;0;0;33
0,15;0;0;33
0,16;5,55111512312578E-17;3,49885345536404E-16;33
0,17;2,77555756156289E-17;1,64828966762658E-16;33
0,18;2,77555756156289E-17;1,55848827535189E-16;33
0,19;5,55111512312578E-17;2,95646440942915E-16;33
0,2;2,77555756156289E-17;1,4060891560447E-16;33
0,21;2,77555756156289E-17;1,34089962765229E-16;33
0,22;5,55111512312578E-17;2,56342983388489E-16;33
0,23;0;0;33
0,24;0;0;33
0,25;5,55111512312578E-17;2,26595861544525E-16;33
0,26;0;0;33
0,27;0;0;33
0,28;0;0;34
0,29;5,55111512312578E-17;1,96668526345776E-16;33
0,3;5,55111512312578E-17;1,90460995533502E-16;33
0,31;5,55111512312578E-17;1,84664351884743E-16;33
0,32;5,55111512312578E-17;1,79239985313243E-16;34
0,33;5,55111512312578E-17;1,74153964215447E-16;33
0,34;0;0;33
0,35;1,11022302462516E-16;3,29761229737196E-16;33
0,36;5,55111512312578E-17;1,60643191285783E-16;33
0,37;5,55111512312578E-17;1,56643049551355E-16;33
0,38;1,11022302462516E-16;3,05722749800338E-16;33
0,39;5,55111512312578E-17;1,49281281482743E-16;33
0,4;5,55111512312578E-17;1,45887571326735E-16;33
0,41;0;0;33
0,42;5,55111512312578E-17;1,39605743093588E-16;33
0,43;5,55111512312578E-17;1,36693958747869E-16;34
0,44;0;0;33
0,45;0;0;33
0,46;5,55111512312578E-17;1,2875472786025E-16;33
0,47;1,11022302462516E-16;2,52690454875657E-16;34
0,48;0;0;33
0,49;5,55111512312578E-17;1,21837673574228E-16;33
0,5;2,22044604925031E-16;4,78908120336377E-16;33
0,51;5,55111512312578E-17;1,1770423839669E-16;33
0,52;0;0;33
0,53;5,55111512312578E-17;1,13902070396745E-16;33
0,54;5,55111512312578E-17;1,12113556747132E-16;33
0,55;0;0;33
0,56;2,22044604925031E-16;4,34965101828972E-16;33
0,57;2,22044604925031E-16;4,28600837009887E-16;34
0,58;1,11022302462516E-16;2,11236160293846E-16;33
0,59;0;0;34
0,6;0;0;33
0,61;2,22044604925031E-16;4,05383209852913E-16;33
0,62;2,22044604925031E-16;4,00083449272337E-16;33
0,63;2,22044604925031E-16;3,94965920727075E-16;34
0,64;2,22044604925031E-16;3,90021886715376E-16;33
0,65;0;0;33
0,66;3,33066907387547E-16;5,70933010945868E-16;33
0,67;0;0;33
0,68;0;0;33
0,69;2,22044604925031E-16;3,67633878635601E-16;33
0,7;1,11022302462516E-16;1,81787428300269E-16;33
0,71;1,11022302462516E-16;1,79820607392564E-16;33
0,72;0;0;33
0,73;1,11022302462516E-16;1,76064412663184E-16;33
0,74;1,11022302462516E-16;1,74270088184365E-16;34
0,75;0;0;33
0,76;0;0;33
0,77;1,11022302462516E-16;1,69195219866871E-16;33
