x;absoluteError;relativeError;computation time (milliseconds)
-1,55409836352695;1,11022302462516E-16;1,11037781989806E-16;0
-1,538400400259;2,22044604925031E-16;2,22161173367289E-16;0
-1,52270243699105;0;0;0
-1,5070044737231;0;0;0
-1,49130651045515;0;0;0
-1,4756085471872;0;0;0
-1,45991058391925;1,11022302462516E-16;1,11708362417462E-16;0
-1,4442126206513;2,22044604925031E-16;2,23835518528628E-16;0
-1,42851465738336;1,11022302462516E-16;1,12155632018028E-16;0
-1,41281669411541;0;0;0
-1,39711873084746;1,11022302462516E-16;1,12718041799623E-16;0
-1,38142076757951;1,11022302462516E-16;1,13043293303053E-16;0
-1,36572280431156;0;0;0
-1,35002484104361;2,22044604925031E-16;2,27567952701009E-16;0
-1,33432687777566;0;0;0
-1,31862891450771;1,11022302462516E-16;1,14648174819008E-16;0
-1,30293095123976;0;0;0
-1,28723298797182;1,11022302462516E-16;1,15640451280219E-16;0
-1,27153502470387;0;0;0
-1,25583706143592;0;0;0
-1,24013909816797;0;0;0
-1,22444113490002;1,11022302462516E-16;1,1803145058771E-16;0
-1,20874317163207;1,11022302462516E-16;1,18718644882345E-16;0
-1,19304520836412;1,11022302462516E-16;1,1944349365744E-16;0
-1,17734724509617;2,22044604925031E-16;2,40414103183915E-16;0
-1,16164928182822;1,11022302462516E-16;1,21010445985215E-16;0
-1,14595131856027;0;0;0
-1,13025335529233;0;0;0
-1,11455539202438;1,11022302462516E-16;1,23672104592409E-16;0
-1,09885742875643;1,11022302462516E-16;1,24647731385275E-16;0
-1,08315946548848;1,11022302462516E-16;1,25670087651413E-16;0
-1,06746150222053;1,11022302462516E-16;1,26740843149995E-16;0
-1,05176353895258;1,11022302462516E-16;1,27861780506657E-16;0
-1,03606557568463;1,11022302462516E-16;1,29034803278945E-16;0
-1,02036761241668;1,11022302462516E-16;1,30261944788657E-16;0
-1,00466964914873;0;0;0
-0,988971685880785;0;0;0
-0,973273722612836;1,11022302462516E-16;1,34290571451507E-16;0
-0,957575759344887;0;0;0
-0,941877796076938;0;0;0
-0,926179832808989;0;0;0
-0,91048186954104;0;0;0
-0,894783906273091;0;0;0
-0,879085943005142;1,11022302462516E-16;1,44155572043355E-16;0
-0,863387979737193;1,11022302462516E-16;1,46072625550909E-16;0
-0,847690016469244;1,11022302462516E-16;1,4807833555635E-16;0
-0,831992053201295;1,11022302462516E-16;1,50177414920551E-16;0
-0,816294089933346;1,11022302462516E-16;1,52374949169456E-16;0
-0,800596126665397;0;0;0
-0,784898163397448;0;0;0
-0,769200200129499;0;0;0
-0,75350223686155;1,11022302462516E-16;1,62266544055433E-16;0
-0,737804273593601;1,11022302462516E-16;1,65048476428743E-16;0
-0,722106310325652;0;0;0
-0,706408347057704;1,11022302462516E-16;1,71038839091435E-16;0
-0,690710383789754;0;0;0
-0,675012420521806;1,11022302462516E-16;1,7766211623474E-16;0
-0,659314457253857;1,11022302462516E-16;1,81238669691175E-16;0
-0,643616493985908;1,11022302462516E-16;1,85008708981805E-16;0
-0,627918530717959;1,11022302462516E-16;1,88986484818198E-16;0
-0,61222056745001;0;0;0
-0,596522604182061;0;0;0
-0,580824640914112;1,11022302462516E-16;2,02331993013504E-16;0
-0,565126677646163;0;0;0
-0,549428714378214;1,11022302462516E-16;2,12604901111743E-16;0
-0,533730751110265;0;0;0
-0,518032787842316;0;0;0
-0,502334824574367;0;0;0
-0,486636861306418;0;0;0
-0,470938898038469;0;0;0
-0,45524093477052;5,55111512312578E-17;1,2625389467711E-16;0
-0,439542971502571;1,11022302462516E-16;2,60906084406574E-16;0
-0,423845008234622;0;0;0
-0,408147044966673;0;0;0
-0,392449081698724;0;0;0
-0,376751118430775;5,55111512312578E-17;1,50885948995599E-16;0
-0,361053155162826;0;0;0
-0,345355191894877;5,55111512312578E-17;1,63976606666366E-16;0
-0,329657228626928;0;0;0
