x;absoluteError;relativeError;computation time (milliseconds)
-1,55507846352695;0,00622277522562797;0,00622431282311209;0
-1,539370600259;0,00441245141610658;0,00441681191910112;0
-1,52366273699105;0,00311784280008887;0,00312477959406163;0
-1,5079548737231;0,00219520760771763;0,00220389946241587;0
-1,49224701045515;0,00153996821485891;0,00154950903148509;0
-1,4765391471872;0,00107629005649945;0,00108590918788537;0
-1,46083128391925;0,00074936581972096;0,000758500937908889;0
-1,4451234206513;0,000519720517696332;0,000528016022969847;0
-1,42941555738336;0,00035902158109602;0,00036629461565288;0
-1,41370769411541;0,000247006292294238;0,000253203322864221;0
-1,39799983084746;0,000169236107248727;0,000174391581099523;0
-1,38229196757951;0,00011546092409076;0,000119662885926065;0
-1,36658410431156;7,84317786292066E-05;8,17957211042039E-05;0
-1,35087624104361;5,30420993295477E-05;5,56925136001072E-05;0
-1,33516837777566;3,57088598738065E-05;3,77671945178699E-05;0
-1,31946051450771;2,39282710148281E-05;2,55058242728764E-05;0
-1,30375265123976;1,59579987587533E-05;1,71523736205325E-05;0
-1,28804478797182;1,05907627778734E-05;1,14847398811248E-05;0
-1,27233692470387;6,99368088530328E-06;7,65561830087486E-06;0
-1,25662906143592;4,59473231184671E-06;5,07983751753081E-06;0
-1,24092119816797;3,00285549015289E-06;3,35487342016865E-06;0
-1,22521333490002;1,95195700003481E-06;2,20497414637189E-06;0
-1,20950547163207;1,26184817683672E-06;1,44202907090405E-06;0
-1,19379760836412;8,1111417238322E-07;9,38269255969856E-07;0
-1,17808974509617;5,18357358481047E-07;6,07297194173923E-07;0
-1,16238188182822;3,2929150772798E-07;3,90958039172874E-07;0
-1,14667401856027;2,07904750193499E-07;2,50291501663026E-07;0
-1,13096615529233;1,3043868263285E-07;1,59322896610335E-07;0
-1,11525829202438;8,13071303618074E-08;1,00821303742741E-07;0
-1,09955042875643;5,03442219024208E-08;6,34148490262052E-08;0
-1,08384256548848;3,0958797525571E-08;3,96381194174649E-08;0
-1,06813470222053;1,89035120889969E-08;2,46169079581875E-08;0
-1,05242683895258;1,14585831934022E-08;1,51866882583219E-08;0
-1,03671897568463;6,89367096740057E-09;9,30481888273318E-09;0
-1,02101111241668;4,11526013266439E-09;5,66068749090423E-09;0
-1,00530324914873;2,43703246471938E-09;3,4185547169631E-09;0
-0,989595385880785;1,43128586760355E-09;2,04888505158902E-09;0
-0,973887522612836;8,334306578206E-10;1,21836521332478E-09;0
-0,958179659344887;4,8101589378291E-10;7,18617155649869E-10;0
-0,942471796076938;2,7507884858835E-10;4,20286746579743E-10;0
-0,926763932808989;1,55816137770159E-10;2,43656922290982E-10;0
-0,91105606954104;8,73907612941593E-11;1,39973180743242E-10;0
-0,895348206273091;4,85113060832987E-11;7,96486775922676E-11;0
-0,879640343005142;2,664157783272E-11;4,48749266206223E-11;0
-0,863932479737193;1,44678713454027E-11;2,50217504029838E-11;0
-0,848224616469244;7,76534392343819E-12;1,38010993191235E-11;0
-0,832516753201295;4,11704004221747E-12;7,52590891124088E-12;0
-0,816808889933346;2,15449880158758E-12;4,05445815254016E-12;0
-0,801101026665397;1,11211040376702E-12;2,15650532385954E-12;0
-0,785393163397448;5,6576965334898E-13;1,13155062220418E-12;0
-0,769685300129499;2,83550960489265E-13;5,85498611870795E-13;0
-0,75397743686155;1,39721567649076E-13;2,98168123440888E-13;0
-0,738269573593601;6,77791156533658E-14;1,49642207443967E-13;0
-0,722561710325652;3,21964677141295E-14;7,3620731767608E-14;0
-0,706853847057703;1,49324996812084E-14;3,540366792454E-14;0
-0,691145983789754;6,77236045021345E-15;1,66681682629258E-14;0
-0,675438120521806;2,99760216648792E-15;7,66798857141355E-15;0
-0,659730257253857;1,33226762955019E-15;3,54655696587293E-15;0
-0,644022393985908;4,9960036108132E-16;1,3858520238567E-15;0
-0,628314530717959;2,77555756156289E-16;8,03373773618908E-16;0
-0,61260666745001;5,55111512312578E-17;1,67896418122078E-16;0
-0,596898804182061;0;0;0
-0,581190940914112;5,55111512312578E-17;1,84163829674156E-16;0
-0,565483077646163;0;0;0
-0,549775214378214;5,55111512312578E-17;2,03336335036849E-16;0
-0,534067351110265;0;0;0
-0,518359487842316;0;0;0
-0,502651624574367;2,77555756156289E-17;1,19592852136254E-16;0
-0,486943761306418;0;0;0
-0,471235898038469;0;0;0
-0,45552803477052;2,77555756156289E-17;1,4340692325473E-16;0
-0,439820171502571;0;0;0
-0,424112308234622;2,77555756156289E-17;1,63902450217079E-16;0
-0,408404444966673;0;0;0
-0,392696581698724;5,55111512312578E-17;3,7905842642194E-16;0
-0,376988718430775;0;0;0
-0,361280855162826;1,38777878078145E-17;1,11073001359494E-16;0
-0,345572991894877;1,38777878078145E-17;1,20947784388682E-16;0
-0,329865128626928;0;0;0
-0,314157265358979;2,77555756156289E-17;2,90663739630312E-16;0
-0,29844940209103;1,38777878078145E-17;1,60513593784591E-16;0
-0,282741538823081;0;0;0
-0,267033675555133;1,38777878078145E-17;1,99312972726667E-16;0
-0,251325812287184;0;0;0
-0,235617949019234;6,93889390390723E-18;1,27328366414285E-16;0
-0,219910085751286;6,93889390390723E-18;1,45818344486496E-16;0
-0,204202222483337;0;0;0
-0,188494359215388;6,93889390390723E-18;1,97625575774874E-16;0
-0,172786495947439;6,93889390390723E-18;2,34745318900461E-16;0
-0,15707863267949;6,93889390390723E-18;2,83550781447978E-16;0
-0,141370769411541;0;0;0
-0,125662906143592;6,93889390390723E-18;4,41736472364943E-16;0
-0,109955042875643;1,73472347597681E-18;1,44062477800944E-16;0
-0,0942471796076938;1,73472347597681E-18;1,95875351856959E-16;0
-0,078539316339745;8,67361737988404E-19;1,4090265665194E-16;0
-0,0628314530717959;8,67361737988404E-19;2,19997441249067E-16;0
-0,0471235898038469;4,33680868994202E-19;1,95440706514528E-16;0
-0,0314157265358981;0;0;0
-0,015707863267949;5,42101086242752E-20;2,1972616317701E-16;0
0;0;NaN;0
0,0157078632679488;5,42101086242752E-20;2,19726163177016E-16;0
0,0314157265358979;0;0;0
0,0471235898038469;4,33680868994202E-19;1,95440706514528E-16;0
0,0628314530717957;0;0;0
0,0785393163397448;8,67361737988404E-19;1,4090265665194E-16;0
0,0942471796076938;1,73472347597681E-18;1,95875351856959E-16;0
0,109955042875643;1,73472347597681E-18;1,44062477800944E-16;0
0,125662906143592;3,46944695195361E-18;2,20868236182472E-16;0
0,141370769411541;0;0;0
0,15707863267949;6,93889390390723E-18;2,83550781447979E-16;0
0,172786495947439;6,93889390390723E-18;2,34745318900462E-16;0
0,188494359215388;6,93889390390723E-18;1,97625575774874E-16;0
0,204202222483336;6,93889390390723E-18;1,68738511551309E-16;0
0,219910085751285;6,93889390390723E-18;1,45818344486496E-16;0
0,235617949019234;6,93889390390723E-18;1,27328366414285E-16;0
0,251325812287183;6,93889390390723E-18;1,12196525856981E-16;0
0,267033675555132;0;0;0
0,282741538823081;0;0;0
0,29844940209103;1,38777878078145E-17;1,60513593784591E-16;0
0,314157265358979;0;0;0
0,329865128626928;2,77555756156289E-17;2,64537327445405E-16;0
0,345572991894877;4,16333634234434E-17;3,62843353166046E-16;0
0,361280855162826;1,38777878078145E-17;1,11073001359494E-16;0
0,376988718430775;2,77555756156289E-17;2,0481696895213E-16;0
0,392696581698724;0;0;0
0,408404444966673;0;0;0
0,424112308234622;0;0;0
0,439820171502571;2,77555756156289E-17;1,53103929340056E-16;0
0,45552803477052;2,77555756156289E-17;1,4340692325473E-16;0
0,471235898038469;0;0;0
0,486943761306418;2,77555756156289E-17;1,26763403014062E-16;0
0,502651624574367;5,55111512312578E-17;2,39185704272508E-16;0
0,518359487842316;2,77555756156289E-17;1,13068179963845E-16;0
0,534067351110265;5,55111512312578E-17;2,14229360595861E-16;0
0,549775214378214;5,55111512312578E-17;2,03336335036849E-16;0
0,565483077646163;0;0;0
0,581190940914111;5,55111512312578E-17;1,84163829674156E-16;0
0,59689880418206;5,55111512312578E-17;1,75704792005066E-16;0
0,612606667450009;5,55111512312578E-17;1,67896418122078E-16;0
0,628314530717959;3,33066907387547E-16;9,6404852834269E-16;0
0,644022393985908;4,9960036108132E-16;1,3858520238567E-15;0
0,659730257253857;1,33226762955019E-15;3,54655696587293E-15;0
0,675438120521805;2,99760216648792E-15;7,66798857141355E-15;0
0,691145983789754;6,82787160144471E-15;1,68047925929498E-14;0
0,706853847057703;1,49880108324396E-14;3,55352800729584E-14;0
0,722561710325652;3,21409565628983E-14;7,3493799471457E-14;0
0,738269573593601;6,77791156533658E-14;1,49642207443967E-13;0
0,75397743686155;1,39721567649076E-13;2,98168123440888E-13;0
0,769685300129499;2,83661982791728E-13;5,85727859565341E-13;0
0,785393163397448;5,65825164500211E-13;1,13166164561688E-12;0
0,801101026665397;1,11233244837194E-12;2,15693589295685E-12;0
0,816808889933346;2,15449880158758E-12;4,05445815254017E-12;0
0,832516753201295;4,11704004221747E-12;7,52590891124088E-12;0
0,848224616469244;7,76534392343819E-12;1,38010993191235E-11;0
0,863932479737193;1,44678713454027E-11;2,50217504029838E-11;0
0,879640343005142;2,66416888550225E-11;4,48751136259756E-11;0
0,895348206273091;4,85115281279036E-11;7,96490421579859E-11;0
0,91105606954104;8,73907612941593E-11;1,39973180743242E-10;0
0,926763932808989;1,55816137770159E-10;2,43656922290982E-10;0
0,942471796076938;2,75078626543745E-10;4,20286407322817E-10;0
0,958179659344887;4,8101589378291E-10;7,18617155649869E-10;0
0,973887522612836;8,33430546798297E-10;1,21836505102488E-09;0
0,989595385880785;1,43128586760355E-09;2,04888505158902E-09;0
1,00530324914873;2,43703246471938E-09;3,4185547169631E-09;0
1,02101111241668;4,11526013266439E-09;5,66068749090423E-09;0
1,03671897568463;6,89367107842287E-09;9,30481903258693E-09;0
1,05242683895258;1,14585833044245E-08;1,51866884054659E-08;0
1,06813470222053;1,89035120889969E-08;2,46169079581875E-08;0
1,08384256548848;3,09587973035264E-08;3,96381191331699E-08;0
1,09955042875643;5,03442219024208E-08;6,34148490262052E-08;0
1,11525829202438;8,13071303618074E-08;1,00821303742741E-07;0
1,13096615529233;1,30438682854894E-07;1,59322896881549E-07;0
1,14667401856027;2,07904750193499E-07;2,50291501663026E-07;0
1,16238188182822;3,29291507394913E-07;3,90958038777434E-07;0
1,17808974509617;5,18357358481047E-07;6,07297194173923E-07;0
1,19379760836412;8,1111417238322E-07;9,38269255969856E-07;0
1,20950547163207;1,26184817683672E-06;1,44202907090405E-06;0
1,22521333490002;1,95195700025685E-06;2,20497414662271E-06;0
1,24092119816797;3,00285549026391E-06;3,35487342029268E-06;0
1,25662906143592;4,59473231173568E-06;5,07983751740806E-06;0
1,27233692470387;6,99368088530328E-06;7,65561830087486E-06;0
1,28804478797182;1,05907627778734E-05;1,14847398811248E-05;0
1,30375265123976;1,59579987587533E-05;1,71523736205325E-05;0
1,31946051450771;2,39282710148281E-05;2,55058242728764E-05;0
1,33516837777566;3,57088598734734E-05;3,77671945175176E-05;0
1,35087624104361;5,30420993298808E-05;5,5692513600457E-05;0
1,36658410431156;7,84317786292066E-05;8,17957211042039E-05;0
1,38229196757951;0,00011546092409076;0,000119662885926065;0
1,39799983084746;0,000169236107248727;0,000174391581099523;0
1,41370769411541;0,000247006292294127;0,000253203322864107;0
1,42941555738336;0,00035902158109602;0,00036629461565288;0
1,4451234206513;0,000519720517696443;0,000528016022969959;0
1,46083128391925;0,00074936581972096;0,000758500937908889;0
1,4765391471872;0,00107629005649945;0,00108590918788537;0
1,49224701045515;0,00153996821485858;0,00154950903148475;0
1,5079548737231;0,00219520760771708;0,00220389946241531;0
1,52366273699105;0,00311784280008842;0,00312477959406119;0
1,539370600259;0,00441245141610658;0,00441681191910112;0
1,55507846352695;0,00622277522562797;0,00622431282311209;0
