x;absoluteError;relativeError;computation time (milliseconds)
-0,99;915025,582299539;0,915025582299541;0
-0,98;82535,6479915435;0,660285183932349;0
-0,97;14804,5451880685;0,39972272007785;0
-0,96;3360,97250394744;0,215102240252637;0
-0,95;851,662207815824;0,106457775976978;0
-0,94;228,960463768995;0,0494554601741031;0
-0,93;63,6879122885193;0,0218449539149622;0
-0,92;18,0729654555694;0,00925335831325151;0
-0,91;5,18671844191135;0,00378111774415337;0
-0,9;1,49670826591682;0,00149670826591682;0
-0,89;0,43251588333203;0,000575678640714932;0
-0,88;0,124793663230889;0,000215643450062977;0
-0,87;0,0358688363756983;7,88038335174091E-05;0
-0,86;0,0102515655273123;2,8130295806945E-05;0
-0,85;0,00290916198105151;9,81842168604885E-06;0
-0,84;0,000818669900723989;3,35327191336546E-06;0
-0,83;0,000228215526050235;1,12122287948481E-06;0
-0,82;6,29598282273491E-05;3,671817182219E-07;0
-0,81;1,71747605861583E-05;1,1780168286046E-07;0
-0,8;4,62896055353212E-06;3,7031684428257E-08;0
-0,79;1,23174542920879E-06;1,14071944199026E-08;0
-0,78;3,23369164334508E-07;3,44323486183384E-09;0
-0,77;8,36996036923665E-08;1,01837307812502E-09;0
-0,76;2,13457553854823E-08;2,95083722448908E-10;0
-0,75;5,36020650088176E-09;8,37532265762775E-11;0
-0,74;1,32448008116626E-09;2,32790619065781E-11;0
-0,73;3,21875859299325E-10;6,33548253858862E-12;0
-0,72;7,68451968724548E-11;1,68690576174413E-12;0
-0,71;1,80264692062337E-11;4,39647557470835E-13;0
-0,7;4,16378043155419E-12;1,12422071651963E-13;0
-0,69;9,16600129130529E-13;2,73064344469276E-14;0
-0,68;2,0961010704923E-13;6,86850398778916E-15;0
-0,67;4,61852778244065E-14;1,6597603291757E-15;0
-0,66;7,105427357601E-15;2,7927171686315E-16;0
-0,65;3,5527136788005E-15;1,52322598978572E-16;0
-0,64;3,5527136788005E-15;1,65755409398116E-16;0
-0,63;1,06581410364015E-14;5,39866817916845E-16;0
-0,62;0;0;0
-0,61;3,5527136788005E-15;2,10743422712767E-16;0
-0,6;1,4210854715202E-14;9,09494701772928E-16;0
-0,59;7,105427357601E-15;4,89713158913219E-16;0
-0,58;1,77635683940025E-15;1,31606725517486E-16;0
-0,57;5,32907051820075E-15;4,23698409690587E-16;0
-0,56;0;0;0
-0,55;3,5527136788005E-15;3,23741033980696E-16;0
-0,54;3,5527136788005E-15;3,45806938639725E-16;0
-0,53;5,32907051820075E-15;5,53280088411157E-16;0
-0,52;0;0;0
-0,51;5,32907051820075E-15;6,269598173958E-16;0
-0,5;0;0;0
-0,49;0;0;0
-0,48;3,5527136788005E-15;4,99539964948781E-16;0
-0,47;2,66453525910038E-15;3,96688015769087E-16;0
