x;absoluteError;relativeError
-0,99;0,436842413860993;0,0941148450499389
-0,98;0,0898298216145306;0,024383565028606
-0,97;0,0225536076477835;0,00700793028097224
-0,96;0,0061440849462624;0,00210124749448942
-0,95;0,00174522250570996;0,000642945468317161
-0,94;0,000507335598058045;0,000198615171605049
-0,93;0,000149377152284025;6,15625861835416E-05
-0,92;4,42607688895258E-05;1,90713871806157E-05
-0,91;1,31407475412182E-05;5,88890084045246E-06
-0,9;3,89714532023078E-06;1,80889462013495E-06
-0,89;1,15184523430401E-06;5,51897412790735E-07
-0,88;3,38671685362613E-07;1,67047239935025E-07
-0,87;9,89161701436814E-08;5,01089239854737E-08
-0,86;2,86636208102209E-08;1,48835681994769E-08
-0,85;8,23222667811763E-09;4,3740231114777E-09
-0,84;2,34114372332783E-09;1,27096835311633E-09
-0,83;6,58728627200844E-10;3,64913147863369E-10
-0,82;1,83242532258987E-10;1,03462694927461E-10
-0,81;5,03590502631823E-11;2,89508996956445E-11
-0,8;1,36644029424815E-11;7,9909913171808E-12
-0,79;3,65907304455959E-12;2,17492445963216E-12
-0,78;9,65227897609111E-13;5,82689813574334E-13
-0,77;2,5157653738006E-13;1,54139074615895E-13
-0,76;6,43929354282591E-14;4,00167644232949E-14
-0,75;1,70974345792274E-14;1,07707088627846E-14
-0,74;4,66293670342566E-15;2,97612135549259E-15
-0,73;2,22044604925031E-16;1,43514179875474E-16
-0,72;1,11022302462516E-15;7,26322626529405E-16
-0,71;4,44089209850063E-16;2,93947353037282E-16
-0,7;2,22044604925031E-16;1,48643974924794E-16
-0,69;8,88178419700125E-16;6,01110224006175E-16
-0,68;2,22044604925031E-16;1,51876373404453E-16
-0,67;6,66133814775094E-16;4,60326658791778E-16
-0,66;4,44089209850063E-16;3,09953487183496E-16
-0,65;6,66133814775094E-16;4,69444398825007E-16
-0,64;8,88178419700125E-16;6,31831174844788E-16
-0,63;0;0
-0,62;1,11022302462516E-15;8,04151905447108E-16
-0,61;2,22044604925031E-16;1,62228976342833E-16
-0,6;4,44089209850063E-16;3,2720772745879E-16
-0,59;6,66133814775094E-16;4,94868069285996E-16
-0,58;4,44089209850063E-16;3,32572742110782E-16
-0,57;6,66133814775094E-16;5,02787299413726E-16
-0,56;2,22044604925031E-16;1,68885015339688E-16
-0,55;0;0
-0,54;8,88178419700125E-16;6,8562423555122E-16
-0,53;2,22044604925031E-16;1,72639238401442E-16
-0,52;4,44089209850063E-16;3,47710095486852E-16
-0,51;8,88178419700125E-16;7,00216343850112E-16
-0,5;2,22044604925031E-16;1,76236919720929E-16
-0,49;0;0
-0,48;6,66133814775094E-16;5,35668277546683E-16
-0,47;4,44089209850063E-16;3,59386846263308E-16
-0,46;2,22044604925031E-16;1,80816536183508E-16
-0,45;1,11022302462516E-15;9,09629339185975E-16
-0,44;2,22044604925031E-16;1,83021833235866E-16
-0,43;4,44089209850063E-16;3,68209655736682E-16
-0,42;4,44089209850063E-16;3,70350457652551E-16
-0,41;0;0
-0,4;0;0
-0,39;0;0
-0,38;0;0
-0,37;4,44089209850063E-16;3,80700754579228E-16
-0,36;0;0
-0,35;2,22044604925031E-16;1,92343719916033E-16
-0,34;4,44089209850063E-16;3,86650164826357E-16
-0,33;0;0
-0,32;0;0
-0,31;0;0
-0,3;2,22044604925031E-16;1,9715429327829E-16
-0,29;0;0
-0,28;0;0
-0,27;4,44089209850063E-16;3,99862958126715E-16
-0,26;4,44089209850063E-16;4,01680542006412E-16
-0,25;0;0
-0,24;0;0
-0,23;2,22044604925031E-16;2,03518456628032E-16
-0,22;4,44089209850063E-16;4,08791404394466E-16
-0,21;4,44089209850063E-16;4,10530963240795E-16
-0,2;2,22044604925031E-16;2,06127951756797E-16
-0,19;4,44089209850063E-16;4,13966528516844E-16
-0,18;2,22044604925031E-16;2,07831565804754E-16
-0,17;2,22044604925031E-16;2,08672998324232E-16
-0,16;4,44089209850063E-16;4,19015398406633E-16
-0,15;2,22044604925031E-16;2,10335801483976E-16
-0,14;2,22044604925031E-16;2,11157434050383E-16
-0,13;0;0
-0,12;6,66133814775094E-16;6,38345357514874E-16
-0,11;0;0
-0,1;0;0
-0,09;4,44089209850063E-16;4,30345585097736E-16
-0,08;0;0
-0,07;2,22044604925031E-16;2,16737740570074E-16
-0,0599999999999999;0;0
-0,0499999999999999;0;0
-0,04;4,44089209850063E-16;4,38087268564841E-16
-0,03;2,22044604925031E-16;2,19801576772733E-16
-0,02;2,22044604925031E-16;2,20554327774296E-16
-0,01;2,22044604925031E-16;2,21301975281162E-16
0;0;0
0,01;0;0
0,02;0;0
0,03;1,11022302462516E-16;1,12121604672884E-16
0,04;2,22044604925031E-16;2,24966579547332E-16
0,05;0;0
0,0600000000000001;0;0
0,0700000000000001;0;0
0,0800000000000001;0;0
0,0900000000000001;1,11022302462516E-16;1,14257766200721E-16
0,1;0;0
0,11;1,11022302462516E-16;1,1495235934782E-16
0,12;0;0
0,13;0;0
0,14;2,22044604925031E-16;2,31957548018595E-16
0,15;0;0
0,16;1,11022302462516E-16;1,16653084358662E-16
0,17;0;0
0,18;3,33066907387547E-16;3,51959063646508E-16
0,19;1,11022302462516E-16;1,17650167621976E-16
0,2;0;0
0,21;1,11022302462516E-16;1,18305613835036E-16
0,22;2,22044604925031E-16;2,37261261781558E-16
0,23;0;0
0,24;2,22044604925031E-16;2,3855075048406E-16
0,25;1,11022302462516E-16;1,19595149896228E-16
0,26;1,11022302462516E-16;1,19913223601308E-16
0,27;1,11022302462516E-16;1,20229618797651E-16
0,28;1,11022302462516E-16;1,20544357455672E-16
0,29;1,11022302462516E-16;1,20857461089245E-16
0,3;2,22044604925031E-16;2,42337901537294E-16
0,31;1,11022302462516E-16;1,21478847133042E-16
0,32;0;0
0,33;1,11022302462516E-16;1,22093940389674E-16
0,34;1,11022302462516E-16;1,22399176510883E-16
0,35;3,33066907387547E-16;3,68108693391139E-16
0,36;0;0
0,37;1,11022302462516E-16;1,23305870122955E-16
0,38;0;0
0,39;4,44089209850063E-16;4,95612009175213E-16
0,4;0;0
0,41;3,33066907387547E-16;3,73483301104016E-16
0,42;0;0
0,43;3,33066907387547E-16;3,75240895467558E-16
0,44;1,11022302462516E-16;1,25371183951865E-16
0,45;1,11022302462516E-16;1,25660725820759E-16
0,46;1,11022302462516E-16;1,2594893950427E-16
0,47;1,11022302462516E-16;1,26235840130006E-16
0,48;2,22044604925031E-16;2,5304288510353E-16
0,49;4,44089209850063E-16;5,07223045425224E-16
0,5;1,11022302462516E-16;1,27088810869906E-16
0,51;1,11022302462516E-16;1,27370605164711E-16
0,52;0;0
0,53;3,33066907387547E-16;3,83791449457911E-16
0,54;0;0
0,55;5,55111512312578E-16;6,4242751522E-16
0,56;1,11022302462516E-16;1,28761223853169E-16
0,57;2,22044604925031E-16;2,58071537743414E-16
0,58;3,33066907387547E-16;3,87927451665522E-16
0,59;2,22044604925031E-16;2,59162762298695E-16
0,6;2,22044604925031E-16;2,59704945390104E-16
0,61;1,11022302462516E-16;1,30122437032845E-16
0,62;0;0
0,63;6,66133814775094E-16;7,83954182836649E-16
0,64;1,11022302462516E-16;1,3092568229501E-16
0,65;6,66133814775094E-16;7,87147514147991E-16
0,66;1,11022302462516E-16;1,31455751566689E-16
0,67;1,11022302462516E-16;1,31719190651201E-16
0,68;1,11022302462516E-16;1,31981580170651E-16
0,69;1,11022302462516E-16;1,32242930516883E-16
0,7;0;0
0,71;2,22044604925031E-16;2,65525108884634E-16
0,72;1,11022302462516E-16;1,33020848000933E-16
0,73;0;0
0,74;6,66133814775094E-16;8,01206682618816E-16
0,75;1,99840144432528E-15;2,40821589087859E-15
0,76;9,32587340685131E-15;1,12597065424992E-14
0,77;3,34177130412172E-14;4,04235528128399E-14
0,78;1,22790666523542E-13;1,48812252649541E-13
0,79;4,4086956307865E-13;5,35296569942265E-13
0,8;1,56141766183282E-12;1,89937152374463E-12
0,81;5,44397860124946E-12;6,63451633532739E-12
0,82;1,86963777792926E-11;2,28269526254165E-11
0,83;6,32519592258518E-11;7,73673423928831E-11
0,84;2,10881867523938E-10;2,58411505714506E-10
0,85;6,93101354087844E-10;8,50851933533405E-10
0,86;2,2464460291971E-09;2,76269942445535E-09
0,87;7,18251469411513E-09;8,84892250989383E-09
0,88;2,26607247411081E-08;2,79678927291794E-08
0,89;7,0569773136242E-08;8,72514505911657E-08
0,9;2,1698899554945E-07;2,68754395831837E-07
0,91;6,58950867427066E-07;8,17581061908069E-07
0,92;1,97689201708595E-06;2,45706525450006E-06
0,93;5,86059710627751E-06;7,29671924011348E-06
0,94;1,71727770852392E-05;2,14177794691335E-05
0,95;4,97492079699624E-05;6,21533261194591E-05
0,96;0,000142522238880227;0,000178361586430878
0,97;0,000403859730898182;0,000506274391419876
0,98;0,00113221119095819;0,00142172578476318
0,99;0,00314099948050828;0,00395080465414882
