x;absoluteError;relativeError;computation time (milliseconds)
-0,99;5,55111512312578E-17;1,8438532984438E-16;0
-0,98;5,55111512312578E-17;1,78910028524397E-16;0
-0,97;0;0;0
-0,96;0;0;0
-0,95;0;0;0
-0,94;1,11022302462516E-16;3,19167255313682E-16;0
-0,93;5,55111512312578E-17;1,55317016196275E-16;0
-0,92;1,11022302462516E-16;3,02498198040657E-16;0
-0,91;2,22044604925031E-16;5,89472067526139E-16;0
-0,9;5,55111512312578E-17;1,4366278906828E-16;0
-0,89;0;0;0
-0,88;5,55111512312578E-17;1,36739913061635E-16;0
-0,87;5,55111512312578E-17;1,33504042512507E-16;0
-0,86;0;0;0
-0,85;5,55111512312578E-17;1,27442576825288E-16;0
-0,84;5,55111512312578E-17;1,24602302762174E-16;0
-0,83;1,66533453693773E-16;3,65640108941272E-16;0
-0,82;1,66533453693773E-16;3,57808833111959E-16;0
-0,81;5,55111512312578E-17;1,16765264434209E-16;0
-0,8;1,11022302462516E-16;2,287232134984E-16;0
-0,79;5,55111512312578E-17;1,12053592549975E-16;0
-0,78;0;0;0
-0,77;2,22044604925031E-16;4,30823524911002E-16;0
-0,76;1,11022302462516E-16;2,11315185236028E-16;0
-0,75;1,11022302462516E-16;2,07375446168482E-16;0
-0,74;0;0;0
-0,73;1,11022302462516E-16;1,99937553641164E-16;0
-0,72;1,11022302462516E-16;1,96425997799438E-16;0
-0,71;0;0;0
-0,7;1,11022302462516E-16;1,89787043399016E-16;0
-0,69;2,22044604925031E-16;3,7329687933255E-16;0
-0,68;0;0;0
-0,67;1,11022302462516E-16;1,80707302163613E-16;0
-0,66;1,11022302462516E-16;1,77895346868969E-16;0
-0,65;0;0;0
-0,64;0;0;0
-0,63;0;0;0
-0,62;0;0;0
-0,61;1,11022302462516E-16;1,652553178796E-16;0
-0,6;1,11022302462516E-16;1,6298553312843E-16;0
-0,59;1,11022302462516E-16;1,6079412941746E-16;0
-0,58;1,11022302462516E-16;1,58678147982601E-16;0
-0,57;0;0;0
-0,56;1,11022302462516E-16;1,54661363660801E-16;0
-0,55;0;0;0
-0,54;1,11022302462516E-16;1,50914378008152E-16;0
-0,53;1,11022302462516E-16;1,49136119637329E-16;0
-0,52;0;0;0
-0,51;1,11022302462516E-16;1,45759201682689E-16;0
-0,5;0;0;0
-0,49;1,11022302462516E-16;1,42608471140123E-16;0
-0,48;1,11022302462516E-16;1,41113304495903E-16;0
-0,47;0;0;0
-0,46;1,11022302462516E-16;1,38274889629706E-16;0
-0,45;1,11022302462516E-16;1,36928490370484E-16;0
