x;absoluteError;relativeError;computation time (milliseconds)
-0,99;2,22044604925031E-16;4,04681443702411E-16;1
-0,98;0;0;0
-0,97;1,11022302462516E-16;1,96395532532332E-16;0
-0,96;1,11022302462516E-16;1,93580529290377E-16;0
-0,95;1,11022302462516E-16;1,90863899043104E-16;0
-0,94;1,11022302462516E-16;1,88241025166053E-16;0
-0,93;0;0;0
-0,92;1,11022302462516E-16;1,83259505721356E-16;0
-0,91;0;0;0
-0,9;1,11022302462516E-16;1,78604443508817E-16;0
-0,89;1,11022302462516E-16;1,76390500618304E-16;0
-0,88;0;0;0
-0,87;0;0;0
-0,86;1,11022302462516E-16;1,70165430221122E-16;0
-0,85;0;0;0
-0,84;1,11022302462516E-16;1,6633481021595E-16;0
-0,83;1,11022302462516E-16;1,64507764289521E-16;0
-0,82;0;0;0
-0,81;0;0;0
-0,8;0;0;0
-0,79;0;0;0
-0,78;0;0;0
-0,77;0;0;0
-0,76;0;0;0
-0,75;0;0;0
-0,74;2,22044604925031E-16;3,0068254403007E-16;0
-0,73;0;0;0
-0,72;2,22044604925031E-16;2,95348380995668E-16;0
-0,71;1,11022302462516E-16;1,46397526006312E-16;0
-0,7;1,11022302462516E-16;1,4515713739156E-16;0
-0,69;0;0;0
-0,68;1,11022302462516E-16;1,42780604032584E-16;0
-0,67;0;0;0
-0,66;0;0;0
-0,65;1,11022302462516E-16;1,39460572699589E-16;0
-0,64;0;0;0
-0,63;1,11022302462516E-16;1,37399161935E-16;0
-0,62;1,11022302462516E-16;1,36411403390359E-16;0
-0,61;0;0;0
-0,6;0;0;0
-0,59;2,22044604925031E-16;2,67220766186927E-16;0
-0,58;0;0;0
-0,57;1,11022302462516E-16;1,31870975017124E-16;0
-0,56;1,11022302462516E-16;1,31037630837918E-16;0
-0,55;1,11022302462516E-16;1,30227693854848E-16;0
-0,54;1,11022302462516E-16;1,29440572160214E-16;0
-0,53;2,22044604925031E-16;2,57351396984446E-16;0
-0,52;0;0;0
-0,51;0;0;0
-0,5;0;0;0
-0,49;1,11022302462516E-16;1,25828140003084E-16;0
-0,48;0;0;0
-0,47;1,11022302462516E-16;1,24524732353639E-16;0
-0,46;0;0;0
-0,45;1,11022302462516E-16;1,23296862383629E-16;0
-0,44;1,11022302462516E-16;1,22710249647282E-16;0
-0,43;1,11022302462516E-16;1,22141348562612E-16;0
-0,42;0;0;0
-0,41;0;0;0
-0,4;1,11022302462516E-16;1,20537405432857E-16;0
-0,39;1,11022302462516E-16;1,20035911941054E-16;0
-0,38;0;0;0
-0,37;0;0;0
-0,36;1,11022302462516E-16;1,18626647354368E-16;0
-0,35;1,11022302462516E-16;1,18187702223104E-16;0
-0,34;1,11022302462516E-16;1,17763726367024E-16;0
-0,33;1,11022302462516E-16;1,17354474904837E-16;0
-0,32;0;0;0
-0,31;1,11022302462516E-16;1,16579217590575E-16;0
-0,3;0;0;0
