x;absoluteError;relativeError;computation time (milliseconds)
0,005;0;0;0
0,01;1,4210854715202E-14;1,42106178688077E-16;0
0,015;0;0;0
0,02;7,105427357601E-15;1,42099073438353E-16;0
0,025;7,105427357601E-15;1,77617180801181E-16;0
0,03;7,105427357601E-15;2,13130847743739E-16;0
0,035;0;0;0
0,04;3,5527136788005E-15;1,4207065457098E-16;0
0,045;3,5527136788005E-15;1,59818164169892E-16;0
0,05;3,5527136788005E-15;1,77561678323025E-16;0
0,055;0;0;0
0,06;0;0;0
0,065;0;0;0
0,07;0;0;0
0,075;0;0;0
0,08;1,77635683940025E-15;1,41957013200718E-16;0
0,085;1,77635683940025E-15;1,50808579495305E-16;0
0,09;0;0;0
0,095;0;0;0
0,1;0;0;0
0,105;1,77635683940025E-15;1,86174931167362E-16;0
0,11;0;0;0
0,115;0;0;0
0,12;0;0;0
0,125;0;0;0
0,13;8,88178419700125E-16;1,15138247931141E-16;0
0,135;1,77635683940025E-15;2,3908041947491E-16;0
0,14;0;0;0
0,145;8,88178419700125E-16;1,28335057878927E-16;0
0,15;8,88178419700125E-16;1,32727724343339E-16;0
0,155;0;0;0
0,16;8,88178419700125E-16;1,41502992980099E-16;0
0,165;0;0;0
0,17;0;0;0
0,175;0;0;0
0,18;0;0;0
0,185;8,88178419700125E-16;1,63377341458252E-16;0
0,19;0;0;0
0,195;8,88178419700125E-16;1,72099254813693E-16;0
0,2;8,88178419700125E-16;1,76453812268439E-16;0
0,205;8,88178419700125E-16;1,80803958387068E-16;0
0,21;8,88178419700125E-16;1,85149584416155E-16;0
0,215;8,88178419700125E-16;1,89490581715275E-16;0
0,22;8,88178419700125E-16;1,9382684175972E-16;0
0,225;8,88178419700125E-16;1,98158256143218E-16;0
0,23;0;0;0
0,235;0;0;0
0,24;8,88178419700125E-16;2,11122343098622E-16;0
0,245;1,77635683940025E-15;4,30866586477969E-16;0
0,25;8,88178419700125E-16;2,19738857558236E-16;0
0,255;4,44089209850063E-16;1,12019464208747E-16;0
0,26;0;0;0
0,265;4,44089209850063E-16;1,1631107994493E-16;0
0,27;4,44089209850063E-16;1,18452552961315E-16;0
0,275;8,88178419700125E-16;2,4118212934009E-16;0
0,28;4,44089209850063E-16;1,22726561608439E-16;0
0,285;4,44089209850063E-16;1,24858990389185E-16;0
0,29;0;0;0
0,295;4,44089209850063E-16;1,29114430313334E-16;0
0,3;4,44089209850063E-16;1,31237335070961E-16;0
0,305;4,44089209850063E-16;1,33356958902047E-16;0
0,31;4,44089209850063E-16;1,35473248816106E-16;0
0,315;4,44089209850063E-16;1,37586151906001E-16;0
0,32;8,88178419700125E-16;2,79391230698527E-16;0
0,325;4,44089209850063E-16;1,41801586409418E-16;0
0,33;8,88178419700125E-16;2,87808024874597E-16;0
0,335;4,44089209850063E-16;1,46002840872363E-16;0
0,34;4,44089209850063E-16;1,48098019244009E-16;0
0,345;4,44089209850063E-16;1,50189495172888E-16;0
0,35;8,88178419700125E-16;3,04554432744421E-16;0
0,355;0;0;0
0,36;0;0;0
0,365;4,44089209850063E-16;1,58517330140789E-16;0
0,37;4,44089209850063E-16;1,60589511450909E-16;0
0,375;4,44089209850063E-16;1,62657678031607E-16;0
0,38;0;0;0
0,385;4,44089209850063E-16;1,66781760290169E-16;0
0,39;4,44089209850063E-16;1,68837572866192E-16;0
0,395;4,44089209850063E-16;1,70889164511687E-16;0
0,4;0;0;0
0,405;8,88178419700125E-16;3,49958959918322E-16;0
0,41;0;0;0
0,415;8,88178419700125E-16;3,58104595208909E-16;0
0,42;8,88178419700125E-16;3,62164034814656E-16;0
0,425;0;0;0
0,43;8,88178419700125E-16;3,702556505207E-16;0
0,435;8,88178419700125E-16;3,74287624331025E-16;0
0,44;4,44089209850063E-16;1,89155120485118E-16;0
0,445;0;0;0
0,45;4,44089209850063E-16;1,93163500355467E-16;0
0,455;4,44089209850063E-16;1,95160471696922E-16;0
0,46;4,44089209850063E-16;1,97152564036749E-16;0
0,465;0;0;0
0,47;4,44089209850063E-16;2,0112191262592E-16;0
0,475;4,44089209850063E-16;2,03099069641757E-16;0
0,48;4,44089209850063E-16;2,05071149191431E-16;0
0,485;0;0;0
0,49;8,88178419700125E-16;4,17999757625827E-16;0
0,495;4,44089209850063E-16;2,10956430666687E-16;0
0,5;0;0;0
0,505;4,44089209850063E-16;2,14853663893049E-16;0
0,51;0;0;0
0,515;8,88178419700125E-16;4,37458823864131E-16;0
0,52;1,33226762955019E-15;6,61977323415646E-16;0
0,525;0;0;0
0,53;2,22044604925031E-16;1,12250951024261E-16;0
0,535;0;0;0
0,54;0;0;0
0,545;4,44089209850063E-16;2,30223880184129E-16;0
0,55;0;0;0
0,555;0;0;0
0,56;2,22044604925031E-16;1,17947029458972E-16;0
0,565;2,22044604925031E-16;1,18886193336816E-16;0
0,57;0;0;0
0,575;4,44089209850063E-16;2,41511162483673E-16;0
0,58;4,44089209850063E-16;2,43371517068824E-16;0
0,585;4,44089209850063E-16;2,45225787378723E-16;0
0,59;4,44089209850063E-16;2,47073927056711E-16;0
0,595;8,88178419700125E-16;4,9783177979878E-16;0
0,6;0;0;0
0,605;4,44089209850063E-16;2,52581101038496E-16;0
0,61;8,88178419700125E-16;5,0880851540967E-16;0
0,615;6,66133814775094E-16;3,84331581416972E-16;0
0,62;4,44089209850063E-16;2,58031445338116E-16;0
0,625;0;0;0
0,63;0;0;0
0,635;0;0;0
0,64;0;0;0
