x;absoluteError;relativeError;computation time (milliseconds)
0,005;0;0;0
0,01;1,4210854715202E-14;1,42106178688077E-16;0
0,015;0;0;0
0,02;7,105427357601E-15;1,42099073438353E-16;0
0,025;7,105427357601E-15;1,77617180801181E-16;0
0,03;7,105427357601E-15;2,13130847743739E-16;0
0,035;0;0;0
0,04;3,5527136788005E-15;1,4207065457098E-16;0
0,045;3,5527136788005E-15;1,59818164169892E-16;0
0,05;3,5527136788005E-15;1,77561678323025E-16;0
0,055;0;0;0
0,06;0;0;0
0,065;0;0;0
0,07;0;0;0
0,075;0;0;0
0,08;1,77635683940025E-15;1,41957013200718E-16;0
0,085;1,77635683940025E-15;1,50808579495305E-16;0
0,09;0;0;0
0,095;0;0;0
0,1;0;0;0
0,105;1,77635683940025E-15;1,86174931167362E-16;0
0,11;0;0;0
0,115;0;0;0
0,12;0;0;0
0,125;0;0;0
0,13;8,88178419700125E-16;1,15138247931141E-16;0
0,135;8,88178419700125E-16;1,19540209737455E-16;0
0,14;8,88178419700125E-16;1,23939183044751E-16;0
0,145;8,88178419700125E-16;1,28335057878927E-16;0
0,15;8,88178419700125E-16;1,32727724343339E-16;0
0,155;0;0;0
0,16;8,88178419700125E-16;1,41502992980099E-16;0
0,165;0;0;0
0,17;0;0;0
0,175;0;0;0
0,18;0;0;0
0,185;8,88178419700125E-16;1,63377341458252E-16;0
0,19;0;0;0
0,195;8,88178419700125E-16;1,72099254813693E-16;0
0,2;8,88178419700125E-16;1,76453812268439E-16;0
0,205;8,88178419700125E-16;1,80803958387068E-16;0
0,21;8,88178419700125E-16;1,85149584416155E-16;0
0,215;1,77635683940025E-15;3,78981163430549E-16;0
0,22;0;0;0
0,225;0;0;0
0,23;0;0;0
0,235;0;0;0
0,24;8,88178419700125E-16;2,11122343098622E-16;0
0,245;1,77635683940025E-15;4,30866586477969E-16;0
0,25;8,88178419700125E-16;2,19738857558236E-16;0
0,255;4,44089209850063E-16;1,12019464208747E-16;0
0,26;0;0;0
0,265;4,44089209850063E-16;1,1631107994493E-16;0
0,27;4,44089209850063E-16;1,18452552961315E-16;0
0,275;8,88178419700125E-16;2,4118212934009E-16;0
0,28;4,44089209850063E-16;1,22726561608439E-16;0
0,285;4,44089209850063E-16;1,24858990389185E-16;0
0,29;0;0;0
0,295;0;0;0
0,3;0;0;0
0,305;0;0;0
0,31;8,88178419700125E-16;2,70946497632213E-16;0
0,315;0;0;0
0,32;0;0;0
0,325;4,44089209850063E-16;1,41801586409418E-16;0
0,33;8,88178419700125E-16;2,87808024874597E-16;0
0,335;4,44089209850063E-16;1,46002840872363E-16;0
0,34;4,44089209850063E-16;1,48098019244009E-16;0
0,345;4,44089209850063E-16;1,50189495172888E-16;0
0,35;8,88178419700125E-16;3,04554432744421E-16;0
0,355;0;0;0
0,36;0;0;0
0,365;4,44089209850063E-16;1,58517330140789E-16;0
0,37;4,44089209850063E-16;1,60589511450909E-16;0
0,375;4,44089209850063E-16;1,62657678031607E-16;0
0,38;0;0;0
0,385;4,44089209850063E-16;1,66781760290169E-16;0
0,39;0;0;0
0,395;0;0;0
0,4;4,44089209850063E-16;1,7293648393697E-16;0
0,405;4,44089209850063E-16;1,74979479959161E-16;0
0,41;4,44089209850063E-16;1,77018101503467E-16;0
0,415;0;0;0
0,42;0;0;0
0,425;0;0;0
0,43;8,88178419700125E-16;3,702556505207E-16;0
0,435;8,88178419700125E-16;3,74287624331025E-16;0
0,44;4,44089209850063E-16;1,89155120485118E-16;0
0,445;0;0;0
0,45;4,44089209850063E-16;1,93163500355467E-16;0
0,455;4,44089209850063E-16;1,95160471696922E-16;0
0,46;4,44089209850063E-16;1,97152564036749E-16;0
0,465;0;0;0
0,47;4,44089209850063E-16;2,0112191262592E-16;0
0,475;4,44089209850063E-16;2,03099069641757E-16;0
0,48;4,44089209850063E-16;2,05071149191431E-16;0
0,485;4,44089209850063E-16;2,07038101973055E-16;0
0,49;4,44089209850063E-16;2,08999878812913E-16;0
0,495;8,88178419700125E-16;4,21912861333374E-16;0
0,5;4,44089209850063E-16;2,12907708620681E-16;0
0,505;0;0;1
0,51;4,44089209850063E-16;2,16794247835009E-16;0
0,515;0;0;0
0,52;4,44089209850063E-16;2,20659107805215E-16;0
0,525;0;0;0
0,53;2,22044604925031E-16;1,12250951024261E-16;0
0,535;0;0;0
0,54;0;0;0
0,545;4,44089209850063E-16;2,30223880184129E-16;0
0,55;0;0;0
0,555;0;0;0
0,56;0;0;0
0,565;4,44089209850063E-16;2,37772386673633E-16;0
0,57;2,22044604925031E-16;1,19822385066019E-16;0
0,575;2,22044604925031E-16;1,20755581241837E-16;0
0,58;2,22044604925031E-16;1,21685758534412E-16;0
0,585;2,22044604925031E-16;1,22612893689362E-16;0
0,59;0;0;0
0,595;4,44089209850063E-16;2,4891588989939E-16;0
0,6;4,44089209850063E-16;2,50751629857786E-16;0
0,605;2,22044604925031E-16;1,26290550519248E-16;0
0,61;2,22044604925031E-16;1,27202128852418E-16;0
0,615;2,22044604925031E-16;1,28110527138991E-16;2
0,62;4,44089209850063E-16;2,58031445338116E-16;1
0,625;0;0;1
0,63;0;0;1
0,635;0;0;1
0,64;0;0;1
0,645;2,22044604925031E-16;1,33492869761396E-16;1
0,65;2,22044604925031E-16;1,34378376367659E-16;1
0,655;0;0;1
0,66;2,22044604925031E-16;1,3613928916932E-16;1
0,665;0;0;1
0,67;0;0;1
0,675;0;0;1
